Cycle_Count,NMC_Capacity_kWh,LFP_Capacity_kWh,Cell_Temp_Avg_C,Internal_Resistance_mOhm,Coulombic_Efficiency_pct,Battery_Health_pct
1,-6.79,59.35,27.2,15.36,100.0,-8.3
2,61.38,102.43,27.3,14.73,99.852,74.9
4,52.19,102.43,28.6,15.11,99.842,63.6
5,65.43,79.24,28.7,14.82,99.96,79.8
7,60.59,118.11,27.7,15.4,99.881,73.9
8,92.4,99.6,25.4,14.55,99.865,112.7
10,109.73,69.61,29.4,15.58,99.922,133.8
11,62.03,90.11,27.4,15.02,99.867,75.6
13,148.09,68.09,32.1,14.6,99.852,180.6
14,57.6,113.62,26.3,16.16,99.899,70.2
16,64.52,61.34,28.8,15.84,99.949,78.7
17,101.17,32.64,27.9,15.48,99.926,123.4
19,75.65,99.27,29.1,15.67,99.872,92.3
20,106.71,64.69,27.4,15.69,99.902,130.1
22,112.42,111.97,29.6,15.02,99.889,137.1
23,50.47,104.82,28.6,15.91,99.836,61.5
24,75.52,64.45,26.2,14.69,99.855,92.1
26,16.86,82.95,26.9,14.86,99.913,20.6
27,-3.72,96.87,27.0,16.05,99.945,-4.5
29,59.32,78.28,28.8,16.33,99.935,72.3
30,71.79,115.18,28.8,15.09,99.901,87.5
32,26.15,83.06,29.1,15.21,99.896,31.9
33,137.65,48.91,27.0,15.98,99.838,167.9
35,119.7,62.88,27.7,15.74,99.916,146.0
36,86.09,61.41,27.9,15.02,99.887,105.0
38,68.84,74.14,27.8,16.68,99.857,84.0
39,76.16,43.18,28.6,15.65,99.849,92.9
41,75.57,119.79,30.1,16.87,99.845,92.2
42,55.11,105.82,28.8,15.87,99.859,67.2
44,79.2,60.1,30.6,16.63,99.902,96.6
45,60.62,36.49,28.7,15.45,99.926,73.9
46,70.75,64.93,26.2,15.47,99.871,86.3
48,97.85,98.51,29.4,15.12,99.857,119.3
49,106.26,85.34,27.6,16.31,99.914,129.6
51,112.46,79.96,25.9,15.62,99.886,137.1
52,65.6,34.92,29.8,15.8,99.804,80.0
54,85.31,39.7,28.3,15.83,99.865,104.0
55,19.09,50.86,25.6,15.59,99.956,23.3
57,73.64,51.57,26.5,15.51,99.848,89.8
58,15.95,127.33,29.0,16.4,99.828,19.5
60,114.0,110.33,26.9,15.12,99.886,139.0
61,74.95,81.53,29.4,15.87,99.885,91.4
63,118.67,85.55,29.5,16.74,99.776,144.7
64,81.36,44.61,28.1,15.41,99.827,99.2
66,47.71,58.92,29.1,15.29,99.785,58.2
67,86.48,71.25,28.5,15.84,99.895,105.5
68,82.37,67.98,28.7,14.74,99.788,100.5
70,60.0,82.57,32.2,15.43,99.826,73.2
71,10.62,83.44,27.7,15.8,99.879,13.0
73,101.3,94.91,29.3,15.04,99.842,123.5
74,106.04,78.89,29.9,16.37,99.868,129.3
76,92.62,110.28,30.7,16.23,99.846,113.0
77,76.41,54.88,28.9,16.15,99.837,93.2
79,96.95,88.12,29.8,15.88,99.8,118.2
80,62.88,80.55,29.5,16.54,99.83,76.7
82,47.58,98.86,28.2,15.86,99.844,58.0
83,111.54,113.63,28.9,15.08,99.875,136.0
85,20.06,86.47,28.7,16.12,99.762,24.5
86,118.33,83.79,28.3,16.33,99.895,144.3
88,61.1,88.09,28.7,15.25,99.865,74.5
89,68.45,43.73,25.1,16.17,99.799,83.5
90,12.74,85.83,30.9,16.25,99.9,15.5
92,93.43,98.51,28.4,16.35,99.832,113.9
93,73.51,64.46,28.1,16.29,99.782,89.6
95,58.7,79.58,29.4,16.33,99.789,71.6
96,47.08,32.19,27.7,17.22,99.852,57.4
98,82.04,77.26,29.7,16.07,99.833,100.0
99,17.37,96.22,27.7,16.19,99.834,21.2
101,113.95,67.56,30.4,16.74,99.785,139.0
102,105.3,67.76,30.4,16.9,99.79,128.4
104,74.81,149.24,28.7,16.47,99.811,91.2
105,104.97,71.06,28.4,17.08,99.817,128.0
107,126.28,111.27,27.5,16.72,99.868,154.0
108,32.28,77.47,27.6,16.14,99.834,39.4
110,49.35,72.77,28.9,16.97,99.845,60.2
111,151.1,66.43,25.7,16.85,99.759,184.3
112,48.3,100.5,29.7,17.27,99.824,58.9
114,41.73,36.28,30.3,16.1,99.816,50.9
115,115.16,104.25,28.9,17.03,99.876,140.4
117,38.4,135.82,29.1,16.14,99.785,46.8
118,128.93,67.38,28.3,16.29,99.823,157.2
120,96.98,102.1,26.0,16.95,99.819,118.3
121,86.09,111.26,30.4,16.94,99.857,105.0
123,64.81,62.59,27.5,17.2,99.883,79.0
124,67.85,104.22,26.9,16.71,99.818,82.7
126,73.45,71.69,29.9,16.88,99.824,89.6
127,108.74,86.82,27.8,16.02,99.792,132.6
129,30.1,105.85,28.1,16.17,99.73,36.7
130,58.81,120.69,28.8,16.87,99.785,71.7
132,98.3,139.93,28.7,17.13,99.803,119.9
133,99.28,39.19,29.0,16.64,99.827,121.1
134,34.45,55.4,29.9,16.74,99.722,42.0
136,59.54,73.76,29.8,16.46,99.797,72.6
137,110.27,73.23,27.6,16.42,99.842,134.5
139,93.39,66.9,27.5,17.13,99.802,113.9
140,46.82,74.43,27.5,17.02,99.777,57.1
142,145.23,54.08,26.0,17.1,99.841,177.1
143,108.95,83.34,28.1,16.52,99.828,132.9
145,56.86,58.91,26.9,17.59,99.742,69.3
146,120.6,120.34,29.1,16.61,99.724,147.1
148,27.76,103.21,28.3,16.86,99.788,33.9
149,117.04,86.28,30.5,15.98,99.829,142.7
151,125.87,54.09,28.5,16.82,99.763,153.5
152,124.03,57.65,29.0,17.04,99.82,151.3
154,79.04,101.22,28.4,16.89,99.812,96.4
155,93.86,92.5,26.6,17.74,99.735,114.5
156,105.67,98.7,27.6,17.0,99.793,128.9
158,76.73,89.43,27.5,15.63,99.742,93.6
159,106.73,78.1,28.6,16.72,99.767,130.2
161,72.0,75.07,28.6,17.6,99.816,87.8
162,59.01,81.21,30.3,17.22,99.902,72.0
164,68.51,36.38,28.0,17.65,99.803,83.5
165,115.71,96.02,27.7,17.5,99.669,141.1
167,50.65,35.69,29.4,17.14,99.793,61.8
168,74.93,105.14,26.7,17.53,99.794,91.4
170,52.89,99.32,31.9,17.45,99.789,64.5
171,48.2,76.66,31.4,17.1,99.743,58.8
173,92.92,11.62,30.5,16.8,99.797,113.3
174,54.47,89.84,27.3,17.2,99.733,66.4
176,103.4,77.19,29.7,17.6,99.707,126.1
177,60.88,158.01,29.2,17.59,99.747,74.2
179,133.3,75.85,26.8,18.2,99.769,162.6
180,57.88,90.94,30.1,17.39,99.766,70.6
181,79.23,64.99,28.1,18.15,99.829,96.6
183,135.11,47.48,27.9,18.38,99.813,164.8
184,69.1,98.29,28.8,17.87,99.744,84.3
186,97.5,117.66,30.4,17.33,99.798,118.9
187,10.55,34.47,29.6,17.26,99.741,12.9
189,73.52,90.05,30.7,17.4,99.819,89.7
190,4.44,75.85,26.0,17.96,99.73,5.4
192,56.05,99.07,28.4,17.63,99.846,68.4
193,108.26,86.45,28.9,18.25,99.804,132.0
195,69.91,104.67,28.1,17.57,99.777,85.3
196,71.94,75.42,28.5,17.7,99.755,87.7
198,51.55,84.85,27.4,17.57,99.753,62.9
199,131.08,51.53,31.1,17.86,99.755,159.9
201,88.13,118.63,30.3,18.16,99.777,107.5
202,98.81,68.73,30.2,16.64,99.74,120.5
203,72.06,99.03,27.7,17.72,99.727,87.9
205,73.23,89.9,29.1,17.24,99.811,89.3
206,69.04,95.22,29.1,17.27,99.751,84.2
208,57.66,31.4,27.3,18.7,99.673,70.3
209,85.47,61.96,28.9,17.91,99.689,104.2
211,54.16,63.65,28.1,17.01,99.786,66.0
212,92.3,54.72,27.8,17.31,99.737,112.6
214,93.14,85.47,28.0,18.01,99.767,113.6
215,68.43,100.25,28.4,17.77,99.749,83.5
217,73.24,85.19,30.1,18.01,99.785,89.3
218,111.9,99.6,31.3,17.8,99.749,136.5
220,6.45,87.61,29.8,17.83,99.773,7.9
221,111.49,66.68,33.9,17.64,99.684,136.0
223,129.54,37.0,27.4,17.48,99.745,158.0
224,42.41,69.1,28.0,17.92,99.715,51.7
225,62.25,50.55,30.0,18.41,99.681,75.9
227,66.65,52.78,31.5,18.03,99.731,81.3
228,100.22,61.7,26.8,17.64,99.785,122.2
230,125.39,64.7,30.3,18.66,99.776,152.9
231,86.7,126.37,28.1,17.07,99.763,105.7
233,80.99,82.34,29.0,17.58,99.704,98.8
234,79.07,95.24,28.5,18.39,99.744,96.4
236,76.39,37.94,28.7,18.86,99.694,93.2
237,38.74,85.68,27.9,18.18,99.711,47.2
239,115.43,36.46,33.0,17.45,99.813,140.8
240,141.99,128.32,29.6,18.02,99.686,173.2
242,91.86,60.78,28.7,17.18,99.741,112.0
243,134.02,59.67,24.8,18.27,99.653,163.4
245,169.13,76.48,30.7,17.99,99.682,206.3
246,29.4,86.43,29.9,17.68,99.707,35.9
247,73.48,63.76,26.8,18.55,99.711,89.6
249,99.86,39.07,28.7,18.18,99.738,121.8
250,92.11,89.31,29.2,18.59,99.685,112.3
252,22.08,85.11,30.4,17.31,99.741,26.9
253,42.19,74.48,26.1,18.56,99.694,51.5
255,49.79,90.99,29.2,18.68,99.744,60.7
256,68.36,55.58,29.7,17.6,99.647,83.4
258,114.07,45.72,26.8,18.49,99.702,139.1
259,83.29,61.7,30.1,18.33,99.747,101.6
261,110.18,72.79,29.5,18.31,99.711,134.4
262,12.58,68.37,27.3,18.86,99.661,15.3
264,113.45,126.98,29.1,18.64,99.77,138.4
265,121.97,102.18,29.0,18.16,99.692,148.7
267,132.66,121.73,29.3,18.81,99.756,161.8
268,52.77,52.55,28.7,17.31,99.761,64.4
269,133.76,111.06,30.5,18.05,99.73,163.1
271,59.07,75.9,26.3,18.38,99.722,72.0
272,69.63,38.48,28.9,18.83,99.689,84.9
274,85.76,59.07,30.6,18.1,99.736,104.6
275,-2.81,77.51,30.4,18.69,99.649,-3.4
277,96.92,98.03,29.5,19.08,99.664,118.2
278,62.66,96.23,28.8,17.76,99.654,76.4
280,119.47,74.46,29.3,18.1,99.674,145.7
281,105.11,70.48,27.7,18.51,99.761,128.2
283,54.17,84.39,31.0,19.02,99.643,66.1
284,104.21,105.62,30.2,19.41,99.641,127.1
286,80.0,120.77,28.6,18.25,99.72,97.6
287,56.27,89.17,30.2,18.76,99.702,68.6
289,76.16,97.46,26.9,18.29,99.65,92.9
290,92.44,49.87,28.0,19.48,99.666,112.7
291,77.04,44.05,31.4,18.65,99.678,94.0
293,148.16,129.52,31.8,18.05,99.712,180.7
294,87.93,76.54,28.6,18.57,99.683,107.2
296,43.89,17.0,28.9,19.21,99.747,53.5
297,21.27,44.85,28.6,19.06,99.71,25.9
299,55.9,90.09,29.2,18.54,99.697,68.2
300,73.66,55.64,29.5,18.1,99.659,89.8
302,73.18,76.07,30.1,18.66,99.625,89.2
303,103.78,74.05,31.4,18.19,99.668,126.6
305,47.08,36.44,29.4,19.45,99.586,57.4
