Trip_ID,Hard_Braking_Count,Acceleration_Smoothness,Cornering_Force_G,Average_Speed_kmh,Cluster,Driver_Category
TRIP-10000,0,1.21,0.203,64.0,2,High-Risk (Aggressive)
TRIP-10001,0,1.48,0.184,52.8,2,High-Risk (Aggressive)
TRIP-10002,8,4.55,0.655,82.4,1,Standard Commuter
TRIP-10003,6,3.59,0.532,91.6,1,Standard Commuter
TRIP-10004,2,4.62,0.879,76.6,1,Standard Commuter
TRIP-10005,5,2.12,0.297,54.1,0,Eco-Friendly (Safe)
TRIP-10006,0,0.98,0.356,60.6,2,High-Risk (Aggressive)
TRIP-10007,0,1.02,0.134,58.0,2,High-Risk (Aggressive)
TRIP-10008,7,3.53,0.548,100.1,1,Standard Commuter
TRIP-10009,1,1.53,0.22,50.2,2,High-Risk (Aggressive)
TRIP-10010,5,5.92,0.55,89.7,1,Standard Commuter
TRIP-10011,2,2.89,0.326,71.3,0,Eco-Friendly (Safe)
TRIP-10012,5,2.14,0.35,69.4,0,Eco-Friendly (Safe)
TRIP-10013,1,1.17,0.082,53.1,2,High-Risk (Aggressive)
TRIP-10014,2,3.84,0.308,73.3,0,Eco-Friendly (Safe)
TRIP-10015,4,2.94,0.65,90.1,1,Standard Commuter
TRIP-10016,3,2.15,0.263,51.4,2,High-Risk (Aggressive)
TRIP-10017,3,1.76,0.287,78.6,0,Eco-Friendly (Safe)
TRIP-10018,1,1.06,0.257,57.6,2,High-Risk (Aggressive)
TRIP-10019,4,3.08,0.714,98.0,1,Standard Commuter
TRIP-10020,4,2.48,0.419,63.8,0,Eco-Friendly (Safe)
TRIP-10021,2,1.18,0.168,50.0,2,High-Risk (Aggressive)
TRIP-10022,3,1.91,0.186,63.5,0,Eco-Friendly (Safe)
TRIP-10023,2,2.49,0.35,90.3,0,Eco-Friendly (Safe)
TRIP-10024,2,2.13,0.342,68.8,0,Eco-Friendly (Safe)
TRIP-10025,1,1.21,0.14,49.6,2,High-Risk (Aggressive)
TRIP-10026,10,4.62,0.463,79.4,1,Standard Commuter
TRIP-10027,2,1.74,0.158,63.8,2,High-Risk (Aggressive)
TRIP-10028,10,5.18,0.289,99.8,1,Standard Commuter
TRIP-10029,8,6.09,0.443,66.6,1,Standard Commuter
TRIP-10030,4,1.84,0.295,77.4,0,Eco-Friendly (Safe)
TRIP-10031,1,1.15,0.167,48.3,2,High-Risk (Aggressive)
TRIP-10032,0,1.08,0.177,36.3,2,High-Risk (Aggressive)
TRIP-10033,1,1.11,0.257,67.1,2,High-Risk (Aggressive)
TRIP-10034,1,1.63,0.271,48.6,2,High-Risk (Aggressive)
TRIP-10035,1,1.32,0.248,57.8,2,High-Risk (Aggressive)
TRIP-10036,5,1.64,0.181,60.7,0,Eco-Friendly (Safe)
TRIP-10037,1,2.53,0.249,61.8,0,Eco-Friendly (Safe)
TRIP-10038,1,3.01,0.299,73.1,0,Eco-Friendly (Safe)
TRIP-10039,0,1.18,0.21,49.5,2,High-Risk (Aggressive)
TRIP-10040,3,1.75,0.305,66.1,0,Eco-Friendly (Safe)
TRIP-10041,4,2.94,0.369,65.7,0,Eco-Friendly (Safe)
TRIP-10042,2,2.94,0.383,74.3,0,Eco-Friendly (Safe)
TRIP-10043,0,1.11,0.118,59.8,2,High-Risk (Aggressive)
TRIP-10044,1,3.74,0.411,72.0,0,Eco-Friendly (Safe)
TRIP-10045,2,2.69,0.303,58.0,0,Eco-Friendly (Safe)
TRIP-10046,8,5.61,0.482,101.2,1,Standard Commuter
TRIP-10047,4,6.25,0.738,73.6,1,Standard Commuter
TRIP-10048,5,4.52,0.621,102.1,1,Standard Commuter
TRIP-10049,1,2.14,0.364,56.7,0,Eco-Friendly (Safe)
TRIP-10050,2,1.58,0.225,42.2,2,High-Risk (Aggressive)
TRIP-10051,7,4.47,0.649,89.7,1,Standard Commuter
TRIP-10052,0,1.16,0.186,60.3,2,High-Risk (Aggressive)
TRIP-10053,1,0.84,0.172,56.3,2,High-Risk (Aggressive)
TRIP-10054,1,0.48,0.159,64.0,2,High-Risk (Aggressive)
TRIP-10055,12,3.98,0.635,78.0,1,Standard Commuter
TRIP-10056,0,1.4,0.123,50.7,2,High-Risk (Aggressive)
TRIP-10057,3,0.88,0.243,52.0,2,High-Risk (Aggressive)
TRIP-10058,0,1.43,0.109,48.1,2,High-Risk (Aggressive)
TRIP-10059,0,1.49,0.163,64.7,2,High-Risk (Aggressive)
TRIP-10060,6,4.78,0.657,91.1,1,Standard Commuter
TRIP-10061,0,1.18,0.177,56.4,2,High-Risk (Aggressive)
TRIP-10062,0,1.09,0.249,55.2,2,High-Risk (Aggressive)
TRIP-10063,1,2.54,0.398,61.9,0,Eco-Friendly (Safe)
TRIP-10064,5,3.83,0.678,86.1,1,Standard Commuter
TRIP-10065,2,2.75,0.258,65.6,0,Eco-Friendly (Safe)
TRIP-10066,6,2.36,0.178,75.9,0,Eco-Friendly (Safe)
TRIP-10067,3,1.45,0.248,62.7,2,High-Risk (Aggressive)
TRIP-10068,2,2.15,0.401,67.1,0,Eco-Friendly (Safe)
TRIP-10069,1,3.37,0.349,54.7,0,Eco-Friendly (Safe)
TRIP-10070,11,4.63,0.567,86.9,1,Standard Commuter
TRIP-10071,3,2.67,0.459,70.6,0,Eco-Friendly (Safe)
