Inspection_ID,Vehicle_Zone,Defect_Type,Camera_Confidence,Box_Accuracy,Line_Speed_m_min
INSP-20000,Trunk Lid,No Defect (Pass),0.995,0.0,4.0
INSP-20001,Hood,No Defect (Pass),0.864,0.0,4.44
INSP-20002,Quarter Panel Right,Paint Scratch / Blemish,0.704,0.77,4.75
INSP-20003,Door Left Front,No Defect (Pass),0.816,0.0,4.21
INSP-20004,Trunk Lid,No Defect (Pass),0.948,0.0,4.52
INSP-20005,Trunk Lid,Panel Gap Misalignment,0.609,0.89,4.28
INSP-20006,Hood,No Defect (Pass),0.943,0.0,4.34
INSP-20007,Roof Pillar,No Defect (Pass),0.866,0.0,3.55
INSP-20008,Roof Pillar,No Defect (Pass),0.984,0.0,3.81
INSP-20009,Quarter Panel Right,No Defect (Pass),0.982,0.0,4.01
INSP-20010,Door Left Front,No Defect (Pass),0.959,0.0,4.4
INSP-20011,Trunk Lid,No Defect (Pass),0.997,0.0,3.98
INSP-20012,Roof Pillar,No Defect (Pass),0.906,0.0,4.17
INSP-20013,Roof Pillar,No Defect (Pass),0.969,0.0,4.12
INSP-20014,Door Left Front,No Defect (Pass),0.78,0.0,4.29
INSP-20015,Hood,No Defect (Pass),0.899,0.0,4.28
INSP-20016,Hood,No Defect (Pass),0.988,0.0,4.23
INSP-20017,Trunk Lid,No Defect (Pass),0.927,0.0,4.29
INSP-20018,Roof Pillar,No Defect (Pass),0.826,0.0,4.15
INSP-20019,Roof Pillar,No Defect (Pass),0.925,0.0,4.12
INSP-20020,Quarter Panel Right,No Defect (Pass),0.834,0.0,3.77
INSP-20021,Quarter Panel Right,Clear-coat Orange Peel,0.547,0.87,3.99
INSP-20022,Hood,Paint Scratch / Blemish,0.464,0.89,3.23
INSP-20023,Door Left Front,No Defect (Pass),0.93,0.0,4.04
INSP-20024,Door Left Front,No Defect (Pass),0.873,0.0,3.81
INSP-20025,Quarter Panel Right,No Defect (Pass),0.982,0.0,4.32
INSP-20026,Door Left Front,No Defect (Pass),0.988,0.0,4.27
INSP-20027,Door Left Front,No Defect (Pass),0.881,0.0,3.75
INSP-20028,Quarter Panel Right,No Defect (Pass),0.967,0.0,4.12
INSP-20029,Quarter Panel Right,No Defect (Pass),0.937,0.0,4.11
INSP-20030,Roof Pillar,No Defect (Pass),0.957,0.0,4.65
INSP-20031,Roof Pillar,No Defect (Pass),0.977,0.0,4.24
INSP-20032,Roof Pillar,No Defect (Pass),0.933,0.0,3.87
INSP-20033,Trunk Lid,No Defect (Pass),0.934,0.0,3.99
INSP-20034,Roof Pillar,Clear-coat Orange Peel,0.677,0.89,4.14
INSP-20035,Roof Pillar,No Defect (Pass),0.999,0.0,4.17
INSP-20036,Quarter Panel Right,No Defect (Pass),0.981,0.0,4.28
INSP-20037,Roof Pillar,No Defect (Pass),0.817,0.0,3.99
INSP-20038,Door Left Front,No Defect (Pass),0.933,0.0,3.6
INSP-20039,Hood,No Defect (Pass),0.984,0.0,4.19
INSP-20040,Quarter Panel Right,No Defect (Pass),0.905,0.0,4.14
INSP-20041,Quarter Panel Right,Welding Porosity,0.519,0.76,3.9
INSP-20042,Door Left Front,No Defect (Pass),0.903,0.0,4.81
INSP-20043,Roof Pillar,No Defect (Pass),0.935,0.0,4.31
INSP-20044,Door Left Front,No Defect (Pass),0.976,0.0,3.65
INSP-20045,Trunk Lid,Paint Scratch / Blemish,0.94,0.87,4.32
INSP-20046,Hood,Welding Porosity,0.758,0.84,4.09
INSP-20047,Roof Pillar,No Defect (Pass),0.939,0.0,4.31
INSP-20048,Hood,No Defect (Pass),0.873,0.0,4.16
INSP-20049,Quarter Panel Right,No Defect (Pass),0.993,0.0,4.12
INSP-20050,Trunk Lid,No Defect (Pass),0.693,0.0,4.34
INSP-20051,Quarter Panel Right,No Defect (Pass),0.973,0.0,4.57
INSP-20052,Door Left Front,No Defect (Pass),0.958,0.0,4.36
INSP-20053,Door Left Front,No Defect (Pass),0.996,0.0,4.19
INSP-20054,Door Left Front,No Defect (Pass),0.85,0.0,4.23
INSP-20055,Roof Pillar,No Defect (Pass),0.896,0.0,4.14
INSP-20056,Trunk Lid,Clear-coat Orange Peel,0.962,0.72,4.3
INSP-20057,Quarter Panel Right,No Defect (Pass),0.821,0.0,4.15
INSP-20058,Door Left Front,No Defect (Pass),0.697,0.0,4.51
INSP-20059,Trunk Lid,No Defect (Pass),0.633,0.0,4.34
INSP-20060,Roof Pillar,No Defect (Pass),0.824,0.0,4.37
INSP-20061,Hood,No Defect (Pass),0.877,0.0,4.54
INSP-20062,Hood,No Defect (Pass),0.86,0.0,4.11
INSP-20063,Trunk Lid,No Defect (Pass),0.997,0.0,4.65
INSP-20064,Roof Pillar,No Defect (Pass),0.953,0.0,4.38
INSP-20065,Quarter Panel Right,No Defect (Pass),0.88,0.0,4.01
INSP-20066,Hood,No Defect (Pass),0.958,0.0,4.01
INSP-20067,Quarter Panel Right,No Defect (Pass),0.712,0.0,4.43
INSP-20068,Roof Pillar,No Defect (Pass),0.815,0.0,3.57
INSP-20069,Trunk Lid,No Defect (Pass),0.555,0.0,4.24
INSP-20070,Hood,No Defect (Pass),0.829,0.0,3.93
INSP-20071,Trunk Lid,No Defect (Pass),0.864,0.0,3.88
INSP-20072,Roof Pillar,No Defect (Pass),0.99,0.0,4.27
INSP-20073,Trunk Lid,No Defect (Pass),0.905,0.0,4.32
INSP-20074,Trunk Lid,No Defect (Pass),0.946,0.0,4.45
INSP-20075,Trunk Lid,No Defect (Pass),0.957,0.0,4.33
INSP-20076,Trunk Lid,No Defect (Pass),0.752,0.0,4.09
INSP-20077,Hood,No Defect (Pass),0.844,0.0,4.41
INSP-20078,Hood,Welding Porosity,0.801,0.75,3.95
INSP-20079,Quarter Panel Right,No Defect (Pass),0.995,0.0,4.34
INSP-20080,Roof Pillar,Welding Porosity,0.717,0.84,4.7
INSP-20081,Hood,No Defect (Pass),0.885,0.0,3.76
INSP-20082,Door Left Front,No Defect (Pass),0.763,0.0,3.94
INSP-20083,Hood,Paint Scratch / Blemish,0.846,0.85,4.24
INSP-20084,Roof Pillar,No Defect (Pass),0.973,0.0,3.61
INSP-20085,Hood,No Defect (Pass),0.938,0.0,3.85
INSP-20086,Hood,No Defect (Pass),0.612,0.0,4.56
INSP-20087,Roof Pillar,No Defect (Pass),0.961,0.0,3.98
INSP-20088,Hood,No Defect (Pass),0.986,0.0,4.46
INSP-20089,Hood,No Defect (Pass),0.966,0.0,4.29
INSP-20090,Trunk Lid,No Defect (Pass),0.811,0.0,4.13
INSP-20091,Roof Pillar,No Defect (Pass),0.909,0.0,3.98
INSP-20092,Door Left Front,No Defect (Pass),0.731,0.0,4.17
INSP-20093,Roof Pillar,No Defect (Pass),0.975,0.0,4.84
INSP-20094,Trunk Lid,No Defect (Pass),0.998,0.0,4.6
INSP-20095,Trunk Lid,No Defect (Pass),0.946,0.0,4.3
INSP-20096,Roof Pillar,No Defect (Pass),0.971,0.0,3.54
INSP-20097,Trunk Lid,No Defect (Pass),0.886,0.0,4.09
INSP-20098,Hood,No Defect (Pass),0.727,0.0,4.1
INSP-20099,Quarter Panel Right,No Defect (Pass),0.934,0.0,4.54
INSP-20100,Quarter Panel Right,No Defect (Pass),0.952,0.0,4.39
INSP-20101,Quarter Panel Right,No Defect (Pass),0.976,0.0,4.17
INSP-20102,Quarter Panel Right,No Defect (Pass),0.993,0.0,3.56
INSP-20103,Roof Pillar,No Defect (Pass),0.94,0.0,4.47
INSP-20104,Door Left Front,No Defect (Pass),0.903,0.0,4.46
INSP-20105,Quarter Panel Right,Paint Scratch / Blemish,0.758,0.95,4.34
INSP-20106,Trunk Lid,No Defect (Pass),0.759,0.0,4.12
INSP-20107,Quarter Panel Right,No Defect (Pass),0.859,0.0,3.88
INSP-20108,Roof Pillar,No Defect (Pass),0.971,0.0,3.76
INSP-20109,Trunk Lid,No Defect (Pass),0.969,0.0,3.83
INSP-20110,Quarter Panel Right,No Defect (Pass),0.983,0.0,4.35
INSP-20111,Hood,No Defect (Pass),0.942,0.0,4.39
INSP-20112,Door Left Front,No Defect (Pass),0.988,0.0,4.67
INSP-20113,Quarter Panel Right,No Defect (Pass),0.774,0.0,3.99
INSP-20114,Trunk Lid,No Defect (Pass),0.984,0.0,4.5
INSP-20115,Quarter Panel Right,No Defect (Pass),0.988,0.0,3.59
INSP-20116,Roof Pillar,No Defect (Pass),0.982,0.0,4.23
INSP-20117,Quarter Panel Right,No Defect (Pass),0.984,0.0,4.29
INSP-20118,Quarter Panel Right,No Defect (Pass),0.809,0.0,4.43
INSP-20119,Trunk Lid,Panel Gap Misalignment,0.404,0.93,4.22
INSP-20120,Roof Pillar,No Defect (Pass),0.94,0.0,4.07
INSP-20121,Hood,No Defect (Pass),0.976,0.0,4.42
INSP-20122,Roof Pillar,No Defect (Pass),0.935,0.0,4.45
INSP-20123,Door Left Front,No Defect (Pass),0.886,0.0,4.09
INSP-20124,Hood,No Defect (Pass),0.916,0.0,4.1
INSP-20125,Door Left Front,No Defect (Pass),0.975,0.0,4.13
INSP-20126,Trunk Lid,No Defect (Pass),0.749,0.0,3.97
INSP-20127,Trunk Lid,No Defect (Pass),0.89,0.0,4.58
INSP-20128,Quarter Panel Right,No Defect (Pass),0.853,0.0,4.31
INSP-20129,Door Left Front,No Defect (Pass),0.974,0.0,5.1
INSP-20130,Roof Pillar,No Defect (Pass),1.0,0.0,3.77
INSP-20131,Hood,No Defect (Pass),0.985,0.0,4.34
INSP-20132,Roof Pillar,Clear-coat Orange Peel,0.852,0.72,3.93
INSP-20133,Trunk Lid,No Defect (Pass),0.995,0.0,4.62
INSP-20134,Hood,No Defect (Pass),0.893,0.0,3.87
INSP-20135,Trunk Lid,No Defect (Pass),0.948,0.0,4.33
INSP-20136,Trunk Lid,No Defect (Pass),0.807,0.0,3.91
INSP-20137,Roof Pillar,No Defect (Pass),0.933,0.0,4.28
INSP-20138,Roof Pillar,No Defect (Pass),0.697,0.0,3.86
INSP-20139,Door Left Front,No Defect (Pass),0.88,0.0,4.59
INSP-20140,Quarter Panel Right,No Defect (Pass),0.979,0.0,4.01
INSP-20141,Roof Pillar,No Defect (Pass),0.961,0.0,4.03
INSP-20142,Door Left Front,No Defect (Pass),0.943,0.0,4.32
INSP-20143,Hood,Clear-coat Orange Peel,0.908,0.9,4.45
INSP-20144,Trunk Lid,No Defect (Pass),0.925,0.0,4.45
INSP-20145,Hood,No Defect (Pass),0.959,0.0,4.78
INSP-20146,Door Left Front,No Defect (Pass),0.929,0.0,4.13
INSP-20147,Trunk Lid,Clear-coat Orange Peel,0.966,0.67,4.48
INSP-20148,Door Left Front,No Defect (Pass),0.956,0.0,4.36
INSP-20149,Door Left Front,No Defect (Pass),0.745,0.0,4.23
INSP-20150,Roof Pillar,No Defect (Pass),0.987,0.0,3.86
INSP-20151,Quarter Panel Right,Clear-coat Orange Peel,0.598,0.91,4.06
INSP-20152,Door Left Front,No Defect (Pass),0.757,0.0,4.36
INSP-20153,Quarter Panel Right,Paint Scratch / Blemish,0.681,0.69,4.25
INSP-20154,Door Left Front,No Defect (Pass),0.886,0.0,4.2
INSP-20155,Door Left Front,No Defect (Pass),0.901,0.0,3.98
INSP-20156,Trunk Lid,No Defect (Pass),0.977,0.0,4.25
