Fleet_ID,Truck_Model,Cargo_Weight_kg,Wind_Resistance_Cd,Tire_Pressure_PSI,Hill_Elevation_m,Average_Speed_MPH,Fuel_Economy_MPG
TRUCK-5000,UrbanDelivery 4x2,5814,0.713,109.7,21.7,53.5,6.87
TRUCK-5001,AeroTruck V6,14296,0.517,95.7,240.5,65.5,4.83
TRUCK-5002,TransHaul Heavy 8,10990,0.547,92.0,497.9,73.3,5.35
TRUCK-5003,UrbanDelivery 4x2,10539,0.633,101.2,177.4,56.6,6.49
TRUCK-5004,AeroTruck V6,15432,0.629,97.6,526.4,54.4,4.5
TRUCK-5005,UrbanDelivery 4x2,12752,0.607,94.5,227.5,68.1,4.5
TRUCK-5006,UrbanDelivery 4x2,17602,0.575,106.0,237.1,66.5,4.5
TRUCK-5007,AeroTruck V6,15865,0.679,95.3,656.3,68.4,4.5
TRUCK-5008,UrbanDelivery 4x2,2257,0.562,109.9,440.6,61.0,7.96
TRUCK-5009,TransHaul Heavy 8,5753,0.451,102.9,268.4,59.8,8.23
TRUCK-5010,EcoVan 2500,13795,0.493,126.7,123.4,58.6,7.58
TRUCK-5011,TransHaul Heavy 8,9188,0.506,100.3,157.1,68.6,5.92
TRUCK-5012,TransHaul Heavy 8,10485,0.59,96.6,299.9,50.8,5.78
TRUCK-5013,AeroTruck V6,5444,0.417,107.7,722.5,64.5,7.59
TRUCK-5014,EcoVan 2500,8147,0.562,107.6,73.0,56.3,7.4
TRUCK-5015,UrbanDelivery 4x2,6961,0.391,100.9,138.0,69.5,7.59
TRUCK-5016,AeroTruck V6,11378,0.647,92.1,137.0,58.8,5.42
TRUCK-5017,UrbanDelivery 4x2,15539,0.443,104.1,190.5,57.2,5.97
TRUCK-5018,AeroTruck V6,5914,0.535,102.9,277.2,64.9,6.66
TRUCK-5019,AeroTruck V6,5408,0.425,93.9,114.1,68.1,7.78
TRUCK-5020,EcoVan 2500,10728,0.472,108.9,120.9,51.0,7.12
TRUCK-5021,EcoVan 2500,5991,0.567,95.5,1150.4,68.7,5.96
TRUCK-5022,UrbanDelivery 4x2,17220,0.693,111.7,1093.3,52.4,4.5
TRUCK-5023,TransHaul Heavy 8,17336,0.654,96.9,87.4,55.9,4.5
TRUCK-5024,EcoVan 2500,7866,0.617,99.2,72.8,50.5,6.41
TRUCK-5025,UrbanDelivery 4x2,10256,0.451,108.1,19.2,63.9,7.33
TRUCK-5026,UrbanDelivery 4x2,4953,0.547,101.9,827.1,59.2,7.37
TRUCK-5027,TransHaul Heavy 8,14947,0.445,99.2,133.1,46.8,5.99
TRUCK-5028,EcoVan 2500,9457,0.681,98.7,646.0,62.2,5.45
TRUCK-5029,TransHaul Heavy 8,8609,0.424,101.9,65.4,72.8,6.14
TRUCK-5030,AeroTruck V6,7053,0.472,100.5,930.6,69.8,5.38
TRUCK-5031,AeroTruck V6,8440,0.45,120.8,311.3,71.3,7.02
TRUCK-5032,UrbanDelivery 4x2,10395,0.422,89.8,412.7,58.2,5.89
TRUCK-5033,AeroTruck V6,7302,0.375,103.4,187.2,63.0,8.27
TRUCK-5034,EcoVan 2500,8381,0.455,108.6,1020.7,61.3,6.95
TRUCK-5035,AeroTruck V6,12227,0.699,101.5,375.8,62.0,5.39
TRUCK-5036,EcoVan 2500,14709,0.622,103.4,324.5,61.8,5.33
TRUCK-5037,UrbanDelivery 4x2,14023,0.505,119.7,302.2,57.8,6.38
TRUCK-5038,AeroTruck V6,5372,0.415,112.7,594.7,65.8,8.05
TRUCK-5039,UrbanDelivery 4x2,14347,0.383,92.0,196.2,56.5,5.38
TRUCK-5040,TransHaul Heavy 8,5281,0.613,103.8,68.2,59.7,7.9
TRUCK-5041,EcoVan 2500,13967,0.575,101.8,16.3,53.9,5.59
TRUCK-5042,EcoVan 2500,17092,0.388,109.4,418.9,57.2,5.68
TRUCK-5043,EcoVan 2500,16492,0.642,114.2,276.6,68.5,4.8
TRUCK-5044,AeroTruck V6,15742,0.534,96.2,143.3,66.1,4.56
TRUCK-5045,TransHaul Heavy 8,5334,0.511,100.4,231.8,59.0,7.57
TRUCK-5046,AeroTruck V6,14714,0.627,109.1,54.8,71.8,4.92
TRUCK-5047,AeroTruck V6,10902,0.525,106.5,901.0,66.3,5.69
TRUCK-5048,EcoVan 2500,5864,0.682,104.2,886.8,57.4,6.27
TRUCK-5049,EcoVan 2500,4364,0.51,116.7,18.6,56.5,8.97
TRUCK-5050,TransHaul Heavy 8,13871,0.581,93.4,63.4,56.7,5.69
TRUCK-5051,UrbanDelivery 4x2,17833,0.669,114.3,341.2,52.5,4.5
TRUCK-5052,TransHaul Heavy 8,4740,0.693,98.4,249.3,63.0,6.93
TRUCK-5053,UrbanDelivery 4x2,12553,0.67,115.7,176.5,68.9,5.76
TRUCK-5054,AeroTruck V6,2750,0.569,109.0,364.5,70.4,7.66
TRUCK-5055,EcoVan 2500,11670,0.671,101.8,322.3,58.6,5.28
TRUCK-5056,EcoVan 2500,17155,0.45,106.6,563.7,61.5,5.11
TRUCK-5057,EcoVan 2500,12204,0.421,105.0,133.7,57.6,7.05
TRUCK-5058,EcoVan 2500,14767,0.444,111.3,951.9,62.7,6.06
TRUCK-5059,UrbanDelivery 4x2,9642,0.604,89.9,95.2,62.8,5.83
TRUCK-5060,TransHaul Heavy 8,6469,0.525,98.9,832.5,61.8,6.75
TRUCK-5061,AeroTruck V6,13656,0.564,102.0,167.8,61.8,5.13
TRUCK-5062,TransHaul Heavy 8,9239,0.458,104.6,237.6,54.0,6.74
TRUCK-5063,UrbanDelivery 4x2,14799,0.519,103.2,105.2,65.6,5.4
TRUCK-5064,UrbanDelivery 4x2,12299,0.448,104.8,925.8,70.4,4.96
TRUCK-5065,UrbanDelivery 4x2,13281,0.364,105.8,60.2,53.2,7.55
TRUCK-5066,AeroTruck V6,2773,0.445,113.4,1028.4,57.1,8.71
TRUCK-5067,AeroTruck V6,14273,0.485,100.3,355.8,62.5,5.61
TRUCK-5068,UrbanDelivery 4x2,7889,0.444,102.5,85.0,61.4,7.34
TRUCK-5069,EcoVan 2500,15900,0.691,102.6,240.4,74.4,4.5
TRUCK-5070,EcoVan 2500,5023,0.388,110.1,369.1,61.4,8.24
TRUCK-5071,AeroTruck V6,10227,0.672,110.8,309.6,72.4,5.04
TRUCK-5072,EcoVan 2500,14287,0.383,101.9,167.8,54.3,6.36
TRUCK-5073,TransHaul Heavy 8,7508,0.544,106.8,452.0,65.2,6.48
TRUCK-5074,UrbanDelivery 4x2,16360,0.507,99.6,128.3,58.8,5.28
TRUCK-5075,EcoVan 2500,9345,0.644,108.3,34.3,51.1,6.35
TRUCK-5076,TransHaul Heavy 8,11466,0.501,114.3,382.5,64.8,6.45
TRUCK-5077,AeroTruck V6,10478,0.496,83.5,215.7,48.0,5.8
TRUCK-5078,UrbanDelivery 4x2,3346,0.574,99.3,540.8,66.7,7.36
TRUCK-5079,UrbanDelivery 4x2,17664,0.482,96.7,176.1,45.1,4.5
TRUCK-5080,UrbanDelivery 4x2,8120,0.424,109.8,1787.8,52.0,6.92
TRUCK-5081,AeroTruck V6,2269,0.518,89.3,50.5,63.8,8.06
TRUCK-5082,UrbanDelivery 4x2,11119,0.449,118.0,160.2,51.8,7.65
TRUCK-5083,EcoVan 2500,6379,0.592,110.8,313.1,60.0,7.79
TRUCK-5084,UrbanDelivery 4x2,13289,0.608,99.0,119.5,74.5,4.5
TRUCK-5085,TransHaul Heavy 8,14079,0.473,106.4,73.0,64.6,5.67
TRUCK-5086,TransHaul Heavy 8,7187,0.617,100.9,118.7,65.8,6.17
TRUCK-5087,AeroTruck V6,10137,0.709,92.3,378.7,55.6,4.92
TRUCK-5088,TransHaul Heavy 8,16153,0.609,107.2,436.5,42.5,5.31
TRUCK-5089,TransHaul Heavy 8,9535,0.364,115.6,163.6,61.3,7.51
TRUCK-5090,AeroTruck V6,10225,0.617,92.7,74.8,62.9,6.01
TRUCK-5091,TransHaul Heavy 8,4210,0.559,110.8,391.8,56.2,7.87
TRUCK-5092,TransHaul Heavy 8,8341,0.431,108.5,217.6,64.4,7.29
TRUCK-5093,EcoVan 2500,17249,0.623,93.1,584.6,64.9,4.5
TRUCK-5094,AeroTruck V6,9007,0.372,95.4,84.4,58.1,6.56
TRUCK-5095,TransHaul Heavy 8,15800,0.374,93.3,28.3,65.0,5.79
