Timestamp_s,True_X_m,True_Y_m,LiDAR_X_m,LiDAR_Y_m,Radar_X_m,Radar_Y_m,Fused_Track_X_m,Fused_Track_Y_m,Tracking_Error_m
0.0,0.0,0.4,-0.054,0.616,0.909,0.279,0.24,0.545,0.2802
0.1,0.273,0.519,0.112,0.567,0.865,0.698,0.271,0.477,0.0424
0.2,0.545,0.634,0.592,0.486,0.419,0.979,0.606,0.79,0.167
0.3,0.817,0.745,0.694,0.746,0.806,0.258,0.758,0.69,0.0812
0.4,1.089,0.853,0.941,0.817,0.955,0.33,0.93,0.772,0.1786
0.51,1.359,0.956,1.291,1.02,1.191,1.191,1.32,1.058,0.109
0.61,1.629,1.056,1.655,1.092,1.301,0.873,1.616,1.037,0.0234
0.71,1.898,1.153,1.874,1.317,2.02,1.715,1.936,1.404,0.2541
0.81,2.165,1.246,2.201,1.054,2.405,1.109,2.27,1.057,0.2163
0.91,2.431,1.337,2.401,1.422,1.971,1.471,2.297,1.277,0.1463
1.01,2.695,1.425,2.474,1.21,2.746,1.887,2.502,1.352,0.206
1.11,2.957,1.511,3.151,1.419,3.415,1.815,3.131,1.493,0.1753
1.21,3.218,1.595,3.128,1.555,2.904,1.393,2.999,1.592,0.2189
1.31,3.476,1.678,3.605,1.695,3.882,1.536,3.619,1.666,0.1434
1.41,3.733,1.759,3.59,1.656,3.482,2.239,3.669,1.848,0.1093
1.52,3.988,1.84,3.822,2.048,4.252,1.604,3.895,1.916,0.1199
1.62,4.24,1.921,4.387,1.92,4.579,1.867,4.431,1.88,0.1955
1.72,4.491,2.002,4.39,1.918,5.055,2.483,4.598,2.073,0.1287
1.82,4.739,2.084,4.787,2.126,5.084,1.769,4.831,1.986,0.1342
1.92,4.986,2.166,5.092,2.316,4.754,1.78,4.999,2.183,0.0212
2.02,5.231,2.25,5.203,2.232,5.078,2.966,5.177,2.368,0.1295
2.12,5.473,2.336,5.554,2.134,4.987,2.888,5.465,2.323,0.016
2.22,5.715,2.424,5.54,2.478,5.755,2.271,5.615,2.346,0.1266
2.32,5.954,2.515,6.023,2.424,5.72,2.21,5.885,2.327,0.2001
2.42,6.192,2.608,6.045,2.34,6.196,2.563,6.138,2.483,0.1357
2.53,6.429,2.704,6.225,2.644,6.13,2.334,6.179,2.551,0.2929
2.63,6.664,2.803,6.692,2.945,6.882,2.23,6.708,2.832,0.0519
2.73,6.899,2.907,6.884,2.954,6.81,2.5,6.868,2.937,0.0431
2.83,7.132,3.013,7.233,3.224,7.464,3.054,7.303,3.184,0.2413
2.93,7.365,3.124,7.315,3.1,7.283,3.323,7.369,3.165,0.0415
3.03,7.598,3.239,7.585,3.2,7.808,3.634,7.544,3.33,0.1062
