Claim_ID,Dealership_ID,Replaced_Component,Claim_Amount_USD,Labor_Hours_Billed,Parts_Quantity,Vehicle_Age_Months,True_Fraud_Flag,Anomaly_Flag,Audit_Status
CLAIM-80000,Dealership-D011,Inverter ECU,4228.62,30.9,5,8,0,-1,High-Risk (Flagged for Audit)
CLAIM-80001,Dealership-D020,Transmission Valve Body,692.27,5.4,4,32,0,1,Approved Standard Claim
CLAIM-80002,Dealership-D004,Turbocharger Assembly,535.57,4.4,3,24,0,1,Approved Standard Claim
CLAIM-80003,Dealership-D015,Brake Caliper Kit,1374.74,11.3,2,39,0,1,Approved Standard Claim
CLAIM-80004,Dealership-D026,Infotainment Head Unit,1850.07,18.3,3,21,0,1,Approved Standard Claim
CLAIM-80005,Dealership-D032,Inverter ECU,1263.4,10.7,2,28,0,1,Approved Standard Claim
CLAIM-80006,Dealership-D028,Battery Module,1317.57,14.2,2,31,0,1,Approved Standard Claim
CLAIM-80007,Dealership-D002,Brake Caliper Kit,722.92,5.2,4,17,0,1,Approved Standard Claim
CLAIM-80008,Dealership-D044,Transmission Valve Body,1649.68,14.0,2,32,0,1,Approved Standard Claim
CLAIM-80009,Dealership-D001,Inverter ECU,984.34,9.9,2,36,0,1,Approved Standard Claim
CLAIM-80010,Dealership-D018,Transmission Valve Body,1201.32,11.4,4,42,0,1,Approved Standard Claim
CLAIM-80011,Dealership-D038,Inverter ECU,2015.75,22.4,4,23,0,1,Approved Standard Claim
CLAIM-80012,Dealership-D003,Turbocharger Assembly,824.43,8.3,2,8,0,1,Approved Standard Claim
CLAIM-80013,Dealership-D010,Transmission Valve Body,509.58,4.0,3,14,0,1,Approved Standard Claim
CLAIM-80014,Dealership-D013,Infotainment Head Unit,2197.93,21.2,1,13,0,1,Approved Standard Claim
CLAIM-80015,Dealership-D026,Turbocharger Assembly,820.38,8.4,5,45,0,1,Approved Standard Claim
CLAIM-80016,Dealership-D008,Turbocharger Assembly,1565.79,15.1,5,15,0,1,Approved Standard Claim
CLAIM-80017,Dealership-D037,Transmission Valve Body,569.24,4.6,3,38,0,1,Approved Standard Claim
CLAIM-80018,Dealership-D041,Brake Caliper Kit,2844.4,21.1,4,18,0,1,Approved Standard Claim
CLAIM-80019,Dealership-D040,Brake Caliper Kit,2647.62,21.4,2,24,0,1,Approved Standard Claim
CLAIM-80020,Dealership-D026,Inverter ECU,1627.38,13.6,3,47,0,1,Approved Standard Claim
CLAIM-80021,Dealership-D016,Brake Caliper Kit,1123.79,9.3,3,26,0,1,Approved Standard Claim
CLAIM-80022,Dealership-D028,Battery Module,1156.87,10.0,5,13,0,1,Approved Standard Claim
CLAIM-80023,Dealership-D043,Transmission Valve Body,849.3,6.7,4,42,0,1,Approved Standard Claim
CLAIM-80024,Dealership-D031,Battery Module,4820.78,35.0,1,43,0,-1,High-Risk (Flagged for Audit)
CLAIM-80025,Dealership-D013,Infotainment Head Unit,2953.31,27.2,3,37,0,1,Approved Standard Claim
CLAIM-80026,Dealership-D039,Inverter ECU,718.65,5.2,2,12,0,1,Approved Standard Claim
CLAIM-80027,Dealership-D005,Turbocharger Assembly,1136.56,12.4,3,14,0,1,Approved Standard Claim
