Timestamp,Hour_of_Day,Day_of_Week,Station_Location,Grid_Power_kW,Active_Stalls,Electricity_Rate_kWh,Forecast_Demand_kW
2026-06-01 00:00,0,Monday,Downtown Metro Hub,1163.1,9,0.18,1135.8
2026-06-01 00:00,0,Monday,Tech Corridor Supercharger,932.4,7,0.18,914.0
2026-06-01 00:00,0,Monday,Airport Transit Hub,656.7,5,0.18,681.3
2026-06-01 00:00,0,Monday,Suburban Plaza,636.7,5,0.18,648.7
2026-06-01 01:00,1,Monday,Downtown Metro Hub,1122.9,9,0.18,1049.4
2026-06-01 01:00,1,Monday,Tech Corridor Supercharger,845.7,7,0.18,862.3
2026-06-01 01:00,1,Monday,Airport Transit Hub,623.2,5,0.18,626.0
2026-06-01 01:00,1,Monday,Suburban Plaza,687.5,5,0.18,705.2
2026-06-01 02:00,2,Monday,Downtown Metro Hub,981.6,8,0.18,972.8
2026-06-01 02:00,2,Monday,Tech Corridor Supercharger,742.4,6,0.18,686.3
2026-06-01 02:00,2,Monday,Airport Transit Hub,576.1,4,0.18,590.5
2026-06-01 02:00,2,Monday,Suburban Plaza,545.7,4,0.18,519.2
2026-06-01 03:00,3,Monday,Downtown Metro Hub,784.2,6,0.18,735.7
2026-06-01 03:00,3,Monday,Tech Corridor Supercharger,588.9,4,0.18,596.9
2026-06-01 03:00,3,Monday,Airport Transit Hub,491.7,4,0.18,505.7
2026-06-01 03:00,3,Monday,Suburban Plaza,493.7,4,0.18,475.1
2026-06-01 04:00,4,Monday,Downtown Metro Hub,547.3,4,0.18,576.3
2026-06-01 04:00,4,Monday,Tech Corridor Supercharger,452.2,3,0.18,447.1
2026-06-01 04:00,4,Monday,Airport Transit Hub,261.7,2,0.18,264.0
2026-06-01 04:00,4,Monday,Suburban Plaza,306.2,2,0.18,307.0
2026-06-01 05:00,5,Monday,Downtown Metro Hub,397.5,3,0.18,390.7
2026-06-01 05:00,5,Monday,Tech Corridor Supercharger,297.8,2,0.18,280.4
2026-06-01 05:00,5,Monday,Airport Transit Hub,229.5,1,0.18,224.7
2026-06-01 05:00,5,Monday,Suburban Plaza,220.8,1,0.18,219.8
2026-06-01 06:00,6,Monday,Downtown Metro Hub,342.6,2,0.18,342.1
2026-06-01 06:00,6,Monday,Tech Corridor Supercharger,284.5,2,0.18,285.0
2026-06-01 06:00,6,Monday,Airport Transit Hub,186.5,1,0.18,188.2
2026-06-01 06:00,6,Monday,Suburban Plaza,202.2,1,0.18,193.5
2026-06-01 07:00,7,Monday,Downtown Metro Hub,345.8,2,0.18,345.9
2026-06-01 07:00,7,Monday,Tech Corridor Supercharger,358.2,2,0.18,350.9
2026-06-01 07:00,7,Monday,Airport Transit Hub,264.2,2,0.18,263.9
2026-06-01 07:00,7,Monday,Suburban Plaza,245.3,2,0.18,242.3
2026-06-01 08:00,8,Monday,Downtown Metro Hub,579.9,4,0.18,612.6
2026-06-01 08:00,8,Monday,Tech Corridor Supercharger,467.7,3,0.18,476.8
2026-06-01 08:00,8,Monday,Airport Transit Hub,363.2,3,0.18,358.2
2026-06-01 08:00,8,Monday,Suburban Plaza,368.0,3,0.18,344.7
2026-06-01 09:00,9,Monday,Downtown Metro Hub,804.7,6,0.18,800.6
2026-06-01 09:00,9,Monday,Tech Corridor Supercharger,481.2,4,0.18,485.5
2026-06-01 09:00,9,Monday,Airport Transit Hub,405.3,3,0.18,388.4
2026-06-01 09:00,9,Monday,Suburban Plaza,421.1,3,0.18,396.7
2026-06-01 10:00,10,Monday,Downtown Metro Hub,1012.2,8,0.18,1013.2
2026-06-01 10:00,10,Monday,Tech Corridor Supercharger,736.9,6,0.18,725.7
2026-06-01 10:00,10,Monday,Airport Transit Hub,637.3,5,0.18,640.4
2026-06-01 10:00,10,Monday,Suburban Plaza,605.8,5,0.18,613.2
2026-06-01 11:00,11,Monday,Downtown Metro Hub,1127.3,9,0.18,1197.8
2026-06-01 11:00,11,Monday,Tech Corridor Supercharger,922.0,7,0.18,917.0
2026-06-01 11:00,11,Monday,Airport Transit Hub,690.7,5,0.18,690.9
2026-06-01 11:00,11,Monday,Suburban Plaza,618.6,5,0.18,586.4
2026-06-01 12:00,12,Monday,Downtown Metro Hub,1181.0,9,0.18,1147.0
2026-06-01 12:00,12,Monday,Tech Corridor Supercharger,933.8,7,0.18,917.4
2026-06-01 12:00,12,Monday,Airport Transit Hub,689.5,5,0.18,653.4
2026-06-01 12:00,12,Monday,Suburban Plaza,616.7,5,0.18,615.1
2026-06-01 13:00,13,Monday,Downtown Metro Hub,1142.2,9,0.18,1098.5
2026-06-01 13:00,13,Monday,Tech Corridor Supercharger,872.2,7,0.18,891.0
2026-06-01 13:00,13,Monday,Airport Transit Hub,615.8,5,0.18,598.4
2026-06-01 13:00,13,Monday,Suburban Plaza,636.1,5,0.18,593.9
2026-06-01 14:00,14,Monday,Downtown Metro Hub,1068.4,8,0.18,1041.5
2026-06-01 14:00,14,Monday,Tech Corridor Supercharger,794.4,6,0.18,768.2
2026-06-01 14:00,14,Monday,Airport Transit Hub,549.4,4,0.18,544.1
2026-06-01 14:00,14,Monday,Suburban Plaza,580.0,4,0.18,611.0
2026-06-01 15:00,15,Monday,Downtown Metro Hub,771.1,6,0.18,780.1
2026-06-01 15:00,15,Monday,Tech Corridor Supercharger,596.3,4,0.18,549.1
2026-06-01 15:00,15,Monday,Airport Transit Hub,481.0,4,0.18,489.9
2026-06-01 15:00,15,Monday,Suburban Plaza,462.2,3,0.18,444.9
2026-06-01 16:00,16,Monday,Downtown Metro Hub,535.4,4,0.42,541.1
2026-06-01 16:00,16,Monday,Tech Corridor Supercharger,400.1,3,0.42,392.3
2026-06-01 16:00,16,Monday,Airport Transit Hub,299.9,2,0.42,301.2
2026-06-01 16:00,16,Monday,Suburban Plaza,278.3,2,0.42,276.1
2026-06-01 17:00,17,Monday,Downtown Metro Hub,435.3,3,0.42,450.9
2026-06-01 17:00,17,Monday,Tech Corridor Supercharger,307.9,2,0.42,306.1
2026-06-01 17:00,17,Monday,Airport Transit Hub,255.4,2,0.42,262.3
2026-06-01 17:00,17,Monday,Suburban Plaza,200.8,1,0.42,205.7
2026-06-01 18:00,18,Monday,Downtown Metro Hub,363.7,3,0.42,370.5
2026-06-01 18:00,18,Monday,Tech Corridor Supercharger,286.0,2,0.42,286.8
2026-06-01 18:00,18,Monday,Airport Transit Hub,214.6,1,0.42,226.8
2026-06-01 18:00,18,Monday,Suburban Plaza,144.1,1,0.42,140.9
2026-06-01 19:00,19,Monday,Downtown Metro Hub,438.5,3,0.42,457.8
2026-06-01 19:00,19,Monday,Tech Corridor Supercharger,306.0,2,0.42,301.3
2026-06-01 19:00,19,Monday,Airport Transit Hub,183.7,1,0.42,177.1
2026-06-01 19:00,19,Monday,Suburban Plaza,254.3,2,0.42,253.1
2026-06-01 20:00,20,Monday,Downtown Metro Hub,619.0,5,0.42,622.8
2026-06-01 20:00,20,Monday,Tech Corridor Supercharger,494.1,4,0.42,491.8
2026-06-01 20:00,20,Monday,Airport Transit Hub,276.4,2,0.42,271.9
2026-06-01 20:00,20,Monday,Suburban Plaza,319.2,2,0.42,310.3
2026-06-01 21:00,21,Monday,Downtown Metro Hub,838.3,6,0.42,824.9
2026-06-01 21:00,21,Monday,Tech Corridor Supercharger,584.9,4,0.42,568.7
2026-06-01 21:00,21,Monday,Airport Transit Hub,436.4,3,0.42,434.4
2026-06-01 21:00,21,Monday,Suburban Plaza,451.6,3,0.42,474.2
