Test_Run_ID,Vehicle_Speed_kmh,Engine_Speed_RPM,Cabin_Noise_dB,Engine_Mount_Vibe_G,Harshness_Status
BMW-NVH-1000,121.8,2816,67.2,0.175,Luxury Quiet Standard
BMW-NVH-1001,55.4,1280,61.4,0.143,Luxury Quiet Standard
BMW-NVH-1002,95.4,2291,65.7,0.187,Luxury Quiet Standard
BMW-NVH-1003,145.4,3512,78.5,0.265,Unwanted Boom / Hum
BMW-NVH-1004,74.3,1856,63.1,0.147,Luxury Quiet Standard
BMW-NVH-1005,52.4,1210,60.8,0.128,Luxury Quiet Standard
BMW-NVH-1006,33.4,861,54.7,0.133,Luxury Quiet Standard
BMW-NVH-1007,93.0,2124,63.4,0.188,Luxury Quiet Standard
BMW-NVH-1008,65.8,1555,62.3,0.176,Luxury Quiet Standard
BMW-NVH-1009,80.6,1876,62.0,0.149,Luxury Quiet Standard
BMW-NVH-1010,178.6,4183,82.7,0.256,Unwanted Boom / Hum
BMW-NVH-1011,65.7,1572,60.9,0.129,Luxury Quiet Standard
BMW-NVH-1012,42.2,956,58.2,0.117,Luxury Quiet Standard
BMW-NVH-1013,130.4,3131,71.7,0.214,Luxury Quiet Standard
BMW-NVH-1014,123.2,3063,72.6,0.224,Luxury Quiet Standard
BMW-NVH-1015,71.1,1555,63.4,0.083,Luxury Quiet Standard
BMW-NVH-1016,99.9,2410,64.2,0.15,Luxury Quiet Standard
BMW-NVH-1017,47.8,1161,59.3,0.111,Luxury Quiet Standard
BMW-NVH-1018,41.1,915,60.0,0.066,Luxury Quiet Standard
BMW-NVH-1019,165.1,3809,80.0,0.237,Unwanted Boom / Hum
BMW-NVH-1020,149.1,3603,73.7,0.153,Luxury Quiet Standard
BMW-NVH-1021,156.1,3829,80.6,0.236,Unwanted Boom / Hum
BMW-NVH-1022,152.3,3595,74.7,0.193,Luxury Quiet Standard
BMW-NVH-1023,178.6,4334,80.4,0.219,Luxury Quiet Standard
BMW-NVH-1024,116.6,3012,68.6,0.197,Luxury Quiet Standard
BMW-NVH-1025,152.1,3730,73.2,0.205,Luxury Quiet Standard
BMW-NVH-1026,93.2,2235,65.8,0.242,Luxury Quiet Standard
BMW-NVH-1027,34.1,814,61.1,0.099,Luxury Quiet Standard
BMW-NVH-1028,98.1,2410,65.1,0.168,Luxury Quiet Standard
BMW-NVH-1029,45.8,1107,58.4,0.133,Luxury Quiet Standard
BMW-NVH-1030,152.6,3563,76.3,0.203,Luxury Quiet Standard
BMW-NVH-1031,134.7,3227,69.8,0.203,Luxury Quiet Standard
BMW-NVH-1032,114.8,2724,66.5,0.156,Luxury Quiet Standard
BMW-NVH-1033,71.1,1703,59.1,0.178,Luxury Quiet Standard
BMW-NVH-1034,179.8,4316,80.4,0.271,Unwanted Boom / Hum
BMW-NVH-1035,50.7,1202,60.0,0.191,Luxury Quiet Standard
BMW-NVH-1036,122.3,3060,71.0,0.202,Luxury Quiet Standard
BMW-NVH-1037,102.8,2434,65.9,0.153,Luxury Quiet Standard
BMW-NVH-1038,90.8,2192,62.4,0.211,Luxury Quiet Standard
BMW-NVH-1039,139.2,3370,74.5,0.199,Luxury Quiet Standard
BMW-NVH-1040,78.4,1868,64.0,0.107,Luxury Quiet Standard
BMW-NVH-1041,90.1,2177,65.9,0.142,Luxury Quiet Standard
BMW-NVH-1042,77.8,1831,64.7,0.167,Luxury Quiet Standard
BMW-NVH-1043,172.1,4029,77.2,0.209,Luxury Quiet Standard
BMW-NVH-1044,167.8,3829,76.0,0.199,Luxury Quiet Standard
BMW-NVH-1045,152.1,3718,71.2,0.199,Luxury Quiet Standard
BMW-NVH-1046,35.1,931,56.0,0.159,Luxury Quiet Standard
BMW-NVH-1047,171.5,4125,76.2,0.192,Luxury Quiet Standard
BMW-NVH-1048,172.6,4143,77.0,0.22,Luxury Quiet Standard
BMW-NVH-1049,151.0,3569,76.0,0.253,Unwanted Boom / Hum
BMW-NVH-1050,102.2,2233,68.5,0.174,Luxury Quiet Standard
BMW-NVH-1051,175.0,4338,77.7,0.194,Luxury Quiet Standard
BMW-NVH-1052,92.5,2137,66.4,0.156,Luxury Quiet Standard
BMW-NVH-1053,77.8,1846,64.9,0.124,Luxury Quiet Standard
BMW-NVH-1054,32.5,825,56.3,0.125,Luxury Quiet Standard
BMW-NVH-1055,35.7,835,54.7,0.103,Luxury Quiet Standard
BMW-NVH-1056,38.0,802,57.7,0.164,Luxury Quiet Standard
BMW-NVH-1057,49.2,1208,56.0,0.111,Luxury Quiet Standard
BMW-NVH-1058,35.0,1014,58.6,0.074,Luxury Quiet Standard
BMW-NVH-1059,64.0,1516,60.2,0.139,Luxury Quiet Standard
BMW-NVH-1060,111.6,2434,68.7,0.181,Luxury Quiet Standard
BMW-NVH-1061,56.8,1402,61.3,0.17,Luxury Quiet Standard
BMW-NVH-1062,56.9,1392,57.8,0.114,Luxury Quiet Standard
BMW-NVH-1063,52.4,1152,58.2,0.151,Luxury Quiet Standard
BMW-NVH-1064,132.5,3144,70.8,0.187,Luxury Quiet Standard
BMW-NVH-1065,100.4,2360,64.2,0.118,Luxury Quiet Standard
BMW-NVH-1066,145.2,3443,82.6,0.228,Unwanted Boom / Hum
BMW-NVH-1067,130.3,3183,68.2,0.192,Luxury Quiet Standard
BMW-NVH-1068,96.2,2446,66.8,0.175,Luxury Quiet Standard
BMW-NVH-1069,119.3,2838,67.4,0.218,Luxury Quiet Standard
BMW-NVH-1070,99.2,2368,64.0,0.195,Luxury Quiet Standard
BMW-NVH-1071,174.5,4118,80.2,0.254,Unwanted Boom / Hum
BMW-NVH-1072,52.2,1256,63.8,0.15,Luxury Quiet Standard
BMW-NVH-1073,166.0,3924,83.2,0.257,Unwanted Boom / Hum
BMW-NVH-1074,104.7,2516,67.9,0.197,Luxury Quiet Standard
BMW-NVH-1075,118.9,2772,70.1,0.184,Luxury Quiet Standard
BMW-NVH-1076,132.7,3184,68.8,0.178,Luxury Quiet Standard
BMW-NVH-1077,56.6,1369,64.4,0.125,Luxury Quiet Standard
BMW-NVH-1078,159.7,3801,75.8,0.21,Luxury Quiet Standard
BMW-NVH-1079,102.3,2542,68.1,0.129,Luxury Quiet Standard
BMW-NVH-1080,40.4,1016,58.5,0.097,Luxury Quiet Standard
BMW-NVH-1081,84.7,2031,58.2,0.198,Luxury Quiet Standard
BMW-NVH-1082,84.2,2113,66.8,0.189,Luxury Quiet Standard
BMW-NVH-1083,100.8,2589,64.6,0.181,Luxury Quiet Standard
BMW-NVH-1084,56.9,1288,60.3,0.149,Luxury Quiet Standard
BMW-NVH-1085,56.3,1370,58.3,0.104,Luxury Quiet Standard
BMW-NVH-1086,172.4,4055,74.9,0.205,Luxury Quiet Standard
BMW-NVH-1087,128.4,3172,71.4,0.228,Luxury Quiet Standard
BMW-NVH-1088,50.2,1172,58.7,0.101,Luxury Quiet Standard
BMW-NVH-1089,169.2,3999,74.8,0.22,Luxury Quiet Standard
BMW-NVH-1090,156.3,3814,79.8,0.236,Unwanted Boom / Hum
BMW-NVH-1091,37.9,905,58.0,0.098,Luxury Quiet Standard
BMW-NVH-1092,60.6,1500,59.6,0.147,Luxury Quiet Standard
BMW-NVH-1093,160.9,3845,81.2,0.254,Unwanted Boom / Hum
