Handover_Event_ID,Driver_Attention_State,Handover_Response_Time_s,Speed_at_Handover_kmh,Adverse_Weather_Flag,Handover_Success
MB-L3-5000,Attentive & Forward,1.32,48.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5001,Smartphone Screen,2.66,84.6,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5002,Attentive & Forward,1.71,84.8,Clear Weather,Safe Smooth Handover
MB-L3-5003,Attentive & Forward,1.39,59.8,Clear Weather,Safe Smooth Handover
MB-L3-5004,Attentive & Forward,1.17,64.0,Clear Weather,Safe Smooth Handover
MB-L3-5005,Attentive & Forward,1.51,125.1,Clear Weather,Safe Smooth Handover
MB-L3-5006,Attentive & Forward,1.53,55.9,Clear Weather,Safe Smooth Handover
MB-L3-5007,Attentive & Forward,1.3,82.5,Clear Weather,Safe Smooth Handover
MB-L3-5008,Attentive & Forward,1.35,84.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5009,Smartphone Screen,2.18,42.3,Clear Weather,Safe Smooth Handover
MB-L3-5010,Attentive & Forward,1.39,90.0,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5011,Attentive & Forward,0.99,90.6,Clear Weather,Safe Smooth Handover
MB-L3-5012,Attentive & Forward,1.6,46.7,Clear Weather,Safe Smooth Handover
MB-L3-5013,Attentive & Forward,1.16,110.5,Clear Weather,Safe Smooth Handover
MB-L3-5014,Attentive & Forward,0.96,53.7,Clear Weather,Safe Smooth Handover
MB-L3-5015,Attentive & Forward,1.63,118.8,Clear Weather,Safe Smooth Handover
MB-L3-5016,Attentive & Forward,1.61,45.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5017,Attentive & Forward,1.51,121.3,Construction Zone,Safe Smooth Handover
MB-L3-5018,Attentive & Forward,1.65,44.8,Clear Weather,Safe Smooth Handover
MB-L3-5019,Drowsy / Eyelid Blink,4.34,40.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5020,Drowsy / Eyelid Blink,3.32,49.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5021,Attentive & Forward,1.4,98.0,Clear Weather,Safe Smooth Handover
MB-L3-5022,Smartphone Screen,2.8,63.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5023,Looking at Passenger,3.34,111.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5024,Attentive & Forward,1.73,80.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5025,Attentive & Forward,1.44,57.0,Clear Weather,Safe Smooth Handover
MB-L3-5026,Attentive & Forward,1.75,62.0,Clear Weather,Safe Smooth Handover
MB-L3-5027,Drowsy / Eyelid Blink,3.45,71.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5028,Attentive & Forward,1.3,61.3,Clear Weather,Safe Smooth Handover
MB-L3-5029,Attentive & Forward,1.27,45.1,Clear Weather,Safe Smooth Handover
MB-L3-5030,Attentive & Forward,1.77,82.9,Clear Weather,Safe Smooth Handover
MB-L3-5031,Attentive & Forward,1.32,84.2,Clear Weather,Safe Smooth Handover
MB-L3-5032,Attentive & Forward,1.44,53.1,Clear Weather,Safe Smooth Handover
MB-L3-5033,Drowsy / Eyelid Blink,3.9,48.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5034,Drowsy / Eyelid Blink,3.99,67.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5035,Drowsy / Eyelid Blink,2.46,93.8,Clear Weather,Safe Smooth Handover
MB-L3-5036,Rear Seat Mirror,2.37,49.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5037,Attentive & Forward,1.55,117.3,Clear Weather,Safe Smooth Handover
MB-L3-5038,Attentive & Forward,1.4,62.9,Clear Weather,Safe Smooth Handover
MB-L3-5039,Attentive & Forward,1.52,117.4,Clear Weather,Safe Smooth Handover
MB-L3-5040,Looking at Passenger,1.86,78.9,Clear Weather,Safe Smooth Handover
MB-L3-5041,Attentive & Forward,1.4,81.5,Clear Weather,Safe Smooth Handover
MB-L3-5042,Attentive & Forward,1.05,118.4,Clear Weather,Safe Smooth Handover
MB-L3-5043,Attentive & Forward,1.43,73.7,Clear Weather,Safe Smooth Handover
MB-L3-5044,Drowsy / Eyelid Blink,4.45,93.6,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5045,Looking at Passenger,2.21,47.0,Clear Weather,Safe Smooth Handover
MB-L3-5046,Smartphone Screen,3.06,89.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5047,Attentive & Forward,1.31,59.6,Clear Weather,Safe Smooth Handover
MB-L3-5048,Drowsy / Eyelid Blink,4.07,125.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5049,Rear Seat Mirror,2.34,66.4,Clear Weather,Safe Smooth Handover
MB-L3-5050,Attentive & Forward,1.37,54.4,Clear Weather,Safe Smooth Handover
MB-L3-5051,Looking at Passenger,2.06,90.2,Clear Weather,Safe Smooth Handover
MB-L3-5052,Attentive & Forward,1.44,96.4,Clear Weather,Safe Smooth Handover
MB-L3-5053,Smartphone Screen,2.22,71.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5054,Attentive & Forward,1.38,63.8,Clear Weather,Safe Smooth Handover
MB-L3-5055,Attentive & Forward,1.17,60.3,Clear Weather,Safe Smooth Handover
MB-L3-5056,Looking at Passenger,3.01,80.7,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5057,Looking at Passenger,2.2,50.2,Clear Weather,Safe Smooth Handover
MB-L3-5058,Attentive & Forward,1.42,111.9,Clear Weather,Safe Smooth Handover
MB-L3-5059,Attentive & Forward,1.4,61.6,Clear Weather,Safe Smooth Handover
MB-L3-5060,Attentive & Forward,1.08,41.6,Clear Weather,Safe Smooth Handover
MB-L3-5061,Attentive & Forward,1.36,110.4,Clear Weather,Safe Smooth Handover
MB-L3-5062,Attentive & Forward,1.64,120.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5063,Drowsy / Eyelid Blink,3.83,104.9,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5064,Drowsy / Eyelid Blink,2.06,109.1,Clear Weather,Safe Smooth Handover
MB-L3-5065,Looking at Passenger,2.52,49.2,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5066,Attentive & Forward,1.53,47.7,Clear Weather,Safe Smooth Handover
MB-L3-5067,Attentive & Forward,1.21,109.0,Clear Weather,Safe Smooth Handover
MB-L3-5068,Attentive & Forward,1.28,125.0,Clear Weather,Safe Smooth Handover
MB-L3-5069,Attentive & Forward,1.25,77.6,Clear Weather,Safe Smooth Handover
MB-L3-5070,Attentive & Forward,1.84,87.5,Clear Weather,Safe Smooth Handover
MB-L3-5071,Attentive & Forward,1.36,126.8,Clear Weather,Safe Smooth Handover
MB-L3-5072,Attentive & Forward,1.49,41.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5073,Attentive & Forward,1.44,50.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5074,Attentive & Forward,1.74,113.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5075,Attentive & Forward,1.41,116.4,Clear Weather,Safe Smooth Handover
MB-L3-5076,Drowsy / Eyelid Blink,3.3,54.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5077,Attentive & Forward,1.21,50.4,Clear Weather,Safe Smooth Handover
MB-L3-5078,Smartphone Screen,1.84,117.8,Clear Weather,Safe Smooth Handover
MB-L3-5079,Drowsy / Eyelid Blink,3.32,48.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5080,Attentive & Forward,1.39,52.5,Construction Zone,Safe Smooth Handover
MB-L3-5081,Attentive & Forward,1.42,46.2,Clear Weather,Safe Smooth Handover
MB-L3-5082,Attentive & Forward,1.58,90.0,Clear Weather,Safe Smooth Handover
MB-L3-5083,Attentive & Forward,1.51,122.1,Clear Weather,Safe Smooth Handover
MB-L3-5084,Attentive & Forward,1.63,103.3,Clear Weather,Safe Smooth Handover
MB-L3-5085,Attentive & Forward,1.37,83.4,Clear Weather,Safe Smooth Handover
MB-L3-5086,Attentive & Forward,1.28,121.3,Clear Weather,Safe Smooth Handover
MB-L3-5087,Attentive & Forward,1.41,81.8,Clear Weather,Safe Smooth Handover
MB-L3-5088,Attentive & Forward,1.34,80.9,Clear Weather,Safe Smooth Handover
MB-L3-5089,Smartphone Screen,2.6,88.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5090,Attentive & Forward,1.34,91.3,Clear Weather,Safe Smooth Handover
MB-L3-5091,Attentive & Forward,1.47,93.8,Clear Weather,Safe Smooth Handover
MB-L3-5092,Attentive & Forward,1.22,64.8,Clear Weather,Safe Smooth Handover
MB-L3-5093,Drowsy / Eyelid Blink,3.41,43.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5094,Smartphone Screen,3.34,54.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5095,Smartphone Screen,1.97,103.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5096,Attentive & Forward,1.9,84.4,Clear Weather,Safe Smooth Handover
MB-L3-5097,Attentive & Forward,1.37,124.8,Clear Weather,Safe Smooth Handover
MB-L3-5098,Smartphone Screen,2.58,96.6,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5099,Attentive & Forward,1.28,83.9,Clear Weather,Safe Smooth Handover
MB-L3-5100,Attentive & Forward,1.36,50.7,Clear Weather,Safe Smooth Handover
MB-L3-5101,Attentive & Forward,1.38,54.4,Clear Weather,Safe Smooth Handover
MB-L3-5102,Looking at Passenger,2.83,100.7,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5103,Rear Seat Mirror,2.21,87.9,Clear Weather,Safe Smooth Handover
MB-L3-5104,Attentive & Forward,1.22,44.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5105,Rear Seat Mirror,1.99,91.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5106,Attentive & Forward,1.29,125.7,Clear Weather,Safe Smooth Handover
MB-L3-5107,Attentive & Forward,0.8,114.8,Construction Zone,Safe Smooth Handover
MB-L3-5108,Attentive & Forward,1.51,95.4,Clear Weather,Safe Smooth Handover
MB-L3-5109,Attentive & Forward,1.72,74.7,Clear Weather,Safe Smooth Handover
MB-L3-5110,Attentive & Forward,1.14,90.1,Clear Weather,Safe Smooth Handover
MB-L3-5111,Attentive & Forward,1.69,60.8,Clear Weather,Safe Smooth Handover
MB-L3-5112,Attentive & Forward,1.21,63.1,Clear Weather,Safe Smooth Handover
MB-L3-5113,Attentive & Forward,1.52,77.8,Construction Zone,Safe Smooth Handover
MB-L3-5114,Attentive & Forward,1.06,78.9,Clear Weather,Safe Smooth Handover
MB-L3-5115,Smartphone Screen,2.51,71.2,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5116,Attentive & Forward,1.58,90.8,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5117,Attentive & Forward,1.54,125.0,Clear Weather,Safe Smooth Handover
MB-L3-5118,Attentive & Forward,1.22,104.4,Clear Weather,Safe Smooth Handover
MB-L3-5119,Drowsy / Eyelid Blink,3.22,76.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5120,Rear Seat Mirror,1.95,125.1,Clear Weather,Safe Smooth Handover
MB-L3-5121,Attentive & Forward,1.06,103.1,Clear Weather,Safe Smooth Handover
MB-L3-5122,Attentive & Forward,1.34,45.2,Clear Weather,Safe Smooth Handover
MB-L3-5123,Attentive & Forward,0.9,87.0,Clear Weather,Safe Smooth Handover
MB-L3-5124,Attentive & Forward,1.8,90.7,Clear Weather,Safe Smooth Handover
MB-L3-5125,Smartphone Screen,1.42,51.8,Clear Weather,Safe Smooth Handover
MB-L3-5126,Attentive & Forward,1.55,87.4,Clear Weather,Safe Smooth Handover
MB-L3-5127,Attentive & Forward,1.14,78.1,Clear Weather,Safe Smooth Handover
MB-L3-5128,Drowsy / Eyelid Blink,4.09,42.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5129,Attentive & Forward,1.55,40.1,Clear Weather,Safe Smooth Handover
MB-L3-5130,Smartphone Screen,2.06,46.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5131,Attentive & Forward,1.26,85.5,Clear Weather,Safe Smooth Handover
MB-L3-5132,Attentive & Forward,1.37,70.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5133,Attentive & Forward,1.71,88.9,Clear Weather,Safe Smooth Handover
MB-L3-5134,Smartphone Screen,2.45,79.6,Clear Weather,Safe Smooth Handover
MB-L3-5135,Attentive & Forward,1.34,72.0,Construction Zone,Safe Smooth Handover
MB-L3-5136,Attentive & Forward,1.14,127.2,Clear Weather,Safe Smooth Handover
MB-L3-5137,Attentive & Forward,1.48,61.3,Construction Zone,Safe Smooth Handover
MB-L3-5138,Smartphone Screen,2.15,96.7,Clear Weather,Safe Smooth Handover
MB-L3-5139,Attentive & Forward,1.29,98.9,Clear Weather,Safe Smooth Handover
MB-L3-5140,Looking at Passenger,2.68,128.1,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5141,Smartphone Screen,2.84,115.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5142,Smartphone Screen,2.52,128.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5143,Attentive & Forward,1.36,99.0,Construction Zone,Safe Smooth Handover
MB-L3-5144,Attentive & Forward,1.73,124.6,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5145,Attentive & Forward,1.56,71.9,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5146,Attentive & Forward,1.59,111.8,Construction Zone,Safe Smooth Handover
MB-L3-5147,Attentive & Forward,1.57,108.3,Clear Weather,Safe Smooth Handover
MB-L3-5148,Attentive & Forward,1.6,122.4,Clear Weather,Safe Smooth Handover
MB-L3-5149,Smartphone Screen,3.1,99.5,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5150,Smartphone Screen,2.66,82.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5151,Smartphone Screen,3.42,110.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5152,Attentive & Forward,1.45,120.0,Clear Weather,Safe Smooth Handover
MB-L3-5153,Attentive & Forward,1.35,63.6,Clear Weather,Safe Smooth Handover
MB-L3-5154,Attentive & Forward,1.23,54.2,Construction Zone,Safe Smooth Handover
MB-L3-5155,Attentive & Forward,1.48,46.6,Clear Weather,Safe Smooth Handover
MB-L3-5156,Drowsy / Eyelid Blink,3.15,71.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5157,Attentive & Forward,1.37,86.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5158,Attentive & Forward,1.38,58.2,Construction Zone,Safe Smooth Handover
MB-L3-5159,Attentive & Forward,1.08,51.2,Clear Weather,Safe Smooth Handover
MB-L3-5160,Rear Seat Mirror,2.71,80.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5161,Drowsy / Eyelid Blink,4.29,53.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5162,Attentive & Forward,1.05,96.7,Construction Zone,Safe Smooth Handover
