Charging_Session_ID,Ambient_Temp_C,Fast_Charge_C_Rate,Starting_SoC_pct,Anode_Overvoltage_mV,Charge_Duration_min,Plating_Safety_Status
VW-MEB-1000,8.9,1.6,10.7,-65.4,53.1,High Risk (Lithium Plating)
VW-MEB-1001,-4.2,2.42,20.0,-119.7,31.2,High Risk (Lithium Plating)
VW-MEB-1002,-5.1,2.29,19.3,-134.9,36.7,High Risk (Lithium Plating)
VW-MEB-1003,-3.6,3.1,36.5,-153.0,17.1,High Risk (Lithium Plating)
VW-MEB-1004,9.8,2.13,35.7,-105.9,27.0,High Risk (Lithium Plating)
VW-MEB-1005,23.2,3.13,11.9,-88.1,26.0,High Risk (Lithium Plating)
VW-MEB-1006,-0.9,1.36,29.5,-91.2,50.4,High Risk (Lithium Plating)
VW-MEB-1007,4.0,2.49,27.3,-106.5,25.1,High Risk (Lithium Plating)
VW-MEB-1008,15.1,2.6,31.1,-95.7,20.2,High Risk (Lithium Plating)
VW-MEB-1009,30.3,2.35,26.6,-61.6,25.4,High Risk (Lithium Plating)
VW-MEB-1010,6.7,0.93,8.5,-52.9,65.0,High Risk (Lithium Plating)
VW-MEB-1011,32.3,1.83,19.6,-37.0,39.6,High Risk (Lithium Plating)
VW-MEB-1012,4.2,2.3,13.9,-101.2,40.7,High Risk (Lithium Plating)
VW-MEB-1013,24.7,2.94,10.7,-81.3,31.9,High Risk (Lithium Plating)
VW-MEB-1014,21.4,1.47,36.1,-62.8,38.0,High Risk (Lithium Plating)
VW-MEB-1015,31.8,1.47,39.9,-46.8,34.1,High Risk (Lithium Plating)
VW-MEB-1016,-4.5,1.07,23.4,-101.1,65.0,High Risk (Lithium Plating)
VW-MEB-1017,9.8,1.72,35.2,-82.8,30.5,High Risk (Lithium Plating)
VW-MEB-1018,11.0,1.71,22.9,-76.0,39.3,High Risk (Lithium Plating)
VW-MEB-1019,10.9,1.0,30.4,-61.1,65.0,High Risk (Lithium Plating)
VW-MEB-1020,12.3,1.98,32.9,-85.7,33.0,High Risk (Lithium Plating)
VW-MEB-1021,13.9,2.23,12.7,-87.1,37.5,High Risk (Lithium Plating)
VW-MEB-1022,6.9,0.95,31.5,-68.7,63.8,High Risk (Lithium Plating)
