Telemetry_Timestamp_ms,Speed_kmh,Lateral_Acceleration_G,Longitudinal_Accel_G,Active_Wing_Angle_deg,Aerodynamic_Downforce_kg,Tire_Tread_Temp_C
0,220.0,-0.84,-0.15,10.3,296.6,83.0
100,243.5,-0.06,0.26,10.9,378.9,80.1
200,100.1,0.05,0.13,5.1,39.5,69.8
300,263.8,1.21,-0.69,14.6,552.1,100.0
400,237.6,0.89,-0.23,9.3,321.0,87.7
500,244.2,-0.12,0.32,9.8,352.0,75.2
600,290.0,-0.76,-0.17,15.2,688.0,84.2
700,152.9,0.67,0.57,6.5,106.3,89.2
800,142.9,-0.54,-0.31,7.3,99.7,84.0
900,226.9,0.12,-0.18,10.8,327.0,70.1
1000,188.8,-0.42,-0.47,9.7,209.3,82.5
1100,93.2,0.54,-0.88,4.1,30.5,91.2
1200,162.6,-0.98,0.15,7.8,134.3,88.8
1300,106.7,0.57,-0.43,5.4,46.1,87.3
1400,63.1,0.8,-0.82,3.6,13.1,88.9
1500,193.9,-1.45,-0.63,10.4,231.6,111.1
1600,269.5,0.02,0.42,11.4,478.9,73.8
1700,280.3,0.2,-0.98,13.7,592.8,87.0
1800,162.9,0.36,-1.09,7.8,134.6,93.4
1900,65.8,0.19,0.19,0.6,8.9,71.4
2000,238.0,0.35,0.93,11.7,379.2,88.4
2100,193.7,0.69,0.57,9.1,211.2,84.0
2200,75.2,-1.13,0.65,3.4,18.3,95.0
2300,230.2,-0.13,0.22,11.2,344.4,79.3
2400,86.5,-0.13,0.43,3.9,25.8,76.8
2500,78.3,-0.74,-0.08,1.9,15.9,79.6
2600,102.9,1.44,0.35,4.6,39.7,103.7
2700,228.8,-0.76,0.47,8.9,290.0,84.0
2800,219.5,0.36,-1.02,10.9,306.9,90.7
2900,288.7,-0.51,-0.55,12.2,578.8,85.3
3000,82.9,0.52,-0.95,4.6,25.5,93.3
3100,286.9,-0.02,0.07,17.0,737.0,71.2
3200,175.0,0.14,0.17,6.9,143.8,78.2
3300,258.6,0.43,-0.11,12.6,473.3,78.2
3400,197.4,-0.36,0.12,10.4,240.3,82.2
3500,76.8,0.1,0.24,4.6,21.9,75.6
3600,149.8,-0.19,0.19,7.2,108.6,76.7
3700,282.9,0.18,0.47,12.2,555.0,77.3
3800,167.7,0.81,0.7,8.8,154.4,88.1
3900,149.7,-0.91,-0.06,6.3,100.0,91.0
4000,271.9,0.15,-0.15,14.4,581.3,76.2
4100,116.4,-0.15,0.24,6.0,58.7,75.5
4200,110.6,-0.23,-0.86,4.8,46.6,84.3
4300,78.2,-0.12,0.31,4.6,22.7,79.2
4400,119.8,1.3,0.03,6.1,62.8,97.5
4500,71.9,0.71,0.21,3.2,16.3,83.6
4600,104.7,-1.06,-0.1,4.3,39.4,93.1
4700,135.7,-0.85,0.47,5.1,73.0,87.8
4800,177.4,-1.15,-0.66,8.5,169.2,98.6
4900,66.3,-0.79,-0.14,4.1,15.5,81.3
5000,120.1,-0.15,0.78,4.0,50.0,82.1
5100,247.5,-0.28,0.41,9.5,354.3,80.3
5200,143.0,-0.19,0.88,6.5,92.8,90.8
5300,183.3,0.18,0.19,7.7,168.6,72.0
5400,81.6,-0.52,-0.23,4.9,25.6,79.6
5500,169.4,-0.06,0.23,8.5,153.9,78.4
5600,109.3,-0.19,-0.6,4.7,45.0,79.2
5700,204.1,-0.2,-0.32,10.2,253.3,75.6
5800,244.0,-0.39,0.04,9.9,355.9,77.0
5900,191.2,-0.22,0.61,8.8,200.6,78.1
6000,94.7,0.14,0.07,4.5,32.9,73.9
6100,139.9,0.91,-0.49,5.2,78.1,87.9
6200,182.8,0.16,-0.74,8.7,182.1,80.5
6300,167.2,0.63,-0.01,8.2,146.7,80.4
6400,148.0,-0.02,-0.0,7.3,106.9,75.6
6500,234.7,0.53,-1.34,10.2,334.5,103.1
6600,134.0,-0.51,0.23,5.4,73.2,82.6
6700,281.4,0.17,0.52,11.9,537.0,77.7
6800,98.2,-0.7,0.2,4.9,37.3,80.8
6900,155.7,-0.27,-0.25,5.5,100.0,78.1
7000,136.1,-0.58,-0.14,5.2,73.7,75.7
7100,94.8,0.6,-0.03,5.0,35.2,80.8
7200,127.3,0.17,0.19,4.3,58.1,75.5
7300,236.3,0.98,1.12,10.8,353.4,100.7
7400,192.8,-0.05,0.47,7.6,185.7,80.5
7500,161.1,0.52,0.34,6.5,117.0,79.2
7600,81.4,0.57,-0.81,3.8,22.5,94.2
7700,120.9,-0.14,-0.08,6.6,66.6,77.4
7800,108.3,-0.2,-0.36,4.5,43.1,75.2
7900,118.8,0.12,0.41,4.4,51.3,76.6
8000,163.1,0.53,-0.48,7.5,131.2,86.1
8100,171.2,-0.21,-0.01,8.0,150.6,74.1
8200,198.6,-0.08,0.51,8.1,204.5,77.1
8300,187.1,-0.22,-0.01,11.1,226.2,74.2
8400,108.7,0.72,-0.16,2.8,35.0,79.4
8500,205.3,-1.12,0.4,10.1,254.6,95.3
8600,100.9,-0.26,-0.3,6.3,45.1,75.9
8700,130.4,-0.74,0.7,6.6,77.5,91.4
8800,288.5,-0.7,-0.13,12.7,594.7,82.9
8900,230.8,-0.95,0.06,8.8,292.1,89.8
9000,180.5,-0.65,-0.38,9.2,184.8,83.9
9100,141.2,0.35,0.36,5.0,77.7,75.0
9200,233.1,0.48,0.71,13.4,403.6,82.9
9300,129.7,0.67,0.81,6.7,77.9,88.9
9400,105.5,0.92,-0.53,7.4,54.6,92.5
