Brake_Event_ID,Pulse_Frequency_Hz,Valve_Response_Time_ms,Brake_Fluid_Temp_C,Peak_Hydraulic_Pressure_Bar,Module_Health_Status
BOSCH-ABS-2000,22.4,11.02,55.1,88.8,Nominal Fast Response
BOSCH-ABS-2001,26.7,9.01,31.0,95.4,Nominal Fast Response
BOSCH-ABS-2002,14.8,10.19,37.2,89.8,Nominal Fast Response
BOSCH-ABS-2003,21.9,12.72,92.5,148.5,Nominal Fast Response
BOSCH-ABS-2004,13.7,9.7,79.7,171.3,Nominal Fast Response
BOSCH-ABS-2005,15.0,11.16,75.9,93.2,Nominal Fast Response
BOSCH-ABS-2006,15.8,11.05,70.9,100.5,Nominal Fast Response
BOSCH-ABS-2007,19.7,10.51,46.8,118.2,Nominal Fast Response
BOSCH-ABS-2008,14.3,9.66,60.6,126.8,Nominal Fast Response
BOSCH-ABS-2009,25.7,9.21,79.2,154.3,Nominal Fast Response
BOSCH-ABS-2010,18.6,9.93,82.2,126.1,Nominal Fast Response
BOSCH-ABS-2011,20.4,8.56,65.3,175.1,Nominal Fast Response
BOSCH-ABS-2012,23.7,9.43,86.1,168.0,Nominal Fast Response
BOSCH-ABS-2013,25.1,8.95,71.2,103.6,Nominal Fast Response
BOSCH-ABS-2014,19.8,12.32,64.0,115.4,Nominal Fast Response
BOSCH-ABS-2015,24.7,10.1,62.2,139.9,Nominal Fast Response
BOSCH-ABS-2016,18.3,11.22,53.8,145.3,Nominal Fast Response
BOSCH-ABS-2017,23.7,8.77,53.2,92.1,Nominal Fast Response
BOSCH-ABS-2018,18.7,9.17,64.5,106.4,Nominal Fast Response
BOSCH-ABS-2019,22.9,11.23,62.6,138.4,Nominal Fast Response
BOSCH-ABS-2020,12.3,8.65,59.8,82.9,Nominal Fast Response
BOSCH-ABS-2021,13.7,12.45,51.6,127.1,Nominal Fast Response
BOSCH-ABS-2022,12.1,8.72,86.7,88.2,Nominal Fast Response
BOSCH-ABS-2023,17.0,11.67,57.5,134.3,Nominal Fast Response
BOSCH-ABS-2024,12.4,10.13,93.3,88.8,Nominal Fast Response
BOSCH-ABS-2025,17.9,8.6,59.9,123.5,Nominal Fast Response
BOSCH-ABS-2026,22.1,10.66,55.1,139.8,Nominal Fast Response
BOSCH-ABS-2027,14.6,8.77,102.1,124.9,Nominal Fast Response
BOSCH-ABS-2028,17.1,9.64,36.8,167.1,Nominal Fast Response
BOSCH-ABS-2029,18.4,9.25,43.0,166.2,Nominal Fast Response
BOSCH-ABS-2030,22.7,9.24,75.4,122.6,Nominal Fast Response
BOSCH-ABS-2031,27.1,9.06,47.6,170.1,Nominal Fast Response
BOSCH-ABS-2032,27.6,8.71,43.3,183.7,Nominal Fast Response
BOSCH-ABS-2033,20.0,13.38,49.8,98.0,Nominal Fast Response
BOSCH-ABS-2034,16.5,10.44,40.7,110.6,Nominal Fast Response
BOSCH-ABS-2035,23.0,10.94,63.0,161.3,Nominal Fast Response
BOSCH-ABS-2036,14.8,10.55,79.7,149.1,Nominal Fast Response
BOSCH-ABS-2037,13.6,12.8,75.1,165.7,Nominal Fast Response
BOSCH-ABS-2038,19.8,8.66,85.1,102.3,Nominal Fast Response
BOSCH-ABS-2039,13.7,9.2,68.2,107.7,Nominal Fast Response
BOSCH-ABS-2040,22.8,9.34,77.4,142.0,Nominal Fast Response
BOSCH-ABS-2041,18.9,10.85,69.1,112.8,Nominal Fast Response
BOSCH-ABS-2042,24.2,9.04,51.0,99.5,Nominal Fast Response
BOSCH-ABS-2043,14.7,9.35,71.7,109.3,Nominal Fast Response
BOSCH-ABS-2044,21.4,10.17,72.7,151.5,Nominal Fast Response
BOSCH-ABS-2045,13.9,9.42,70.1,168.8,Nominal Fast Response
BOSCH-ABS-2046,23.5,11.27,71.1,140.9,Nominal Fast Response
BOSCH-ABS-2047,12.9,9.2,93.2,151.0,Nominal Fast Response
BOSCH-ABS-2048,15.8,11.35,42.8,103.2,Nominal Fast Response
BOSCH-ABS-2049,19.6,11.52,55.2,167.6,Nominal Fast Response
BOSCH-ABS-2050,16.4,8.61,53.9,91.4,Nominal Fast Response
BOSCH-ABS-2051,14.6,9.12,76.8,125.5,Nominal Fast Response
BOSCH-ABS-2052,12.4,9.28,63.9,92.1,Nominal Fast Response
BOSCH-ABS-2053,21.5,8.51,58.0,131.1,Nominal Fast Response
BOSCH-ABS-2054,12.6,14.34,96.8,113.4,Valve Seat Wear Alert
BOSCH-ABS-2055,21.1,9.82,97.6,181.2,Nominal Fast Response
BOSCH-ABS-2056,12.2,9.0,68.7,103.0,Nominal Fast Response
BOSCH-ABS-2057,21.9,12.95,48.6,136.3,Nominal Fast Response
BOSCH-ABS-2058,22.0,9.7,67.1,91.6,Nominal Fast Response
BOSCH-ABS-2059,22.7,8.87,60.5,122.1,Nominal Fast Response
BOSCH-ABS-2060,16.4,8.57,87.9,114.4,Nominal Fast Response
BOSCH-ABS-2061,21.7,9.85,60.9,106.4,Nominal Fast Response
BOSCH-ABS-2062,17.7,9.04,55.9,111.1,Nominal Fast Response
BOSCH-ABS-2063,18.9,8.77,64.2,114.2,Nominal Fast Response
BOSCH-ABS-2064,12.3,12.32,63.6,110.1,Nominal Fast Response
BOSCH-ABS-2065,17.1,10.78,77.8,123.4,Nominal Fast Response
BOSCH-ABS-2066,24.6,9.24,73.5,111.1,Nominal Fast Response
BOSCH-ABS-2067,19.0,9.14,97.4,132.9,Nominal Fast Response
BOSCH-ABS-2068,17.9,11.31,60.7,127.5,Nominal Fast Response
BOSCH-ABS-2069,15.6,8.81,64.0,81.2,Nominal Fast Response
BOSCH-ABS-2070,15.9,9.75,64.9,164.8,Nominal Fast Response
BOSCH-ABS-2071,21.8,12.19,54.6,103.5,Nominal Fast Response
BOSCH-ABS-2072,27.6,8.61,62.7,98.6,Nominal Fast Response
BOSCH-ABS-2073,18.1,10.71,52.8,100.0,Nominal Fast Response
BOSCH-ABS-2074,20.6,11.93,58.9,117.3,Nominal Fast Response
BOSCH-ABS-2075,27.0,15.45,71.7,116.8,Valve Seat Wear Alert
BOSCH-ABS-2076,24.5,9.44,75.0,156.5,Nominal Fast Response
BOSCH-ABS-2077,25.7,10.25,84.3,89.4,Nominal Fast Response
BOSCH-ABS-2078,27.0,8.56,48.4,184.2,Nominal Fast Response
BOSCH-ABS-2079,15.9,8.81,80.1,86.1,Nominal Fast Response
BOSCH-ABS-2080,19.2,9.02,65.7,163.7,Nominal Fast Response
BOSCH-ABS-2081,18.2,9.5,58.1,121.6,Nominal Fast Response
BOSCH-ABS-2082,27.7,9.68,50.1,187.8,Nominal Fast Response
BOSCH-ABS-2083,16.9,11.76,46.2,133.0,Nominal Fast Response
BOSCH-ABS-2084,19.5,15.08,69.5,108.6,Valve Seat Wear Alert
BOSCH-ABS-2085,21.5,10.73,47.8,107.2,Nominal Fast Response
BOSCH-ABS-2086,17.7,10.65,49.5,129.2,Nominal Fast Response
BOSCH-ABS-2087,24.6,10.76,76.1,161.5,Nominal Fast Response
BOSCH-ABS-2088,27.7,8.91,78.1,90.4,Nominal Fast Response
BOSCH-ABS-2089,13.7,17.16,88.1,127.1,Valve Seat Wear Alert
BOSCH-ABS-2090,13.9,9.91,70.2,186.9,Nominal Fast Response
BOSCH-ABS-2091,19.7,11.65,46.6,123.1,Nominal Fast Response
BOSCH-ABS-2092,24.6,20.75,17.3,80.7,Valve Seat Wear Alert
BOSCH-ABS-2093,26.6,8.71,53.1,122.6,Nominal Fast Response
BOSCH-ABS-2094,19.2,12.25,61.1,180.7,Nominal Fast Response
BOSCH-ABS-2095,14.1,8.98,73.4,111.3,Nominal Fast Response
BOSCH-ABS-2096,15.9,9.36,62.6,179.5,Nominal Fast Response
BOSCH-ABS-2097,24.6,10.58,73.4,128.9,Nominal Fast Response
BOSCH-ABS-2098,25.6,9.13,44.0,152.8,Nominal Fast Response
BOSCH-ABS-2099,15.9,9.12,46.9,102.4,Nominal Fast Response
BOSCH-ABS-2100,23.1,9.0,88.1,137.8,Nominal Fast Response
BOSCH-ABS-2101,12.7,8.64,39.8,101.5,Nominal Fast Response
BOSCH-ABS-2102,21.5,9.18,71.7,164.2,Nominal Fast Response
BOSCH-ABS-2103,19.4,8.77,47.1,139.1,Nominal Fast Response
BOSCH-ABS-2104,16.1,9.46,64.0,130.2,Nominal Fast Response
BOSCH-ABS-2105,22.6,9.02,83.6,80.3,Nominal Fast Response
