Sensor_Read_ID,Vehicle_Speed_kmh,Road_Water_Depth_mm,Tread_Depth_mm,Wet_Braking_Distance_m,Hydroplaning_Risk
CONTI-TIRE-3000,125.9,3.0,5.4,130.5,High Hydroplaning Risk
CONTI-TIRE-3001,52.3,7.5,7.9,25.0,Safe Wet Grip Margin
CONTI-TIRE-3002,125.2,7.0,7.6,140.8,High Hydroplaning Risk
CONTI-TIRE-3003,69.2,0.7,3.5,38.2,Safe Wet Grip Margin
CONTI-TIRE-3004,67.5,7.2,7.6,38.9,Safe Wet Grip Margin
CONTI-TIRE-3005,104.4,5.6,5.0,103.5,High Hydroplaning Risk
CONTI-TIRE-3006,135.0,5.6,2.9,202.7,High Hydroplaning Risk
CONTI-TIRE-3007,60.4,6.5,5.6,36.8,Safe Wet Grip Margin
CONTI-TIRE-3008,103.4,9.0,7.6,102.5,High Hydroplaning Risk
CONTI-TIRE-3009,113.5,7.8,4.2,146.4,High Hydroplaning Risk
CONTI-TIRE-3010,134.6,4.6,4.2,176.4,High Hydroplaning Risk
CONTI-TIRE-3011,131.5,2.7,2.8,166.4,High Hydroplaning Risk
CONTI-TIRE-3012,122.7,1.4,6.1,102.2,Safe Wet Grip Margin
CONTI-TIRE-3013,102.6,4.3,2.5,109.7,High Hydroplaning Risk
CONTI-TIRE-3014,53.3,2.2,7.3,18.3,Safe Wet Grip Margin
CONTI-TIRE-3015,85.7,7.2,2.2,87.7,High Hydroplaning Risk
CONTI-TIRE-3016,128.8,3.4,4.7,149.5,High Hydroplaning Risk
CONTI-TIRE-3017,61.8,7.5,6.6,34.8,Safe Wet Grip Margin
CONTI-TIRE-3018,55.6,2.4,3.5,29.3,Safe Wet Grip Margin
CONTI-TIRE-3019,75.2,2.8,4.6,50.3,Safe Wet Grip Margin
CONTI-TIRE-3020,126.0,7.6,5.3,168.4,High Hydroplaning Risk
CONTI-TIRE-3021,129.6,6.8,6.6,155.4,High Hydroplaning Risk
CONTI-TIRE-3022,68.2,4.2,6.9,37.1,Safe Wet Grip Margin
CONTI-TIRE-3023,51.2,2.7,5.2,23.8,Safe Wet Grip Margin
CONTI-TIRE-3024,104.6,4.5,7.7,78.4,Safe Wet Grip Margin
CONTI-TIRE-3025,105.4,1.4,3.6,93.5,Safe Wet Grip Margin
