Detection_Event_ID,Road_User_Type,Distance_to_Vehicle_m,Crossing_Speed_m_s,Time_to_Collision_s,Safety_Intervention
VOLVO-VRU-1000,Pedestrian Running,21.3,5.1,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1001,Cyclist Fast,21.2,5.6,1.62,Automatic Emergency Braking (AEB)
VOLVO-VRU-1002,Pedestrian Walking,11.7,4.7,1.03,Automatic Emergency Braking (AEB)
VOLVO-VRU-1003,Pedestrian Walking,7.9,3.1,0.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1004,Pedestrian Walking,23.0,6.9,1.59,Automatic Emergency Braking (AEB)
VOLVO-VRU-1005,Pedestrian Running,43.8,6.1,3.03,Warning Prompt in Driver Display
VOLVO-VRU-1006,Pedestrian Running,37.1,3.7,3.13,Warning Prompt in Driver Display
VOLVO-VRU-1007,Pedestrian Walking,35.2,3.7,2.97,Warning Prompt in Driver Display
VOLVO-VRU-1008,Cyclist Fast,34.5,5.3,2.81,Warning Prompt in Driver Display
VOLVO-VRU-1009,Pedestrian Walking,37.6,2.5,3.33,Warning Prompt in Driver Display
VOLVO-VRU-1010,Cyclist Fast,39.7,2.2,3.83,Warning Prompt in Driver Display
VOLVO-VRU-1011,Pedestrian Running,31.1,5.3,2.03,Warning Prompt in Driver Display
VOLVO-VRU-1012,Cyclist Fast,24.2,3.1,2.17,Warning Prompt in Driver Display
VOLVO-VRU-1013,Cyclist Fast,26.6,2.5,2.49,Warning Prompt in Driver Display
VOLVO-VRU-1014,Pedestrian Walking,25.6,3.4,2.34,Warning Prompt in Driver Display
VOLVO-VRU-1015,Pedestrian Walking,38.2,2.8,3.3,Warning Prompt in Driver Display
VOLVO-VRU-1016,Pedestrian Running,21.3,7.3,1.05,Automatic Emergency Braking (AEB)
VOLVO-VRU-1017,Pedestrian Running,14.2,4.5,1.08,Automatic Emergency Braking (AEB)
VOLVO-VRU-1018,Pedestrian Walking,7.2,3.9,0.7,Automatic Emergency Braking (AEB)
VOLVO-VRU-1019,Cyclist Fast,43.0,1.6,4.13,Warning Prompt in Driver Display
VOLVO-VRU-1020,Pedestrian Running,28.1,2.0,2.65,Warning Prompt in Driver Display
VOLVO-VRU-1021,E-Scooter Commuter,39.5,6.7,2.57,Warning Prompt in Driver Display
VOLVO-VRU-1022,E-Scooter Commuter,17.1,1.8,1.93,Warning Prompt in Driver Display
VOLVO-VRU-1023,Pedestrian Running,37.5,1.3,3.88,Warning Prompt in Driver Display
VOLVO-VRU-1024,E-Scooter Commuter,7.1,2.0,0.71,Automatic Emergency Braking (AEB)
VOLVO-VRU-1025,E-Scooter Commuter,41.8,5.7,2.96,Warning Prompt in Driver Display
VOLVO-VRU-1026,Pedestrian Walking,24.2,2.8,2.23,Warning Prompt in Driver Display
VOLVO-VRU-1027,Pedestrian Running,36.0,7.0,2.54,Warning Prompt in Driver Display
