Shift_Event_ID,Gear_Transition,Engine_Torque_Nm,Clutch_Slip_Duration_ms,Slip_Energy_Dissipated_J,Shift_Quality
ZF-8HP-1000,3 -> 4,266.8,63.7,1818.4,Smooth Fast Shift (<80ms)
ZF-8HP-1001,3 -> 4,400.8,72.0,3073.6,Smooth Fast Shift (<80ms)
ZF-8HP-1002,2 -> 3,636.3,99.2,5647.5,Clutch Slippage Warning
ZF-8HP-1003,7 -> 8,597.1,82.0,4580.8,Smooth Fast Shift (<80ms)
ZF-8HP-1004,3 -> 4,215.8,73.0,1606.2,Smooth Fast Shift (<80ms)
ZF-8HP-1005,1 -> 2,589.8,82.7,5458.0,Smooth Fast Shift (<80ms)
ZF-8HP-1006,1 -> 2,537.7,83.9,5113.6,Smooth Fast Shift (<80ms)
ZF-8HP-1007,5 -> 6,428.9,71.1,3222.2,Smooth Fast Shift (<80ms)
ZF-8HP-1008,4 -> 5,644.8,88.3,6491.2,Smooth Fast Shift (<80ms)
ZF-8HP-1009,4 -> 5,584.4,76.6,4577.3,Smooth Fast Shift (<80ms)
ZF-8HP-1010,1 -> 2,390.8,79.2,2531.5,Smooth Fast Shift (<80ms)
ZF-8HP-1011,5 -> 6,450.8,68.6,3541.0,Smooth Fast Shift (<80ms)
ZF-8HP-1012,5 -> 6,573.9,78.8,4480.8,Smooth Fast Shift (<80ms)
ZF-8HP-1013,7 -> 8,460.3,71.3,3496.9,Smooth Fast Shift (<80ms)
ZF-8HP-1014,3 -> 4,491.4,76.4,4448.9,Smooth Fast Shift (<80ms)
ZF-8HP-1015,4 -> 5,319.7,81.9,2940.2,Smooth Fast Shift (<80ms)
ZF-8HP-1016,6 -> 7,370.7,73.3,2562.0,Smooth Fast Shift (<80ms)
ZF-8HP-1017,5 -> 6,419.7,71.0,3263.8,Smooth Fast Shift (<80ms)
ZF-8HP-1018,7 -> 8,625.4,92.4,4733.1,Smooth Fast Shift (<80ms)
ZF-8HP-1019,6 -> 7,218.3,59.6,1103.1,Smooth Fast Shift (<80ms)
ZF-8HP-1020,3 -> 4,341.3,55.8,1976.3,Smooth Fast Shift (<80ms)
ZF-8HP-1021,4 -> 5,577.1,77.9,5386.0,Smooth Fast Shift (<80ms)
ZF-8HP-1022,4 -> 5,420.6,83.8,3329.0,Smooth Fast Shift (<80ms)
ZF-8HP-1023,6 -> 7,546.5,77.0,4523.7,Smooth Fast Shift (<80ms)
ZF-8HP-1024,4 -> 5,443.3,70.4,2974.8,Smooth Fast Shift (<80ms)
ZF-8HP-1025,6 -> 7,326.7,65.7,2107.6,Smooth Fast Shift (<80ms)
ZF-8HP-1026,3 -> 4,556.2,68.9,3871.3,Smooth Fast Shift (<80ms)
ZF-8HP-1027,7 -> 8,561.3,71.6,3492.1,Smooth Fast Shift (<80ms)
ZF-8HP-1028,6 -> 7,600.6,73.7,4794.2,Smooth Fast Shift (<80ms)
ZF-8HP-1029,1 -> 2,422.5,82.2,3415.5,Smooth Fast Shift (<80ms)
ZF-8HP-1030,3 -> 4,238.2,68.9,1397.5,Smooth Fast Shift (<80ms)
ZF-8HP-1031,2 -> 3,238.2,65.4,1588.6,Smooth Fast Shift (<80ms)
ZF-8HP-1032,1 -> 2,478.3,78.1,3713.8,Smooth Fast Shift (<80ms)
ZF-8HP-1033,6 -> 7,359.4,81.2,2580.6,Smooth Fast Shift (<80ms)
ZF-8HP-1034,6 -> 7,501.3,85.3,4315.3,Smooth Fast Shift (<80ms)
ZF-8HP-1035,5 -> 6,240.3,63.8,1714.4,Smooth Fast Shift (<80ms)
ZF-8HP-1036,4 -> 5,604.6,84.3,5100.5,Smooth Fast Shift (<80ms)
ZF-8HP-1037,3 -> 4,224.1,71.5,1477.9,Smooth Fast Shift (<80ms)
ZF-8HP-1038,5 -> 6,590.2,94.4,6363.0,Smooth Fast Shift (<80ms)
ZF-8HP-1039,3 -> 4,315.5,64.8,1754.9,Smooth Fast Shift (<80ms)
ZF-8HP-1040,6 -> 7,360.1,57.5,2148.5,Smooth Fast Shift (<80ms)
ZF-8HP-1041,3 -> 4,324.1,42.3,1407.2,Smooth Fast Shift (<80ms)
ZF-8HP-1042,2 -> 3,325.1,64.7,2086.2,Smooth Fast Shift (<80ms)
ZF-8HP-1043,4 -> 5,389.5,76.4,2749.6,Smooth Fast Shift (<80ms)
ZF-8HP-1044,1 -> 2,371.2,87.1,3141.9,Smooth Fast Shift (<80ms)
ZF-8HP-1045,2 -> 3,195.7,55.6,1251.1,Smooth Fast Shift (<80ms)
ZF-8HP-1046,6 -> 7,596.7,73.3,4932.0,Smooth Fast Shift (<80ms)
ZF-8HP-1047,2 -> 3,498.1,71.5,3835.6,Smooth Fast Shift (<80ms)
