RDE_Trip_ID,Exhaust_Gas_Temp_C,AdBlue_Dosing_mg_s,SCR_Catalyst_Efficiency_pct,Tailpipe_NOx_mg_km,Euro7_Status
STLA-RDE-4000,144.4,71.9,10.0,173.9,Emissions Exceedance Flag
STLA-RDE-4001,240.8,54.3,78.3,38.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4002,181.5,37.7,66.7,55.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4003,153.8,57.6,26.6,131.3,Emissions Exceedance Flag
STLA-RDE-4004,193.5,49.3,63.0,74.6,Emissions Exceedance Flag
STLA-RDE-4005,147.5,18.7,74.1,57.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4006,265.0,58.2,83.2,38.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4007,309.5,47.8,92.4,14.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4008,203.3,30.9,79.6,35.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4009,147.6,80.3,10.0,179.7,Emissions Exceedance Flag
STLA-RDE-4010,405.3,61.9,97.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4011,144.4,50.8,26.6,122.0,Emissions Exceedance Flag
STLA-RDE-4012,352.9,76.3,93.2,13.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4013,283.0,84.8,80.7,32.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4014,247.9,77.6,71.8,60.5,Emissions Exceedance Flag
STLA-RDE-4015,356.1,43.9,96.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4016,221.9,28.9,85.1,31.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4017,154.4,35.2,55.5,71.8,Emissions Exceedance Flag
STLA-RDE-4018,142.2,63.2,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4019,152.5,28.2,63.4,65.9,Emissions Exceedance Flag
STLA-RDE-4020,148.3,82.2,10.0,157.9,Emissions Exceedance Flag
STLA-RDE-4021,193.6,54.1,59.5,79.9,Emissions Exceedance Flag
STLA-RDE-4022,147.0,65.3,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4023,166.6,65.5,29.6,130.8,Emissions Exceedance Flag
STLA-RDE-4024,269.0,52.9,85.5,30.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4025,422.3,56.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4026,487.7,44.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4027,199.8,72.1,50.2,99.7,Emissions Exceedance Flag
STLA-RDE-4028,308.0,15.6,97.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4029,250.3,69.4,75.6,49.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4030,270.7,62.7,83.2,32.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4031,170.9,16.6,83.1,29.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4032,305.3,43.2,92.7,13.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4033,190.2,72.3,43.3,105.2,Emissions Exceedance Flag
STLA-RDE-4034,205.8,80.8,48.6,93.8,Emissions Exceedance Flag
STLA-RDE-4035,143.4,60.4,11.7,149.9,Emissions Exceedance Flag
STLA-RDE-4036,171.6,45.2,54.6,87.8,Emissions Exceedance Flag
STLA-RDE-4037,375.2,32.3,97.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4038,185.1,68.5,42.4,121.5,Emissions Exceedance Flag
STLA-RDE-4039,230.9,68.2,68.9,63.8,Emissions Exceedance Flag
STLA-RDE-4040,187.7,32.3,73.8,52.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4041,179.8,74.8,32.6,126.5,Emissions Exceedance Flag
STLA-RDE-4042,267.8,83.1,76.8,45.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4043,178.7,22.8,79.1,38.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4044,218.5,33.5,82.0,34.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4045,303.9,49.6,91.5,18.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4046,574.7,35.5,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4047,154.4,48.3,39.0,120.1,Emissions Exceedance Flag
STLA-RDE-4048,181.3,44.8,60.5,79.4,Emissions Exceedance Flag
STLA-RDE-4049,198.8,61.8,56.8,82.4,Emissions Exceedance Flag
STLA-RDE-4050,215.5,11.6,93.5,12.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4051,309.0,76.4,87.7,25.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4052,189.9,46.8,63.1,66.6,Emissions Exceedance Flag
STLA-RDE-4053,201.6,27.9,81.2,33.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4054,385.6,57.7,96.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4055,204.2,10.0,93.5,13.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4056,203.8,26.2,82.9,31.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4057,220.2,79.9,58.0,90.2,Emissions Exceedance Flag
STLA-RDE-4058,142.7,59.3,12.3,165.4,Emissions Exceedance Flag
STLA-RDE-4059,165.5,68.3,25.5,151.2,Emissions Exceedance Flag
STLA-RDE-4060,425.4,23.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4061,330.1,12.4,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4062,296.9,63.6,88.0,21.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4063,168.4,18.0,81.1,37.2,Euro 7 Compliant (<60mg/km)
