Platoon_Trip_ID,Trucks_in_Platoon,Inter_Vehicle_Spacing_m,Highway_Speed_kmh,Aerodynamic_Drag_Reduction_pct,Diesel_Fuel_Savings_pct,Platooning_Status
SCANIA-PLT-1000,4,43.1,93.5,20.8,10.7,Standard Extended Following
SCANIA-PLT-1001,4,16.4,86.7,28.1,16.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1002,2,30.0,77.3,13.8,8.1,Standard Extended Following
SCANIA-PLT-1003,2,23.8,85.5,19.1,9.9,Standard Extended Following
SCANIA-PLT-1004,2,36.3,87.3,13.1,7.6,Standard Extended Following
SCANIA-PLT-1005,3,8.1,78.7,29.9,16.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1006,3,21.2,93.6,26.4,15.2,Standard Extended Following
SCANIA-PLT-1007,3,41.7,81.1,13.3,8.0,Standard Extended Following
SCANIA-PLT-1008,2,24.9,75.8,18.4,10.3,Standard Extended Following
SCANIA-PLT-1009,3,44.3,79.7,13.0,7.0,Standard Extended Following
SCANIA-PLT-1010,2,40.1,81.6,13.6,7.7,Standard Extended Following
SCANIA-PLT-1011,3,44.5,86.1,12.2,6.4,Standard Extended Following
SCANIA-PLT-1012,2,42.2,89.1,9.2,5.7,Standard Extended Following
SCANIA-PLT-1013,2,19.2,80.1,23.9,13.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1014,2,39.3,86.3,12.6,7.8,Standard Extended Following
SCANIA-PLT-1015,2,12.5,77.8,26.0,14.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1016,3,37.1,92.6,16.7,9.2,Standard Extended Following
SCANIA-PLT-1017,2,17.3,86.8,20.2,11.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1018,2,11.6,77.4,24.9,13.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1019,2,42.9,88.5,7.8,4.6,Standard Extended Following
SCANIA-PLT-1020,2,38.6,75.6,16.4,8.6,Standard Extended Following
SCANIA-PLT-1021,3,27.2,81.4,21.6,11.5,Standard Extended Following
SCANIA-PLT-1022,3,40.3,93.6,20.4,10.6,Standard Extended Following
SCANIA-PLT-1023,2,29.4,84.8,14.2,8.9,Standard Extended Following
SCANIA-PLT-1024,4,24.7,83.0,27.4,15.5,Standard Extended Following
SCANIA-PLT-1025,2,33.2,88.6,15.9,8.6,Standard Extended Following
SCANIA-PLT-1026,3,23.5,76.2,26.3,13.5,Standard Extended Following
SCANIA-PLT-1027,2,31.7,75.3,17.8,9.0,Standard Extended Following
SCANIA-PLT-1028,3,30.5,86.3,20.4,11.9,Standard Extended Following
SCANIA-PLT-1029,2,11.9,84.8,24.3,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1030,3,43.7,88.6,13.7,7.7,Standard Extended Following
SCANIA-PLT-1031,3,36.1,92.9,19.5,10.3,Standard Extended Following
SCANIA-PLT-1032,2,33.1,77.1,14.0,8.2,Standard Extended Following
SCANIA-PLT-1033,3,20.2,87.3,24.7,12.7,Standard Extended Following
SCANIA-PLT-1034,2,9.0,78.1,28.3,15.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1035,2,37.7,91.2,14.4,8.3,Standard Extended Following
SCANIA-PLT-1036,2,44.0,79.1,12.0,5.1,Standard Extended Following
SCANIA-PLT-1037,2,18.5,86.3,19.5,10.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1038,2,32.0,81.1,13.2,7.2,Standard Extended Following
SCANIA-PLT-1039,4,17.8,76.2,29.6,16.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1040,2,14.9,82.7,22.7,12.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1041,3,23.5,76.6,20.8,11.5,Standard Extended Following
SCANIA-PLT-1042,3,32.6,77.1,19.2,10.0,Standard Extended Following
SCANIA-PLT-1043,3,27.1,78.6,21.1,11.7,Standard Extended Following
SCANIA-PLT-1044,2,39.6,86.0,10.7,5.8,Standard Extended Following
SCANIA-PLT-1045,3,14.3,89.5,24.2,13.8,Optimal Aerodynamic Drafting (<20m)
