Stamping_Stroke_ID,Press_Tonnage_kN,Stroke_Rate_SPM,Die_Temperature_C,Peak_Impact_Shock_G,Harmonic_Wear_Ratio,Panel_Quality
TOYOTA-PR-1000,2050.2,28.6,57.1,7.27,1.28,Perfect Stamping Quality
TOYOTA-PR-1001,1908.5,17.8,54.8,7.16,1.27,Perfect Stamping Quality
TOYOTA-PR-1002,2351.5,31.8,59.8,7.25,1.3,Perfect Stamping Quality
TOYOTA-PR-1003,851.8,20.8,47.0,5.56,1.37,Perfect Stamping Quality
TOYOTA-PR-1004,2368.1,15.4,59.4,8.34,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1005,1277.8,27.3,51.0,5.71,1.42,Perfect Stamping Quality
TOYOTA-PR-1006,2342.5,23.2,59.2,7.57,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1007,2051.9,27.5,59.5,7.12,1.42,Perfect Stamping Quality
TOYOTA-PR-1008,1952.1,17.8,57.3,7.85,1.5,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1009,1581.2,18.7,51.5,6.27,1.57,Perfect Stamping Quality
TOYOTA-PR-1010,2133.2,29.5,57.6,7.15,1.18,Perfect Stamping Quality
TOYOTA-PR-1011,1314.8,28.9,48.4,5.32,1.11,Perfect Stamping Quality
TOYOTA-PR-1012,1174.4,14.7,47.2,6.3,1.3,Perfect Stamping Quality
TOYOTA-PR-1013,2056.5,14.2,59.0,7.99,1.06,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1014,1140.5,28.8,49.1,6.51,1.24,Perfect Stamping Quality
TOYOTA-PR-1015,1785.8,16.1,58.3,7.77,1.54,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1016,1249.9,24.5,49.8,5.77,1.43,Perfect Stamping Quality
TOYOTA-PR-1017,2335.6,29.7,51.3,7.25,1.5,Perfect Stamping Quality
TOYOTA-PR-1018,1613.9,16.7,52.7,6.71,1.2,Perfect Stamping Quality
TOYOTA-PR-1019,1371.6,29.5,47.3,7.63,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1020,2033.2,28.0,59.0,7.84,1.31,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1021,1286.0,28.6,56.2,6.79,1.62,Perfect Stamping Quality
TOYOTA-PR-1022,1447.4,27.2,54.9,6.54,1.43,Perfect Stamping Quality
TOYOTA-PR-1023,1852.5,30.7,52.8,7.0,1.43,Perfect Stamping Quality
TOYOTA-PR-1024,2288.7,31.6,57.0,7.84,1.72,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1025,1734.3,22.4,56.5,7.22,1.31,Perfect Stamping Quality
TOYOTA-PR-1026,1958.1,16.3,54.1,7.33,1.13,Perfect Stamping Quality
TOYOTA-PR-1027,1352.5,20.3,49.0,6.39,1.48,Perfect Stamping Quality
TOYOTA-PR-1028,1740.5,19.6,55.3,7.46,1.32,Perfect Stamping Quality
TOYOTA-PR-1029,1257.1,16.0,48.1,5.76,1.32,Perfect Stamping Quality
TOYOTA-PR-1030,2231.3,25.4,57.8,7.19,1.87,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1031,2195.5,26.2,58.4,8.17,1.53,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1032,1071.4,30.6,42.7,5.64,1.53,Perfect Stamping Quality
TOYOTA-PR-1033,1055.1,32.0,46.1,6.4,1.18,Perfect Stamping Quality
TOYOTA-PR-1034,2185.6,19.6,59.0,7.57,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1035,1216.5,22.0,52.1,6.44,1.28,Perfect Stamping Quality
TOYOTA-PR-1036,2380.3,21.4,65.8,7.39,1.36,Perfect Stamping Quality
TOYOTA-PR-1037,1856.9,20.1,52.8,6.62,1.33,Perfect Stamping Quality
TOYOTA-PR-1038,1249.2,26.6,44.3,6.26,1.36,Perfect Stamping Quality
TOYOTA-PR-1039,2130.5,22.1,63.9,7.35,1.56,Perfect Stamping Quality
TOYOTA-PR-1040,1123.5,27.4,49.8,6.2,1.29,Perfect Stamping Quality
TOYOTA-PR-1041,1297.8,20.8,45.6,7.1,0.91,Perfect Stamping Quality
TOYOTA-PR-1042,1259.8,23.7,49.2,6.42,1.5,Perfect Stamping Quality
TOYOTA-PR-1043,1242.8,26.2,46.4,7.17,1.2,Perfect Stamping Quality
TOYOTA-PR-1044,2033.3,31.2,56.3,7.36,1.31,Perfect Stamping Quality
TOYOTA-PR-1045,1804.0,25.7,56.1,6.75,1.22,Perfect Stamping Quality
TOYOTA-PR-1046,961.1,18.3,46.6,6.22,1.51,Perfect Stamping Quality
TOYOTA-PR-1047,1674.8,20.5,56.8,6.31,1.16,Perfect Stamping Quality
TOYOTA-PR-1048,1989.4,14.5,56.6,6.95,1.46,Perfect Stamping Quality
TOYOTA-PR-1049,1726.8,14.3,58.1,6.83,1.67,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1050,1717.7,22.2,51.6,6.55,1.49,Perfect Stamping Quality
TOYOTA-PR-1051,1730.5,27.8,51.7,6.46,1.56,Perfect Stamping Quality
TOYOTA-PR-1052,2272.9,27.4,53.8,7.31,1.38,Perfect Stamping Quality
TOYOTA-PR-1053,1252.8,26.1,56.4,6.65,1.25,Perfect Stamping Quality
TOYOTA-PR-1054,2398.3,25.9,56.6,7.65,1.51,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1055,1261.0,23.6,52.2,6.05,1.44,Perfect Stamping Quality
TOYOTA-PR-1056,1828.7,17.8,61.3,7.54,1.47,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1057,2160.5,27.4,56.5,8.24,1.03,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1058,838.2,27.6,42.0,5.7,1.29,Perfect Stamping Quality
TOYOTA-PR-1059,2002.4,29.5,55.4,7.46,1.57,Perfect Stamping Quality
TOYOTA-PR-1060,1519.1,17.4,53.2,6.5,1.23,Perfect Stamping Quality
TOYOTA-PR-1061,1090.6,30.0,49.5,5.45,1.38,Perfect Stamping Quality
TOYOTA-PR-1062,1208.2,17.9,50.8,6.2,1.38,Perfect Stamping Quality
TOYOTA-PR-1063,2392.8,14.3,56.0,8.33,1.63,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1064,1633.4,27.2,55.2,6.23,1.35,Perfect Stamping Quality
TOYOTA-PR-1065,1368.1,19.5,50.5,6.54,1.29,Perfect Stamping Quality
TOYOTA-PR-1066,2192.8,27.8,60.8,7.55,1.21,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1067,1578.4,31.0,49.2,6.97,1.29,Perfect Stamping Quality
TOYOTA-PR-1068,1328.8,30.6,47.7,6.3,1.36,Perfect Stamping Quality
TOYOTA-PR-1069,881.8,18.0,43.2,5.46,1.18,Perfect Stamping Quality
TOYOTA-PR-1070,2357.3,26.9,57.9,8.03,1.21,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1071,821.6,26.2,48.8,6.0,1.43,Perfect Stamping Quality
TOYOTA-PR-1072,1467.6,18.0,55.1,6.04,1.2,Perfect Stamping Quality
TOYOTA-PR-1073,1861.7,17.9,56.3,6.83,1.33,Perfect Stamping Quality
TOYOTA-PR-1074,997.4,29.2,41.1,5.54,1.43,Perfect Stamping Quality
TOYOTA-PR-1075,2195.7,26.2,56.7,8.0,1.31,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1076,2389.4,20.3,60.0,7.51,1.59,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1077,2235.8,27.5,57.4,7.29,1.35,Perfect Stamping Quality
TOYOTA-PR-1078,2120.0,28.3,58.0,8.27,1.59,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1079,944.2,25.2,49.6,6.23,1.31,Perfect Stamping Quality
TOYOTA-PR-1080,1012.3,14.6,47.8,6.08,1.18,Perfect Stamping Quality
TOYOTA-PR-1081,1873.7,18.7,50.9,7.12,1.63,Perfect Stamping Quality
TOYOTA-PR-1082,2093.3,16.8,57.9,7.44,1.54,Perfect Stamping Quality
TOYOTA-PR-1083,1342.1,18.1,48.9,6.35,1.03,Perfect Stamping Quality
TOYOTA-PR-1084,1858.8,26.5,52.1,7.07,1.46,Perfect Stamping Quality
TOYOTA-PR-1085,1582.1,31.0,52.1,6.81,1.32,Perfect Stamping Quality
TOYOTA-PR-1086,1039.3,20.3,53.2,6.09,1.31,Perfect Stamping Quality
TOYOTA-PR-1087,2399.5,27.7,58.4,7.97,1.4,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1088,2126.3,25.9,60.2,7.32,1.25,Perfect Stamping Quality
TOYOTA-PR-1089,1982.7,17.9,57.0,7.09,1.63,Perfect Stamping Quality
TOYOTA-PR-1090,1902.8,18.1,58.3,8.04,1.35,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1091,1371.8,18.3,49.6,5.92,1.2,Perfect Stamping Quality
TOYOTA-PR-1092,887.6,31.5,46.1,6.27,1.4,Perfect Stamping Quality
TOYOTA-PR-1093,1790.4,19.3,53.8,7.95,1.38,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1094,1103.0,22.0,50.1,6.21,1.37,Perfect Stamping Quality
TOYOTA-PR-1095,2022.7,14.2,58.1,6.8,1.39,Perfect Stamping Quality
TOYOTA-PR-1096,824.0,18.2,47.7,5.73,1.3,Perfect Stamping Quality
TOYOTA-PR-1097,2214.4,17.7,64.3,8.14,1.31,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1098,957.8,30.4,44.9,5.77,1.41,Perfect Stamping Quality
TOYOTA-PR-1099,1969.3,29.3,54.2,7.37,1.46,Perfect Stamping Quality
TOYOTA-PR-1100,2188.1,24.9,55.1,7.94,1.34,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1101,853.0,18.8,45.3,5.17,1.42,Perfect Stamping Quality
TOYOTA-PR-1102,1037.2,17.3,45.5,6.0,1.46,Perfect Stamping Quality
TOYOTA-PR-1103,1920.5,14.5,49.1,7.63,1.44,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1104,1041.8,19.6,51.9,6.01,1.49,Perfect Stamping Quality
TOYOTA-PR-1105,1589.3,25.9,50.7,7.07,1.41,Perfect Stamping Quality
TOYOTA-PR-1106,1591.7,31.5,55.4,6.69,1.34,Perfect Stamping Quality
TOYOTA-PR-1107,2010.7,15.4,57.4,7.17,1.22,Perfect Stamping Quality
TOYOTA-PR-1108,1728.1,20.3,53.5,7.23,1.33,Perfect Stamping Quality
