Fleet_Event_ID,Vehicle_Speed_mph,Sun_Glare_Angle_deg,Road_Curvature_deg,Camera_Inference_Latency_ms,Human_AI_Disparity_deg,Autonomy_Alignment
TESLA-SHADOW-1000,51.3,17.6,22.2,32.2,2.99,Seamless Autonomous Alignment
TESLA-SHADOW-1001,59.3,59.1,31.5,22.4,3.64,Seamless Autonomous Alignment
TESLA-SHADOW-1002,66.8,29.3,11.7,26.3,0.64,Seamless Autonomous Alignment
TESLA-SHADOW-1003,57.7,40.1,6.3,23.1,4.37,Seamless Autonomous Alignment
TESLA-SHADOW-1004,26.9,64.8,31.1,22.8,4.28,Seamless Autonomous Alignment
TESLA-SHADOW-1005,34.0,57.6,1.8,25.5,0.91,Seamless Autonomous Alignment
TESLA-SHADOW-1006,63.0,4.7,16.3,25.4,2.38,Seamless Autonomous Alignment
TESLA-SHADOW-1007,36.2,65.7,11.9,24.6,2.49,Seamless Autonomous Alignment
TESLA-SHADOW-1008,61.8,22.7,26.7,22.9,2.84,Seamless Autonomous Alignment
TESLA-SHADOW-1009,39.4,76.2,10.7,22.8,3.37,Seamless Autonomous Alignment
TESLA-SHADOW-1010,61.6,17.6,21.5,33.2,2.63,Seamless Autonomous Alignment
TESLA-SHADOW-1011,30.4,60.3,22.6,24.2,0.27,Seamless Autonomous Alignment
TESLA-SHADOW-1012,29.7,52.9,15.7,32.6,1.98,Seamless Autonomous Alignment
TESLA-SHADOW-1013,64.2,22.9,29.1,39.5,0.02,Seamless Autonomous Alignment
TESLA-SHADOW-1014,51.0,60.2,25.3,23.6,5.28,Shadow Disengagement Triggered
TESLA-SHADOW-1015,70.3,54.8,32.3,22.5,5.81,Shadow Disengagement Triggered
TESLA-SHADOW-1016,44.9,89.3,20.1,24.4,4.42,Seamless Autonomous Alignment
TESLA-SHADOW-1017,37.6,77.6,28.1,27.6,2.89,Seamless Autonomous Alignment
TESLA-SHADOW-1018,71.7,37.9,20.7,40.7,0.63,Seamless Autonomous Alignment
TESLA-SHADOW-1019,29.1,38.7,24.6,25.4,0.34,Seamless Autonomous Alignment
TESLA-SHADOW-1020,46.3,16.6,24.1,24.2,2.23,Seamless Autonomous Alignment
TESLA-SHADOW-1021,62.4,44.0,7.6,34.3,3.9,Seamless Autonomous Alignment
TESLA-SHADOW-1022,37.5,72.5,28.0,27.9,3.3,Seamless Autonomous Alignment
TESLA-SHADOW-1023,48.3,78.5,20.5,22.9,0.55,Seamless Autonomous Alignment
TESLA-SHADOW-1024,34.9,62.3,27.9,37.0,0.39,Seamless Autonomous Alignment
TESLA-SHADOW-1025,37.3,79.9,15.4,24.9,0.28,Seamless Autonomous Alignment
TESLA-SHADOW-1026,42.7,9.6,14.7,22.4,0.99,Seamless Autonomous Alignment
TESLA-SHADOW-1027,65.5,49.4,21.1,23.6,1.01,Seamless Autonomous Alignment
TESLA-SHADOW-1028,65.5,48.8,15.4,22.7,4.2,Seamless Autonomous Alignment
TESLA-SHADOW-1029,66.9,39.9,33.5,22.6,3.93,Seamless Autonomous Alignment
TESLA-SHADOW-1030,71.0,51.8,11.6,24.3,0.74,Seamless Autonomous Alignment
TESLA-SHADOW-1031,51.1,38.3,10.7,24.6,1.98,Seamless Autonomous Alignment
TESLA-SHADOW-1032,59.0,40.3,27.7,22.3,1.24,Seamless Autonomous Alignment
TESLA-SHADOW-1033,32.9,50.6,32.8,22.0,1.89,Seamless Autonomous Alignment
TESLA-SHADOW-1034,44.1,60.4,21.1,23.0,4.3,Seamless Autonomous Alignment
TESLA-SHADOW-1035,64.0,59.2,30.9,24.3,1.18,Seamless Autonomous Alignment
TESLA-SHADOW-1036,61.2,17.0,3.1,23.5,2.33,Seamless Autonomous Alignment
TESLA-SHADOW-1037,71.8,65.4,29.6,25.4,3.83,Seamless Autonomous Alignment
TESLA-SHADOW-1038,39.3,15.9,14.0,23.0,0.87,Seamless Autonomous Alignment
TESLA-SHADOW-1039,37.9,49.5,0.8,26.7,0.44,Seamless Autonomous Alignment
TESLA-SHADOW-1040,40.2,62.2,27.4,26.7,3.01,Seamless Autonomous Alignment
TESLA-SHADOW-1041,35.0,78.5,25.4,23.3,4.21,Seamless Autonomous Alignment
TESLA-SHADOW-1042,39.7,65.3,6.4,34.2,0.11,Seamless Autonomous Alignment
TESLA-SHADOW-1043,53.6,0.7,1.2,22.5,0.23,Seamless Autonomous Alignment
TESLA-SHADOW-1044,74.3,71.4,17.9,28.2,3.95,Seamless Autonomous Alignment
TESLA-SHADOW-1045,73.6,6.9,19.7,32.0,0.28,Seamless Autonomous Alignment
TESLA-SHADOW-1046,27.8,3.8,0.1,35.2,1.71,Seamless Autonomous Alignment
TESLA-SHADOW-1047,32.1,46.4,32.9,31.8,3.53,Seamless Autonomous Alignment
TESLA-SHADOW-1048,52.6,86.3,29.4,23.3,3.73,Seamless Autonomous Alignment
TESLA-SHADOW-1049,52.6,47.0,24.8,25.1,1.29,Seamless Autonomous Alignment
TESLA-SHADOW-1050,71.9,19.7,34.8,24.5,0.98,Seamless Autonomous Alignment
TESLA-SHADOW-1051,51.1,24.4,34.3,22.7,2.53,Seamless Autonomous Alignment
TESLA-SHADOW-1052,37.7,31.2,34.1,22.7,1.41,Seamless Autonomous Alignment
TESLA-SHADOW-1053,38.1,36.3,13.4,25.7,2.32,Seamless Autonomous Alignment
TESLA-SHADOW-1054,44.4,55.6,21.5,23.0,5.53,Shadow Disengagement Triggered
TESLA-SHADOW-1055,68.0,79.5,25.9,26.2,0.88,Seamless Autonomous Alignment
TESLA-SHADOW-1056,28.5,73.3,10.8,22.4,2.02,Seamless Autonomous Alignment
TESLA-SHADOW-1057,47.6,70.2,8.9,25.7,3.54,Seamless Autonomous Alignment
TESLA-SHADOW-1058,45.0,79.8,29.6,29.3,1.62,Seamless Autonomous Alignment
TESLA-SHADOW-1059,73.5,87.6,4.3,33.9,0.24,Shadow Disengagement Triggered
TESLA-SHADOW-1060,40.2,23.3,7.1,23.1,0.56,Seamless Autonomous Alignment
TESLA-SHADOW-1061,32.9,84.0,10.4,22.5,4.3,Seamless Autonomous Alignment
TESLA-SHADOW-1062,57.1,38.7,31.2,23.4,4.74,Shadow Disengagement Triggered
TESLA-SHADOW-1063,27.3,11.2,11.2,22.7,0.78,Seamless Autonomous Alignment
TESLA-SHADOW-1064,61.7,82.4,24.1,26.8,2.12,Seamless Autonomous Alignment
TESLA-SHADOW-1065,38.8,29.3,6.9,29.9,2.22,Seamless Autonomous Alignment
TESLA-SHADOW-1066,74.6,72.4,9.5,23.5,1.68,Seamless Autonomous Alignment
TESLA-SHADOW-1067,58.5,68.6,17.7,23.9,1.47,Seamless Autonomous Alignment
TESLA-SHADOW-1068,66.2,38.5,21.8,22.9,1.05,Seamless Autonomous Alignment
TESLA-SHADOW-1069,39.2,9.4,25.4,22.6,1.36,Seamless Autonomous Alignment
TESLA-SHADOW-1070,55.1,86.0,4.8,28.8,3.44,Seamless Autonomous Alignment
TESLA-SHADOW-1071,72.1,17.8,11.8,24.4,1.05,Seamless Autonomous Alignment
TESLA-SHADOW-1072,36.4,47.2,31.8,26.8,3.16,Seamless Autonomous Alignment
TESLA-SHADOW-1073,35.2,46.0,32.6,29.4,4.23,Seamless Autonomous Alignment
TESLA-SHADOW-1074,25.6,36.7,11.9,26.5,1.01,Seamless Autonomous Alignment
TESLA-SHADOW-1075,72.8,86.3,32.9,22.6,4.16,Seamless Autonomous Alignment
TESLA-SHADOW-1076,47.0,84.8,1.1,26.6,1.66,Seamless Autonomous Alignment
TESLA-SHADOW-1077,47.4,49.0,27.5,34.4,3.46,Seamless Autonomous Alignment
TESLA-SHADOW-1078,71.7,69.0,27.7,22.7,1.75,Seamless Autonomous Alignment
TESLA-SHADOW-1079,47.2,75.1,2.9,31.3,4.4,Shadow Disengagement Triggered
TESLA-SHADOW-1080,36.1,19.3,6.1,27.0,5.41,Shadow Disengagement Triggered
TESLA-SHADOW-1081,68.6,56.3,23.6,23.6,0.69,Seamless Autonomous Alignment
TESLA-SHADOW-1082,26.9,71.0,5.6,23.3,2.93,Seamless Autonomous Alignment
TESLA-SHADOW-1083,70.6,44.3,27.1,24.8,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1084,33.2,15.5,29.1,41.2,0.1,Seamless Autonomous Alignment
TESLA-SHADOW-1085,59.0,64.7,21.2,28.5,1.42,Seamless Autonomous Alignment
TESLA-SHADOW-1086,31.2,64.9,31.4,25.8,0.35,Seamless Autonomous Alignment
TESLA-SHADOW-1087,43.6,83.1,19.3,24.1,6.34,Shadow Disengagement Triggered
TESLA-SHADOW-1088,54.1,74.1,1.8,26.4,3.53,Seamless Autonomous Alignment
TESLA-SHADOW-1089,60.0,1.5,17.2,24.3,3.3,Seamless Autonomous Alignment
TESLA-SHADOW-1090,51.3,38.2,19.0,26.5,1.06,Seamless Autonomous Alignment
TESLA-SHADOW-1091,54.9,42.8,28.2,25.2,2.83,Seamless Autonomous Alignment
TESLA-SHADOW-1092,62.2,46.3,10.0,24.5,0.45,Seamless Autonomous Alignment
TESLA-SHADOW-1093,70.9,48.9,1.4,25.6,1.79,Seamless Autonomous Alignment
TESLA-SHADOW-1094,38.7,34.9,10.9,22.7,2.91,Seamless Autonomous Alignment
TESLA-SHADOW-1095,39.8,51.8,4.9,24.5,2.12,Seamless Autonomous Alignment
TESLA-SHADOW-1096,31.7,66.4,25.3,24.7,0.63,Seamless Autonomous Alignment
TESLA-SHADOW-1097,37.3,8.3,32.4,23.0,2.66,Seamless Autonomous Alignment
TESLA-SHADOW-1098,50.6,41.7,12.2,26.4,2.25,Seamless Autonomous Alignment
TESLA-SHADOW-1099,74.4,27.9,0.6,26.1,1.39,Seamless Autonomous Alignment
TESLA-SHADOW-1100,52.8,56.4,20.6,22.3,5.62,Shadow Disengagement Triggered
TESLA-SHADOW-1101,65.6,15.0,28.4,22.0,3.22,Seamless Autonomous Alignment
TESLA-SHADOW-1102,66.0,38.0,6.0,27.6,1.49,Seamless Autonomous Alignment
TESLA-SHADOW-1103,47.5,21.4,29.8,35.3,1.68,Seamless Autonomous Alignment
TESLA-SHADOW-1104,74.8,53.9,16.7,28.1,1.19,Seamless Autonomous Alignment
TESLA-SHADOW-1105,42.5,21.7,6.4,26.1,1.46,Seamless Autonomous Alignment
TESLA-SHADOW-1106,69.1,71.8,21.1,24.3,0.59,Seamless Autonomous Alignment
TESLA-SHADOW-1107,70.2,33.0,18.3,23.5,0.25,Seamless Autonomous Alignment
TESLA-SHADOW-1108,59.2,48.5,23.8,26.7,5.6,Shadow Disengagement Triggered
