Inverter_Test_ID,Switching_Frequency_kHz,Inverter_Junction_Temp_C,Motor_Speed_RPM,Power_Switching_Loss_W,Inverter_Efficiency_pct,Operating_Regime
HYUNDAI-E-GMP-1000,10.4,90.9,9286,647.1,96.54,Thermal Derating Required
HYUNDAI-E-GMP-1001,22.3,64.4,15155,795.7,96.02,Thermal Derating Required
HYUNDAI-E-GMP-1002,17.3,46.3,10257,602.9,96.69,Thermal Derating Required
HYUNDAI-E-GMP-1003,22.4,87.4,5158,838.0,95.87,Thermal Derating Required
HYUNDAI-E-GMP-1004,13.6,86.2,15192,718.3,96.29,Thermal Derating Required
HYUNDAI-E-GMP-1005,10.4,69.5,6531,490.3,97.08,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1006,9.9,93.6,10132,626.9,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1007,14.8,67.5,1068,533.3,96.93,Thermal Derating Required
HYUNDAI-E-GMP-1008,19.6,76.8,4996,731.4,96.24,Thermal Derating Required
HYUNDAI-E-GMP-1009,23.4,83.1,4255,795.5,96.02,Thermal Derating Required
HYUNDAI-E-GMP-1010,13.6,50.6,13625,546.7,96.89,Thermal Derating Required
HYUNDAI-E-GMP-1011,14.1,78.9,15152,705.2,96.33,Thermal Derating Required
HYUNDAI-E-GMP-1012,22.2,67.9,10005,791.9,96.03,Thermal Derating Required
HYUNDAI-E-GMP-1013,22.9,47.8,8635,664.6,96.47,Thermal Derating Required
HYUNDAI-E-GMP-1014,8.8,75.7,9565,543.5,96.9,Thermal Derating Required
HYUNDAI-E-GMP-1015,19.7,64.0,15807,762.9,96.13,Thermal Derating Required
HYUNDAI-E-GMP-1016,20.4,51.6,15392,727.6,96.25,Thermal Derating Required
HYUNDAI-E-GMP-1017,17.1,60.7,4399,606.4,96.68,Thermal Derating Required
HYUNDAI-E-GMP-1018,21.8,61.2,12939,763.6,96.13,Thermal Derating Required
HYUNDAI-E-GMP-1019,23.8,47.6,2424,643.8,96.55,Thermal Derating Required
HYUNDAI-E-GMP-1020,14.8,75.3,2921,598.7,96.7,Thermal Derating Required
HYUNDAI-E-GMP-1021,12.0,78.6,4025,599.9,96.7,Thermal Derating Required
HYUNDAI-E-GMP-1022,16.6,89.7,1830,720.1,96.28,Thermal Derating Required
HYUNDAI-E-GMP-1023,8.9,54.6,4845,372.0,97.5,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1024,15.9,82.4,2136,656.8,96.5,Thermal Derating Required
HYUNDAI-E-GMP-1025,20.8,48.6,15601,732.1,96.24,Thermal Derating Required
HYUNDAI-E-GMP-1026,19.4,71.0,14729,795.7,96.01,Thermal Derating Required
HYUNDAI-E-GMP-1027,15.5,84.3,10577,739.3,96.21,Thermal Derating Required
HYUNDAI-E-GMP-1028,10.4,82.0,2682,536.5,96.92,Thermal Derating Required
HYUNDAI-E-GMP-1029,9.1,75.9,12749,619.8,96.63,Thermal Derating Required
HYUNDAI-E-GMP-1030,16.4,94.8,15983,836.1,95.87,Thermal Derating Required
HYUNDAI-E-GMP-1031,16.4,52.4,15095,646.7,96.54,Thermal Derating Required
HYUNDAI-E-GMP-1032,17.0,70.7,6441,624.8,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1033,11.7,85.0,7261,621.8,96.62,Thermal Derating Required
HYUNDAI-E-GMP-1034,18.1,70.7,10956,759.2,96.14,Thermal Derating Required
HYUNDAI-E-GMP-1035,11.8,81.4,10080,616.6,96.64,Thermal Derating Required
HYUNDAI-E-GMP-1036,14.0,52.8,15046,561.4,96.84,Thermal Derating Required
