Packet_ID,RF_Channel,Signal_Strength_RSSI_dBm,Packet_Latency_ms,Cell_Voltage_Report_V,Wireless_Link_Quality
GM-wBMS-1000,20,-73.4,10.15,4.095,Ultra-Reliable Wireless Telemetry
GM-wBMS-1001,25,-81.0,14.22,4.051,Ultra-Reliable Wireless Telemetry
GM-wBMS-1002,20,-75.0,9.83,3.678,Ultra-Reliable Wireless Telemetry
GM-wBMS-1003,15,-69.1,9.21,4.054,Ultra-Reliable Wireless Telemetry
GM-wBMS-1004,20,-82.1,13.45,3.751,Ultra-Reliable Wireless Telemetry
GM-wBMS-1005,11,-76.3,10.54,3.962,Ultra-Reliable Wireless Telemetry
GM-wBMS-1006,15,-45.4,4.49,3.969,Ultra-Reliable Wireless Telemetry
GM-wBMS-1007,25,-59.8,7.24,3.91,Ultra-Reliable Wireless Telemetry
GM-wBMS-1008,20,-59.1,7.41,3.76,Ultra-Reliable Wireless Telemetry
GM-wBMS-1009,26,-64.5,7.79,4.08,Ultra-Reliable Wireless Telemetry
GM-wBMS-1010,11,-56.2,6.22,3.901,Ultra-Reliable Wireless Telemetry
GM-wBMS-1011,11,-82.5,14.01,4.158,Ultra-Reliable Wireless Telemetry
GM-wBMS-1012,20,-68.7,10.56,3.879,Ultra-Reliable Wireless Telemetry
GM-wBMS-1013,26,-81.7,11.81,4.061,Ultra-Reliable Wireless Telemetry
GM-wBMS-1014,25,-76.2,11.85,3.994,Ultra-Reliable Wireless Telemetry
GM-wBMS-1015,15,-52.2,6.64,4.149,Ultra-Reliable Wireless Telemetry
GM-wBMS-1016,25,-81.1,10.97,4.072,Ultra-Reliable Wireless Telemetry
GM-wBMS-1017,11,-58.9,8.98,4.166,Ultra-Reliable Wireless Telemetry
GM-wBMS-1018,25,-49.7,6.85,3.879,Ultra-Reliable Wireless Telemetry
GM-wBMS-1019,20,-82.9,13.65,3.785,Ultra-Reliable Wireless Telemetry
GM-wBMS-1020,25,-45.4,6.35,4.026,Ultra-Reliable Wireless Telemetry
GM-wBMS-1021,26,-83.2,14.37,4.152,Ultra-Reliable Wireless Telemetry
GM-wBMS-1022,25,-77.0,13.1,3.677,Ultra-Reliable Wireless Telemetry
GM-wBMS-1023,25,-52.2,7.25,3.959,Ultra-Reliable Wireless Telemetry
GM-wBMS-1024,25,-61.0,7.68,3.988,Ultra-Reliable Wireless Telemetry
GM-wBMS-1025,11,-58.9,6.85,3.973,Ultra-Reliable Wireless Telemetry
GM-wBMS-1026,20,-49.0,5.12,4.065,Ultra-Reliable Wireless Telemetry
GM-wBMS-1027,25,-53.2,6.97,3.916,Ultra-Reliable Wireless Telemetry
GM-wBMS-1028,25,-47.4,5.0,3.82,Ultra-Reliable Wireless Telemetry
GM-wBMS-1029,11,-54.5,8.84,3.725,Ultra-Reliable Wireless Telemetry
GM-wBMS-1030,15,-49.1,5.08,4.113,Ultra-Reliable Wireless Telemetry
GM-wBMS-1031,25,-82.6,13.31,4.009,Ultra-Reliable Wireless Telemetry
GM-wBMS-1032,20,-59.4,6.86,3.663,Ultra-Reliable Wireless Telemetry
GM-wBMS-1033,11,-68.1,9.56,4.028,Ultra-Reliable Wireless Telemetry
GM-wBMS-1034,20,-84.5,13.54,3.925,Ultra-Reliable Wireless Telemetry
GM-wBMS-1035,20,-54.8,6.78,3.998,Ultra-Reliable Wireless Telemetry
GM-wBMS-1036,11,-53.1,11.86,4.081,Ultra-Reliable Wireless Telemetry
GM-wBMS-1037,15,-71.4,9.79,3.888,Ultra-Reliable Wireless Telemetry
GM-wBMS-1038,11,-75.2,16.48,4.029,Ultra-Reliable Wireless Telemetry
GM-wBMS-1039,25,-79.9,10.59,3.995,Ultra-Reliable Wireless Telemetry
GM-wBMS-1040,20,-67.0,8.52,3.976,Ultra-Reliable Wireless Telemetry
GM-wBMS-1041,15,-63.4,7.55,4.161,Ultra-Reliable Wireless Telemetry
GM-wBMS-1042,25,-62.6,9.69,3.707,Ultra-Reliable Wireless Telemetry
GM-wBMS-1043,25,-84.2,13.64,3.748,Ultra-Reliable Wireless Telemetry
GM-wBMS-1044,20,-48.1,4.9,4.131,Ultra-Reliable Wireless Telemetry
GM-wBMS-1045,20,-81.9,13.95,4.11,Ultra-Reliable Wireless Telemetry
GM-wBMS-1046,26,-79.4,11.16,3.903,Ultra-Reliable Wireless Telemetry
GM-wBMS-1047,15,-58.0,9.47,3.758,Ultra-Reliable Wireless Telemetry
GM-wBMS-1048,15,-79.8,10.94,4.025,Ultra-Reliable Wireless Telemetry
GM-wBMS-1049,26,-74.5,10.64,3.954,Ultra-Reliable Wireless Telemetry
GM-wBMS-1050,26,-82.8,11.98,3.822,Ultra-Reliable Wireless Telemetry
GM-wBMS-1051,26,-74.8,9.59,4.099,Ultra-Reliable Wireless Telemetry
GM-wBMS-1052,25,-77.8,11.89,3.788,Ultra-Reliable Wireless Telemetry
GM-wBMS-1053,26,-50.1,9.79,4.119,Ultra-Reliable Wireless Telemetry
GM-wBMS-1054,11,-77.0,11.88,4.128,Ultra-Reliable Wireless Telemetry
GM-wBMS-1055,15,-62.5,7.51,3.66,Ultra-Reliable Wireless Telemetry
GM-wBMS-1056,25,-60.2,8.16,3.663,Ultra-Reliable Wireless Telemetry
GM-wBMS-1057,20,-72.1,9.25,3.719,Ultra-Reliable Wireless Telemetry
GM-wBMS-1058,11,-73.0,13.03,4.006,Ultra-Reliable Wireless Telemetry
GM-wBMS-1059,20,-58.0,9.12,3.941,Ultra-Reliable Wireless Telemetry
GM-wBMS-1060,25,-61.7,9.86,4.056,Ultra-Reliable Wireless Telemetry
GM-wBMS-1061,20,-83.8,12.1,3.778,Ultra-Reliable Wireless Telemetry
GM-wBMS-1062,25,-47.8,5.1,3.71,Ultra-Reliable Wireless Telemetry
GM-wBMS-1063,26,-50.4,8.86,4.176,Ultra-Reliable Wireless Telemetry
GM-wBMS-1064,25,-70.9,9.14,3.818,Ultra-Reliable Wireless Telemetry
GM-wBMS-1065,11,-72.4,10.48,3.68,Ultra-Reliable Wireless Telemetry
GM-wBMS-1066,25,-65.8,10.71,3.921,Ultra-Reliable Wireless Telemetry
GM-wBMS-1067,25,-59.1,10.43,3.943,Ultra-Reliable Wireless Telemetry
GM-wBMS-1068,25,-76.8,10.22,4.024,Ultra-Reliable Wireless Telemetry
GM-wBMS-1069,20,-73.1,10.84,3.869,Ultra-Reliable Wireless Telemetry
GM-wBMS-1070,26,-84.9,14.66,3.929,RF Retransmission / Latency Spike
GM-wBMS-1071,26,-66.7,11.55,3.997,Ultra-Reliable Wireless Telemetry
GM-wBMS-1072,20,-45.4,5.05,4.105,Ultra-Reliable Wireless Telemetry
GM-wBMS-1073,26,-64.6,8.09,3.941,Ultra-Reliable Wireless Telemetry
GM-wBMS-1074,15,-83.5,16.19,3.811,RF Retransmission / Latency Spike
GM-wBMS-1075,26,-82.5,11.28,4.038,Ultra-Reliable Wireless Telemetry
GM-wBMS-1076,15,-76.8,12.16,4.148,Ultra-Reliable Wireless Telemetry
GM-wBMS-1077,20,-49.2,5.17,4.095,Ultra-Reliable Wireless Telemetry
GM-wBMS-1078,15,-45.9,4.49,3.804,Ultra-Reliable Wireless Telemetry
GM-wBMS-1079,15,-83.4,11.41,3.695,Ultra-Reliable Wireless Telemetry
GM-wBMS-1080,11,-53.8,7.96,3.845,Ultra-Reliable Wireless Telemetry
GM-wBMS-1081,15,-50.0,12.03,3.885,Ultra-Reliable Wireless Telemetry
GM-wBMS-1082,20,-58.2,9.31,4.025,Ultra-Reliable Wireless Telemetry
GM-wBMS-1083,11,-67.5,10.92,3.733,Ultra-Reliable Wireless Telemetry
GM-wBMS-1084,15,-78.2,11.56,3.847,Ultra-Reliable Wireless Telemetry
GM-wBMS-1085,26,-50.6,8.15,3.698,Ultra-Reliable Wireless Telemetry
GM-wBMS-1086,20,-71.5,12.05,3.972,Ultra-Reliable Wireless Telemetry
GM-wBMS-1087,26,-82.0,16.26,3.698,RF Retransmission / Latency Spike
GM-wBMS-1088,11,-70.5,11.09,3.82,Ultra-Reliable Wireless Telemetry
GM-wBMS-1089,15,-72.3,9.92,3.985,Ultra-Reliable Wireless Telemetry
GM-wBMS-1090,15,-51.3,7.58,3.704,Ultra-Reliable Wireless Telemetry
GM-wBMS-1091,15,-68.5,13.37,3.764,Ultra-Reliable Wireless Telemetry
GM-wBMS-1092,11,-66.6,9.61,3.717,Ultra-Reliable Wireless Telemetry
GM-wBMS-1093,26,-57.3,8.46,3.896,Ultra-Reliable Wireless Telemetry
GM-wBMS-1094,25,-79.4,15.8,4.099,RF Retransmission / Latency Spike
GM-wBMS-1095,20,-74.2,9.95,3.887,Ultra-Reliable Wireless Telemetry
GM-wBMS-1096,25,-73.2,9.66,4.108,Ultra-Reliable Wireless Telemetry
GM-wBMS-1097,26,-72.6,12.66,4.025,Ultra-Reliable Wireless Telemetry
GM-wBMS-1098,25,-50.4,6.08,4.133,Ultra-Reliable Wireless Telemetry
GM-wBMS-1099,15,-77.6,12.0,4.048,Ultra-Reliable Wireless Telemetry
GM-wBMS-1100,20,-73.8,15.93,4.132,Ultra-Reliable Wireless Telemetry
GM-wBMS-1101,20,-61.4,9.22,4.127,Ultra-Reliable Wireless Telemetry
GM-wBMS-1102,15,-60.8,9.84,4.073,Ultra-Reliable Wireless Telemetry
GM-wBMS-1103,25,-69.3,12.13,3.771,Ultra-Reliable Wireless Telemetry
GM-wBMS-1104,20,-73.7,9.71,3.933,Ultra-Reliable Wireless Telemetry
GM-wBMS-1105,20,-54.1,7.51,3.935,Ultra-Reliable Wireless Telemetry
GM-wBMS-1106,15,-61.2,7.98,3.832,Ultra-Reliable Wireless Telemetry
GM-wBMS-1107,15,-48.2,5.1,3.805,Ultra-Reliable Wireless Telemetry
GM-wBMS-1108,25,-73.8,9.82,3.695,Ultra-Reliable Wireless Telemetry
GM-wBMS-1109,26,-77.9,12.88,3.68,Ultra-Reliable Wireless Telemetry
GM-wBMS-1110,26,-71.3,9.65,3.711,Ultra-Reliable Wireless Telemetry
GM-wBMS-1111,20,-77.7,10.47,4.017,Ultra-Reliable Wireless Telemetry
GM-wBMS-1112,15,-48.9,5.28,3.821,Ultra-Reliable Wireless Telemetry
GM-wBMS-1113,26,-49.3,6.16,4.093,Ultra-Reliable Wireless Telemetry
GM-wBMS-1114,15,-83.3,12.85,3.775,Ultra-Reliable Wireless Telemetry
GM-wBMS-1115,11,-73.8,11.64,3.963,Ultra-Reliable Wireless Telemetry
GM-wBMS-1116,11,-58.1,9.36,3.861,Ultra-Reliable Wireless Telemetry
GM-wBMS-1117,20,-82.8,11.67,4.115,Ultra-Reliable Wireless Telemetry
GM-wBMS-1118,20,-80.6,11.0,3.977,Ultra-Reliable Wireless Telemetry
GM-wBMS-1119,25,-45.2,4.49,3.905,Ultra-Reliable Wireless Telemetry
GM-wBMS-1120,11,-59.3,6.97,3.968,Ultra-Reliable Wireless Telemetry
GM-wBMS-1121,11,-79.5,12.91,3.664,Ultra-Reliable Wireless Telemetry
GM-wBMS-1122,25,-79.8,10.75,3.962,Ultra-Reliable Wireless Telemetry
GM-wBMS-1123,25,-70.9,11.97,3.806,Ultra-Reliable Wireless Telemetry
GM-wBMS-1124,20,-60.8,7.91,3.87,Ultra-Reliable Wireless Telemetry
GM-wBMS-1125,20,-69.0,10.42,3.864,Ultra-Reliable Wireless Telemetry
GM-wBMS-1126,25,-62.7,7.65,3.798,Ultra-Reliable Wireless Telemetry
GM-wBMS-1127,26,-81.2,11.0,4.15,Ultra-Reliable Wireless Telemetry
GM-wBMS-1128,26,-60.6,9.9,3.896,Ultra-Reliable Wireless Telemetry
GM-wBMS-1129,20,-76.6,10.22,3.796,Ultra-Reliable Wireless Telemetry
GM-wBMS-1130,15,-71.3,12.0,4.062,Ultra-Reliable Wireless Telemetry
GM-wBMS-1131,15,-47.9,5.77,3.833,Ultra-Reliable Wireless Telemetry
GM-wBMS-1132,26,-54.9,9.05,4.114,Ultra-Reliable Wireless Telemetry
GM-wBMS-1133,15,-52.0,6.6,3.759,Ultra-Reliable Wireless Telemetry
GM-wBMS-1134,11,-53.4,6.48,3.77,Ultra-Reliable Wireless Telemetry
GM-wBMS-1135,20,-68.2,10.66,4.034,Ultra-Reliable Wireless Telemetry
GM-wBMS-1136,26,-50.9,5.74,3.868,Ultra-Reliable Wireless Telemetry
GM-wBMS-1137,25,-77.5,11.81,3.912,Ultra-Reliable Wireless Telemetry
GM-wBMS-1138,15,-53.7,6.96,3.859,Ultra-Reliable Wireless Telemetry
GM-wBMS-1139,15,-48.1,6.01,3.937,Ultra-Reliable Wireless Telemetry
GM-wBMS-1140,26,-46.3,4.48,4.047,Ultra-Reliable Wireless Telemetry
GM-wBMS-1141,15,-69.7,8.73,3.658,Ultra-Reliable Wireless Telemetry
GM-wBMS-1142,15,-77.5,10.12,3.934,Ultra-Reliable Wireless Telemetry
GM-wBMS-1143,26,-60.6,7.27,3.875,Ultra-Reliable Wireless Telemetry
GM-wBMS-1144,25,-53.0,6.46,4.121,Ultra-Reliable Wireless Telemetry
GM-wBMS-1145,15,-71.0,9.65,3.784,Ultra-Reliable Wireless Telemetry
GM-wBMS-1146,11,-80.6,13.2,3.946,Ultra-Reliable Wireless Telemetry
GM-wBMS-1147,11,-67.7,9.24,4.155,Ultra-Reliable Wireless Telemetry
GM-wBMS-1148,20,-72.6,10.12,4.024,Ultra-Reliable Wireless Telemetry
GM-wBMS-1149,11,-65.9,8.56,3.926,Ultra-Reliable Wireless Telemetry
GM-wBMS-1150,25,-52.3,8.48,3.907,Ultra-Reliable Wireless Telemetry
GM-wBMS-1151,25,-56.9,7.77,3.8,Ultra-Reliable Wireless Telemetry
GM-wBMS-1152,25,-45.5,4.69,3.937,Ultra-Reliable Wireless Telemetry
GM-wBMS-1153,20,-79.3,13.25,3.882,Ultra-Reliable Wireless Telemetry
GM-wBMS-1154,11,-76.7,10.77,3.82,Ultra-Reliable Wireless Telemetry
GM-wBMS-1155,26,-58.0,7.33,3.692,Ultra-Reliable Wireless Telemetry
GM-wBMS-1156,20,-70.3,9.4,3.743,Ultra-Reliable Wireless Telemetry
GM-wBMS-1157,25,-73.5,11.84,4.106,Ultra-Reliable Wireless Telemetry
GM-wBMS-1158,11,-62.0,7.49,3.991,Ultra-Reliable Wireless Telemetry
GM-wBMS-1159,20,-82.7,12.08,3.725,Ultra-Reliable Wireless Telemetry
GM-wBMS-1160,20,-78.3,10.37,3.821,Ultra-Reliable Wireless Telemetry
GM-wBMS-1161,20,-57.9,9.22,3.859,Ultra-Reliable Wireless Telemetry
GM-wBMS-1162,25,-75.6,10.54,4.137,Ultra-Reliable Wireless Telemetry
GM-wBMS-1163,11,-56.9,6.49,3.695,Ultra-Reliable Wireless Telemetry
GM-wBMS-1164,20,-81.3,16.15,3.755,RF Retransmission / Latency Spike
GM-wBMS-1165,15,-67.6,9.66,3.765,Ultra-Reliable Wireless Telemetry
GM-wBMS-1166,25,-46.7,10.61,3.748,Ultra-Reliable Wireless Telemetry
GM-wBMS-1167,26,-70.6,8.82,4.129,Ultra-Reliable Wireless Telemetry
GM-wBMS-1168,25,-82.5,11.22,3.814,Ultra-Reliable Wireless Telemetry
GM-wBMS-1169,11,-64.5,14.64,3.917,Ultra-Reliable Wireless Telemetry
GM-wBMS-1170,26,-60.5,8.44,3.891,Ultra-Reliable Wireless Telemetry
GM-wBMS-1171,11,-68.8,10.74,3.903,Ultra-Reliable Wireless Telemetry
GM-wBMS-1172,26,-71.3,9.4,4.078,Ultra-Reliable Wireless Telemetry
GM-wBMS-1173,20,-82.3,10.92,4.026,Ultra-Reliable Wireless Telemetry
GM-wBMS-1174,20,-67.9,12.6,3.805,Ultra-Reliable Wireless Telemetry
GM-wBMS-1175,26,-49.7,5.53,3.863,Ultra-Reliable Wireless Telemetry
GM-wBMS-1176,25,-68.0,8.9,4.029,Ultra-Reliable Wireless Telemetry
GM-wBMS-1177,20,-82.9,11.3,4.178,Ultra-Reliable Wireless Telemetry
GM-wBMS-1178,11,-58.9,7.51,3.857,Ultra-Reliable Wireless Telemetry
GM-wBMS-1179,11,-81.9,12.13,3.708,Ultra-Reliable Wireless Telemetry
GM-wBMS-1180,25,-73.9,13.74,3.776,Ultra-Reliable Wireless Telemetry
GM-wBMS-1181,20,-68.7,9.75,3.898,Ultra-Reliable Wireless Telemetry
GM-wBMS-1182,11,-69.1,8.81,4.077,Ultra-Reliable Wireless Telemetry
GM-wBMS-1183,11,-46.5,5.15,3.738,Ultra-Reliable Wireless Telemetry
GM-wBMS-1184,15,-76.6,11.43,3.735,Ultra-Reliable Wireless Telemetry
GM-wBMS-1185,26,-51.7,6.13,4.138,Ultra-Reliable Wireless Telemetry
GM-wBMS-1186,25,-68.7,8.66,4.123,Ultra-Reliable Wireless Telemetry
GM-wBMS-1187,15,-52.7,6.68,3.868,Ultra-Reliable Wireless Telemetry
GM-wBMS-1188,26,-82.5,13.01,3.863,Ultra-Reliable Wireless Telemetry
GM-wBMS-1189,26,-82.9,11.78,3.902,Ultra-Reliable Wireless Telemetry
GM-wBMS-1190,26,-60.9,7.62,3.661,Ultra-Reliable Wireless Telemetry
GM-wBMS-1191,26,-77.0,15.15,4.015,Ultra-Reliable Wireless Telemetry
GM-wBMS-1192,11,-77.9,11.79,3.738,Ultra-Reliable Wireless Telemetry
GM-wBMS-1193,20,-46.2,4.7,3.661,Ultra-Reliable Wireless Telemetry
GM-wBMS-1194,20,-53.4,8.15,4.17,Ultra-Reliable Wireless Telemetry
GM-wBMS-1195,15,-78.0,11.49,3.742,Ultra-Reliable Wireless Telemetry
GM-wBMS-1196,15,-60.3,7.4,4.161,Ultra-Reliable Wireless Telemetry
GM-wBMS-1197,20,-71.1,10.12,3.874,Ultra-Reliable Wireless Telemetry
GM-wBMS-1198,26,-55.2,7.51,4.02,Ultra-Reliable Wireless Telemetry
GM-wBMS-1199,15,-47.0,5.33,3.774,Ultra-Reliable Wireless Telemetry
GM-wBMS-1200,11,-62.4,9.52,4.018,Ultra-Reliable Wireless Telemetry
GM-wBMS-1201,20,-55.5,6.34,3.942,Ultra-Reliable Wireless Telemetry
GM-wBMS-1202,15,-61.3,7.13,3.787,Ultra-Reliable Wireless Telemetry
GM-wBMS-1203,11,-67.5,9.12,3.717,Ultra-Reliable Wireless Telemetry
GM-wBMS-1204,11,-48.5,7.6,3.676,Ultra-Reliable Wireless Telemetry
GM-wBMS-1205,20,-72.7,9.82,4.17,Ultra-Reliable Wireless Telemetry
