Drive_Segment_ID,Vehicle_Speed_mph,Power_Demand_kW,Operating_Hybrid_Mode,Instant_Fuel_Economy_MPG,Clutch_Lockup_State
HONDA-eHEV-1000,45.2,56.3,Hybrid Drive (Engine-Gen + Traction Motor),40.7,Disengaged / Electric Motor
HONDA-eHEV-1001,29.5,28.8,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1002,35.9,23.7,Hybrid Drive (Engine-Gen + Traction Motor),42.8,Disengaged / Electric Motor
HONDA-eHEV-1003,17.1,19.6,EV Drive (Battery Only),63.9,Disengaged / Electric Motor
HONDA-eHEV-1004,65.6,78.2,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1005,31.8,27.9,Hybrid Drive (Engine-Gen + Traction Motor),47.5,Disengaged / Electric Motor
HONDA-eHEV-1006,40.2,49.5,Hybrid Drive (Engine-Gen + Traction Motor),48.2,Disengaged / Electric Motor
HONDA-eHEV-1007,26.7,28.9,Hybrid Drive (Engine-Gen + Traction Motor),40.7,Disengaged / Electric Motor
HONDA-eHEV-1008,48.3,48.2,Hybrid Drive (Engine-Gen + Traction Motor),39.5,Disengaged / Electric Motor
HONDA-eHEV-1009,26.8,37.5,Hybrid Drive (Engine-Gen + Traction Motor),45.1,Disengaged / Electric Motor
HONDA-eHEV-1010,21.6,31.7,Hybrid Drive (Engine-Gen + Traction Motor),41.9,Disengaged / Electric Motor
HONDA-eHEV-1011,56.8,61.4,Hybrid Drive (Engine-Gen + Traction Motor),46.5,Disengaged / Electric Motor
HONDA-eHEV-1012,29.0,29.0,Hybrid Drive (Engine-Gen + Traction Motor),44.7,Disengaged / Electric Motor
HONDA-eHEV-1013,25.2,22.2,EV Drive (Battery Only),64.5,Disengaged / Electric Motor
HONDA-eHEV-1014,47.6,57.1,Hybrid Drive (Engine-Gen + Traction Motor),47.0,Disengaged / Electric Motor
HONDA-eHEV-1015,60.4,62.3,Hybrid Drive (Engine-Gen + Traction Motor),45.1,Disengaged / Electric Motor
HONDA-eHEV-1016,51.2,44.1,Hybrid Drive (Engine-Gen + Traction Motor),44.5,Disengaged / Electric Motor
HONDA-eHEV-1017,61.0,51.1,Hybrid Drive (Engine-Gen + Traction Motor),45.0,Disengaged / Electric Motor
HONDA-eHEV-1018,30.4,20.7,Hybrid Drive (Engine-Gen + Traction Motor),44.2,Disengaged / Electric Motor
HONDA-eHEV-1019,78.8,88.8,Hybrid Drive (Engine-Gen + Traction Motor),39.8,Disengaged / Electric Motor
HONDA-eHEV-1020,48.2,45.9,Hybrid Drive (Engine-Gen + Traction Motor),44.1,Disengaged / Electric Motor
HONDA-eHEV-1021,77.5,70.4,Hybrid Drive (Engine-Gen + Traction Motor),39.2,Disengaged / Electric Motor
HONDA-eHEV-1022,50.1,65.2,Hybrid Drive (Engine-Gen + Traction Motor),44.2,Disengaged / Electric Motor
HONDA-eHEV-1023,42.2,48.4,Hybrid Drive (Engine-Gen + Traction Motor),44.8,Disengaged / Electric Motor
HONDA-eHEV-1024,62.5,72.8,Hybrid Drive (Engine-Gen + Traction Motor),42.9,Disengaged / Electric Motor
HONDA-eHEV-1025,15.6,7.0,EV Drive (Battery Only),72.5,Disengaged / Electric Motor
HONDA-eHEV-1026,42.9,58.7,Hybrid Drive (Engine-Gen + Traction Motor),49.9,Disengaged / Electric Motor
HONDA-eHEV-1027,53.2,59.3,Hybrid Drive (Engine-Gen + Traction Motor),44.6,Disengaged / Electric Motor
HONDA-eHEV-1028,43.5,45.4,Hybrid Drive (Engine-Gen + Traction Motor),44.0,Disengaged / Electric Motor
HONDA-eHEV-1029,19.0,10.2,EV Drive (Battery Only),70.1,Disengaged / Electric Motor
HONDA-eHEV-1030,30.3,32.6,Hybrid Drive (Engine-Gen + Traction Motor),45.2,Disengaged / Electric Motor
HONDA-eHEV-1031,17.9,17.6,EV Drive (Battery Only),64.3,Disengaged / Electric Motor
HONDA-eHEV-1032,72.9,73.5,Hybrid Drive (Engine-Gen + Traction Motor),46.9,Disengaged / Electric Motor
HONDA-eHEV-1033,30.9,31.7,Hybrid Drive (Engine-Gen + Traction Motor),40.6,Disengaged / Electric Motor
HONDA-eHEV-1034,66.2,70.5,Hybrid Drive (Engine-Gen + Traction Motor),41.5,Disengaged / Electric Motor
HONDA-eHEV-1035,42.6,47.7,Hybrid Drive (Engine-Gen + Traction Motor),45.8,Disengaged / Electric Motor
HONDA-eHEV-1036,18.4,16.5,EV Drive (Battery Only),67.0,Disengaged / Electric Motor
HONDA-eHEV-1037,24.1,32.2,Hybrid Drive (Engine-Gen + Traction Motor),46.7,Disengaged / Electric Motor
HONDA-eHEV-1038,63.2,57.8,Hybrid Drive (Engine-Gen + Traction Motor),39.8,Disengaged / Electric Motor
HONDA-eHEV-1039,23.3,23.1,EV Drive (Battery Only),69.2,Disengaged / Electric Motor
HONDA-eHEV-1040,28.4,33.8,Hybrid Drive (Engine-Gen + Traction Motor),42.6,Disengaged / Electric Motor
HONDA-eHEV-1041,42.5,35.1,Hybrid Drive (Engine-Gen + Traction Motor),40.3,Disengaged / Electric Motor
HONDA-eHEV-1042,61.3,79.2,Hybrid Drive (Engine-Gen + Traction Motor),47.0,Disengaged / Electric Motor
HONDA-eHEV-1043,39.0,40.1,Hybrid Drive (Engine-Gen + Traction Motor),42.4,Disengaged / Electric Motor
HONDA-eHEV-1044,30.7,39.1,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1045,30.1,24.3,Hybrid Drive (Engine-Gen + Traction Motor),41.4,Disengaged / Electric Motor
HONDA-eHEV-1046,38.9,51.2,Hybrid Drive (Engine-Gen + Traction Motor),47.9,Disengaged / Electric Motor
HONDA-eHEV-1047,32.4,49.6,Hybrid Drive (Engine-Gen + Traction Motor),43.9,Disengaged / Electric Motor
HONDA-eHEV-1048,40.5,43.1,Hybrid Drive (Engine-Gen + Traction Motor),50.1,Disengaged / Electric Motor
HONDA-eHEV-1049,19.4,8.6,EV Drive (Battery Only),67.6,Disengaged / Electric Motor
HONDA-eHEV-1050,74.9,72.3,Hybrid Drive (Engine-Gen + Traction Motor),44.8,Disengaged / Electric Motor
HONDA-eHEV-1051,60.6,63.9,Hybrid Drive (Engine-Gen + Traction Motor),40.8,Disengaged / Electric Motor
HONDA-eHEV-1052,75.9,76.3,Hybrid Drive (Engine-Gen + Traction Motor),48.4,Disengaged / Electric Motor
HONDA-eHEV-1053,32.6,17.2,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1054,36.2,42.2,Hybrid Drive (Engine-Gen + Traction Motor),44.7,Disengaged / Electric Motor
HONDA-eHEV-1055,77.1,71.7,Hybrid Drive (Engine-Gen + Traction Motor),45.9,Disengaged / Electric Motor
HONDA-eHEV-1056,34.2,42.2,Hybrid Drive (Engine-Gen + Traction Motor),39.8,Disengaged / Electric Motor
HONDA-eHEV-1057,71.4,66.1,Hybrid Drive (Engine-Gen + Traction Motor),49.4,Disengaged / Electric Motor
HONDA-eHEV-1058,46.7,46.7,Hybrid Drive (Engine-Gen + Traction Motor),38.3,Disengaged / Electric Motor
HONDA-eHEV-1059,29.6,33.7,Hybrid Drive (Engine-Gen + Traction Motor),45.6,Disengaged / Electric Motor
HONDA-eHEV-1060,57.0,50.1,Hybrid Drive (Engine-Gen + Traction Motor),42.9,Disengaged / Electric Motor
HONDA-eHEV-1061,29.9,43.7,Hybrid Drive (Engine-Gen + Traction Motor),41.1,Disengaged / Electric Motor
HONDA-eHEV-1062,38.7,46.6,Hybrid Drive (Engine-Gen + Traction Motor),40.5,Disengaged / Electric Motor
HONDA-eHEV-1063,54.4,64.0,Hybrid Drive (Engine-Gen + Traction Motor),47.1,Disengaged / Electric Motor
HONDA-eHEV-1064,64.2,80.6,Hybrid Drive (Engine-Gen + Traction Motor),48.0,Disengaged / Electric Motor
HONDA-eHEV-1065,56.2,63.0,Hybrid Drive (Engine-Gen + Traction Motor),42.5,Disengaged / Electric Motor
HONDA-eHEV-1066,43.8,42.8,Hybrid Drive (Engine-Gen + Traction Motor),42.1,Disengaged / Electric Motor
HONDA-eHEV-1067,75.0,87.3,Hybrid Drive (Engine-Gen + Traction Motor),46.3,Disengaged / Electric Motor
HONDA-eHEV-1068,53.6,56.2,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1069,71.2,78.2,Hybrid Drive (Engine-Gen + Traction Motor),41.8,Disengaged / Electric Motor
HONDA-eHEV-1070,72.0,79.4,Hybrid Drive (Engine-Gen + Traction Motor),44.7,Disengaged / Electric Motor
HONDA-eHEV-1071,77.1,86.6,Hybrid Drive (Engine-Gen + Traction Motor),45.0,Disengaged / Electric Motor
HONDA-eHEV-1072,37.8,44.6,Hybrid Drive (Engine-Gen + Traction Motor),44.7,Disengaged / Electric Motor
HONDA-eHEV-1073,76.4,84.7,Hybrid Drive (Engine-Gen + Traction Motor),47.1,Disengaged / Electric Motor
HONDA-eHEV-1074,41.8,47.6,Hybrid Drive (Engine-Gen + Traction Motor),47.9,Disengaged / Electric Motor
HONDA-eHEV-1075,70.6,65.6,Hybrid Drive (Engine-Gen + Traction Motor),46.4,Disengaged / Electric Motor
HONDA-eHEV-1076,64.5,70.8,Hybrid Drive (Engine-Gen + Traction Motor),43.6,Disengaged / Electric Motor
HONDA-eHEV-1077,65.8,62.7,Hybrid Drive (Engine-Gen + Traction Motor),45.7,Disengaged / Electric Motor
HONDA-eHEV-1078,23.4,13.9,EV Drive (Battery Only),61.2,Disengaged / Electric Motor
HONDA-eHEV-1079,53.5,60.7,Hybrid Drive (Engine-Gen + Traction Motor),43.6,Disengaged / Electric Motor
HONDA-eHEV-1080,32.0,32.9,Hybrid Drive (Engine-Gen + Traction Motor),50.3,Disengaged / Electric Motor
HONDA-eHEV-1081,57.5,65.4,Hybrid Drive (Engine-Gen + Traction Motor),43.8,Disengaged / Electric Motor
HONDA-eHEV-1082,29.4,20.9,EV Drive (Battery Only),62.4,Disengaged / Electric Motor
HONDA-eHEV-1083,34.1,36.9,Hybrid Drive (Engine-Gen + Traction Motor),41.0,Disengaged / Electric Motor
HONDA-eHEV-1084,68.3,69.1,Hybrid Drive (Engine-Gen + Traction Motor),46.3,Disengaged / Electric Motor
HONDA-eHEV-1085,75.7,78.5,Hybrid Drive (Engine-Gen + Traction Motor),46.6,Disengaged / Electric Motor
HONDA-eHEV-1086,64.6,60.1,Hybrid Drive (Engine-Gen + Traction Motor),45.4,Disengaged / Electric Motor
