Thermal_Run_ID,Ambient_Temp_C,Refrigerant_Discharge_Bar,Condenser_Subcooling_K,Heating_Coefficient_COP,Cabin_Heat_Range_Penalty_pct,Heat_Pump_State
DENSO-HP-1000,-15.4,12.9,4.9,2.41,19.3,Standard PTC Resistive Assist
DENSO-HP-1001,-17.9,15.7,9.6,3.4,15.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1002,-9.9,20.1,7.2,3.1,15.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1003,-3.9,20.3,3.6,2.32,16.1,Standard PTC Resistive Assist
DENSO-HP-1004,6.2,27.9,7.1,3.61,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1005,11.6,28.0,9.9,3.8,8.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1006,15.0,29.7,6.7,3.8,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1007,-14.0,15.9,4.2,2.29,17.8,Standard PTC Resistive Assist
DENSO-HP-1008,-1.4,23.1,4.4,2.54,16.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1009,11.1,26.8,7.7,3.8,9.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1010,-3.3,21.1,5.2,2.7,16.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1011,-16.7,16.2,6.1,2.51,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1012,-1.9,23.1,6.3,3.21,12.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1013,-7.7,18.3,4.7,2.49,17.7,Standard PTC Resistive Assist
DENSO-HP-1014,11.0,28.8,5.6,3.33,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1015,4.5,24.6,9.3,3.8,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1016,2.6,23.9,5.3,3.08,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1017,14.5,31.3,3.7,3.04,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1018,5.1,22.7,5.8,3.25,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1019,-12.9,17.3,6.9,2.78,15.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1020,-0.5,22.3,4.6,2.7,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1021,4.8,22.8,8.0,3.76,8.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1022,7.4,27.6,4.7,3.02,17.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1023,-11.6,17.9,4.6,2.49,16.8,Standard PTC Resistive Assist
DENSO-HP-1024,10.6,27.6,8.7,3.8,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1025,-0.0,22.9,6.7,3.15,16.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1026,10.7,24.3,8.7,3.8,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1027,14.6,29.8,5.5,3.35,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1028,-5.3,20.6,6.2,2.94,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1029,0.7,22.9,9.9,3.8,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1030,9.6,28.9,7.9,3.8,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1031,-10.4,18.3,4.4,2.13,18.4,Standard PTC Resistive Assist
DENSO-HP-1032,12.9,27.9,4.6,3.11,13.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1033,-12.4,16.8,7.3,3.06,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1034,-2.0,22.9,8.2,3.27,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1035,0.2,22.0,3.7,2.79,16.3,High-Efficiency Subcooling (COP >2.5)
