Safety_Test_ID,Blade_Cell_Max_Temp_C,Thermal_Gradient_deg_s,Pack_Internal_Pressure_kPa,Adjacent_Cell_Temp_C,Thermal_Safety_Status
BYD-BLADE-1000,58.9,1.85,110.7,26.0,Nominal Pack Thermal Balance
BYD-BLADE-1001,47.9,0.4,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1002,28.8,2.01,106.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1003,70.8,0.04,106.4,32.0,Nominal Pack Thermal Balance
BYD-BLADE-1004,38.8,0.23,106.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1005,74.1,1.0,110.2,30.6,Nominal Pack Thermal Balance
BYD-BLADE-1006,81.1,0.01,109.9,34.5,Nominal Pack Thermal Balance
BYD-BLADE-1007,72.1,0.58,112.0,32.6,Nominal Pack Thermal Balance
BYD-BLADE-1008,70.7,0.22,110.0,31.4,Nominal Pack Thermal Balance
BYD-BLADE-1009,58.8,0.62,108.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1010,56.9,0.31,108.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1011,42.3,4.81,105.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1012,41.1,1.21,105.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1013,39.0,0.46,105.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1014,47.5,0.94,107.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1015,54.2,3.65,108.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1016,27.4,2.1,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1017,46.0,0.22,105.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1018,64.9,1.68,109.4,30.0,Nominal Pack Thermal Balance
BYD-BLADE-1019,59.4,1.98,105.0,27.1,Nominal Pack Thermal Balance
BYD-BLADE-1020,32.8,0.1,106.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1021,61.9,0.16,109.1,28.6,Nominal Pack Thermal Balance
BYD-BLADE-1022,74.3,0.92,110.4,32.7,Nominal Pack Thermal Balance
BYD-BLADE-1023,90.6,0.19,113.9,40.9,Nominal Pack Thermal Balance
BYD-BLADE-1024,84.0,0.43,111.8,39.9,Nominal Pack Thermal Balance
BYD-BLADE-1025,69.8,0.51,110.9,32.0,Nominal Pack Thermal Balance
BYD-BLADE-1026,89.8,1.29,112.9,37.9,Nominal Pack Thermal Balance
BYD-BLADE-1027,86.4,1.58,113.1,40.9,Nominal Pack Thermal Balance
BYD-BLADE-1028,44.3,0.28,106.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1029,94.6,0.06,111.8,43.0,Nominal Pack Thermal Balance
BYD-BLADE-1030,88.7,1.58,113.4,42.2,Nominal Pack Thermal Balance
BYD-BLADE-1031,71.5,4.47,108.6,33.1,Nominal Pack Thermal Balance
BYD-BLADE-1032,42.1,0.76,107.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1033,46.8,0.51,107.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1034,65.5,4.38,111.4,29.7,Nominal Pack Thermal Balance
BYD-BLADE-1035,85.0,0.57,112.8,43.2,Nominal Pack Thermal Balance
BYD-BLADE-1036,82.8,0.72,111.5,37.2,Nominal Pack Thermal Balance
BYD-BLADE-1037,33.0,0.61,106.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1038,45.3,0.72,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1039,56.1,2.67,108.6,26.4,Nominal Pack Thermal Balance
BYD-BLADE-1040,62.0,0.12,109.7,29.0,Nominal Pack Thermal Balance
BYD-BLADE-1041,63.0,0.64,108.3,27.4,Nominal Pack Thermal Balance
BYD-BLADE-1042,49.8,0.11,103.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1043,64.6,2.89,109.4,28.1,Nominal Pack Thermal Balance
BYD-BLADE-1044,72.4,0.8,108.5,33.1,Nominal Pack Thermal Balance
BYD-BLADE-1045,76.8,1.56,108.4,33.8,Nominal Pack Thermal Balance
BYD-BLADE-1046,67.7,1.66,111.8,31.9,Nominal Pack Thermal Balance
BYD-BLADE-1047,89.4,0.0,112.7,40.2,Nominal Pack Thermal Balance
