V2G_Event_ID,Utility_Voltage_V,Power_Export_kW,Total_Harmonic_Distortion_pct,Phase_Angle_Jitter_deg,Grid_Synchronization
FORD-PRO-1000,235.5,7.15,2.35,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1001,240.0,9.41,2.64,1.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1002,242.8,8.18,2.71,1.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1003,220.6,5.09,2.26,0.82,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1004,243.5,6.33,2.41,0.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1005,238.8,6.74,2.46,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1006,225.8,9.57,3.03,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1007,236.6,6.6,1.95,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1008,241.5,7.91,2.99,0.88,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1009,232.2,5.01,2.16,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1010,228.5,7.12,2.53,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1011,227.7,4.89,2.21,0.63,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1012,239.5,6.03,2.59,1.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1013,237.5,3.09,1.78,0.71,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1014,230.7,7.1,2.54,1.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1015,238.7,8.14,2.76,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1016,236.5,6.88,2.5,0.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1017,237.4,8.77,3.14,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1018,221.0,8.26,2.35,0.94,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1019,232.9,8.96,2.87,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1020,246.5,2.7,1.64,0.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1021,245.5,9.09,2.58,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1022,239.1,2.65,1.69,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1023,223.7,4.17,2.13,0.23,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1024,246.5,9.43,2.73,1.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1025,223.0,3.27,2.28,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1026,226.7,8.75,2.96,0.79,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1027,243.3,9.3,3.16,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1028,227.5,6.4,2.76,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1029,225.1,2.62,1.62,0.52,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1030,230.5,7.51,2.68,0.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1031,245.0,8.45,2.93,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1032,242.1,4.63,2.24,0.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1033,244.8,8.14,2.48,0.4,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1034,234.5,3.1,2.19,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1035,245.9,5.91,2.91,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1036,231.6,3.44,1.48,0.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1037,235.1,8.22,2.94,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1038,222.4,3.06,1.78,0.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1039,244.3,2.48,2.17,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1040,227.9,3.44,1.78,0.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1041,238.1,6.86,2.19,0.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1042,237.5,6.59,2.17,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1043,222.0,3.65,1.98,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1044,228.0,9.53,2.83,0.5,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1045,224.9,3.29,2.26,0.32,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1046,225.8,6.43,1.99,0.59,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1047,236.3,3.13,1.89,0.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1048,240.1,8.36,2.72,0.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1049,226.7,5.19,1.99,1.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1050,242.7,4.02,2.43,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1051,234.9,3.95,1.93,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1052,232.6,6.34,1.69,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1053,247.2,6.39,2.31,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1054,240.7,6.89,2.72,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1055,242.7,3.44,1.8,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1056,228.8,4.33,1.79,0.62,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1057,242.8,4.77,1.91,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1058,247.7,3.99,1.96,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1059,222.3,6.64,2.1,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1060,228.4,4.76,2.57,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1061,245.0,8.33,2.65,0.26,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1062,245.4,6.32,2.1,0.99,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1063,227.2,7.91,2.59,0.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1064,231.9,4.27,1.87,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1065,243.6,5.99,2.27,0.37,Clean Utility Grid Sync (<3% THD)
