eAxle_Event_ID,Vehicle_Speed_kmh,Demanded_Torque_Nm,Clutch_Disconnect_Duration_ms,Friction_Drag_Loss_Joules,Disconnection_Quality
MAGNA-eAXLE-1000,75.9,437.9,50.3,1552.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1001,90.6,119.2,48.8,318.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1002,103.0,115.2,48.1,321.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1003,155.5,374.0,54.6,1083.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1004,157.3,93.3,52.2,294.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1005,120.9,100.6,47.2,365.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1006,111.2,150.3,47.9,356.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1007,93.0,336.9,50.5,974.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1008,137.3,51.2,49.7,214.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1009,59.9,141.2,41.5,304.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1010,117.6,241.7,56.1,1171.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1011,78.2,210.5,45.0,556.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1012,66.2,393.3,43.8,1283.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1013,43.0,347.4,44.4,1236.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1014,56.0,418.3,39.6,780.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1015,69.0,82.8,49.0,333.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1016,74.1,228.9,47.2,803.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1017,83.4,271.9,42.4,913.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1018,126.6,363.1,46.2,1199.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1019,141.5,190.6,54.0,684.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1020,141.4,447.4,58.4,1308.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1021,155.4,188.0,52.0,690.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1022,74.9,257.0,42.0,533.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1023,103.8,106.5,47.7,313.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1024,96.9,382.1,47.7,1401.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1025,126.7,253.4,56.6,723.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1026,125.4,72.8,51.4,267.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1027,68.2,138.8,41.6,425.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1028,71.0,50.8,42.5,161.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1029,64.5,294.4,39.1,703.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1030,92.1,151.4,46.3,489.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1031,64.1,436.5,53.8,1644.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1032,149.5,121.6,57.4,590.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1033,121.4,211.3,53.6,702.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1034,81.3,298.4,43.8,627.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1035,102.2,245.0,52.0,691.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1036,80.4,60.8,46.0,176.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1037,75.9,51.4,43.7,141.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1038,54.9,322.7,43.0,818.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1039,60.9,429.7,41.9,1453.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1040,78.2,294.4,47.7,841.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1041,97.1,153.8,44.9,369.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1042,102.0,396.7,51.8,1291.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1043,126.9,282.0,58.8,870.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1044,52.8,341.8,43.6,1097.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1045,118.7,227.5,49.4,627.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1046,46.6,177.5,37.9,530.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1047,58.9,425.8,43.0,1269.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1048,93.5,56.7,54.5,192.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1049,62.6,411.1,38.1,1355.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1050,109.5,415.8,45.6,1518.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1051,145.6,367.0,48.5,1217.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1052,91.2,212.9,46.6,573.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1053,49.1,117.0,39.3,333.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1054,129.7,192.8,53.9,781.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1055,140.8,107.2,54.2,466.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1056,61.0,416.6,44.8,1097.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1057,56.1,111.2,42.5,314.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1058,77.2,77.4,42.3,185.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1059,47.3,267.6,43.1,568.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1060,113.7,88.7,52.3,327.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1061,87.8,111.9,52.4,385.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1062,42.6,424.2,35.1,910.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1063,123.2,399.9,56.6,1539.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1064,58.8,150.0,42.4,480.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1065,150.2,150.3,54.2,506.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1066,154.0,270.3,60.4,1216.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1067,106.4,296.9,52.3,799.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1068,123.1,438.2,50.2,1206.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1069,143.9,138.6,58.5,405.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1070,102.6,353.7,52.3,1174.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1071,142.5,447.2,54.4,1390.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1072,158.1,124.3,56.0,342.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1073,46.5,79.5,43.0,194.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1074,112.9,261.2,51.7,692.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1075,144.1,126.8,53.0,538.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1076,128.7,413.8,49.4,1589.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1077,84.8,128.0,35.2,308.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1078,85.8,427.3,49.5,1077.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1079,138.9,444.9,51.6,1255.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1080,50.7,245.7,47.1,625.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1081,90.0,386.9,48.1,1187.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1082,155.4,381.2,55.8,1031.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1083,47.1,255.9,44.7,653.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1084,75.1,337.2,39.9,712.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1085,59.7,410.1,40.1,927.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1086,46.8,314.4,39.6,951.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1087,63.5,206.5,43.7,430.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1088,156.0,352.0,56.9,1703.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1089,62.7,197.8,53.3,745.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1090,95.5,349.8,46.3,960.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1091,137.0,400.6,56.7,1841.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1092,111.5,56.0,56.1,215.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1093,99.0,114.1,53.4,295.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1094,45.8,373.6,41.6,1241.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1095,98.6,202.5,48.8,469.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1096,46.2,232.6,39.4,562.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1097,130.7,366.9,57.3,1081.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1098,46.1,364.8,50.0,1076.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1099,73.3,374.0,44.7,1028.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1100,54.4,313.9,41.5,1108.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1101,152.8,407.5,59.4,1139.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1102,156.4,91.3,56.7,417.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1103,128.2,272.7,54.4,1152.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1104,81.9,298.7,44.3,1146.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1105,127.6,74.9,57.9,372.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1106,156.3,373.0,57.0,1147.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1107,65.6,222.0,53.7,1023.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1108,66.2,174.3,54.3,804.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1109,106.6,376.7,51.4,1079.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1110,85.4,355.0,53.7,1183.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1111,101.2,128.1,44.9,470.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1112,93.4,290.0,48.0,964.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1113,115.6,159.5,46.2,586.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1114,82.0,126.4,41.3,249.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1115,143.7,407.5,53.7,1581.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1116,101.9,79.4,51.8,342.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1117,70.9,410.5,55.5,1822.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1118,135.7,176.1,50.1,420.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1119,148.3,198.4,54.9,535.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1120,156.6,127.7,50.1,489.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1121,116.9,449.9,50.1,1371.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1122,137.4,251.1,48.8,1001.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1123,140.0,306.0,49.3,927.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1124,137.1,167.6,55.3,671.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1125,101.5,254.3,45.7,956.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1126,135.0,318.8,50.3,1375.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1127,141.2,311.9,51.8,986.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1128,134.6,51.5,47.9,192.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1129,92.7,69.1,47.2,207.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1130,103.4,438.0,46.9,1489.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1131,148.7,405.2,56.2,1381.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1132,124.4,437.0,52.9,1133.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1133,147.0,427.5,45.9,1648.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1134,61.5,55.6,44.7,208.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1135,55.9,246.1,39.6,807.0,Optimal Smooth AWD Disconnect (<55ms)
