Packet_Stream_ID,Link_Bandwidth_Mbps,Micro_Burst_Size_kB,Packet_Latency_Microseconds,Gateway_Buffer_Util_pct,Network_QoS_Status
APTIV-ZONAL-1000,4189.4,15.9,335.2,41.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1001,2256.6,54.6,280.5,21.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1002,3500.3,38.4,240.1,36.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1003,2842.5,137.2,374.3,41.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1004,2425.1,24.1,213.8,29.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1005,6969.2,140.0,640.1,74.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1006,7213.2,141.5,589.6,83.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1007,3766.6,63.2,403.0,40.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1008,618.4,16.3,160.0,10.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1009,5518.7,110.3,503.0,59.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1010,5684.3,79.4,456.2,60.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1011,5876.1,165.3,589.2,67.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1012,7612.2,136.7,628.6,84.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1013,5329.1,145.1,479.8,63.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1014,6315.0,173.0,606.6,72.3,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1015,4481.6,175.4,533.1,57.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1016,6149.1,54.7,464.2,64.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1017,1343.9,50.3,215.0,14.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1018,1932.1,35.1,249.9,23.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1019,6255.2,27.7,411.0,57.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1020,3494.2,103.5,376.4,44.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1021,3989.3,21.0,368.0,42.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1022,3758.5,30.4,336.3,37.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1023,5849.2,40.0,403.8,56.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1024,3872.1,56.5,287.0,37.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1025,1774.2,151.9,354.2,30.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1026,4670.3,117.5,442.1,47.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1027,4741.7,178.9,561.5,58.8,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1028,3324.9,116.7,383.7,41.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1029,2938.9,52.0,355.2,29.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1030,2309.6,172.8,483.6,39.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1031,858.6,131.3,272.0,18.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1032,6636.9,31.0,427.9,69.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1033,2996.0,89.1,402.3,33.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1034,8608.2,96.1,582.1,87.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1035,3456.5,164.0,460.9,42.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1036,4534.1,144.2,500.5,53.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1037,6709.4,135.0,537.0,73.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1038,4637.0,29.5,398.9,45.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1039,1445.8,141.5,424.1,26.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1040,7263.0,39.1,449.9,73.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1041,3507.4,30.4,318.8,27.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1042,2442.4,107.7,374.7,33.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1043,7197.0,136.5,638.3,79.4,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1044,2352.5,164.4,433.5,31.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1045,2541.7,85.5,338.8,25.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1046,4064.8,53.7,394.4,44.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1047,7387.2,121.0,570.7,82.1,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1048,5796.7,108.0,433.0,69.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1049,6420.7,43.4,462.9,60.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1050,6341.4,130.5,507.0,73.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1051,6904.7,180.0,603.9,79.0,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1052,3321.5,115.9,439.4,43.1,Time-Sensitive Network (TSN) Compliant
