Lap_Telemetry_ID,Apex_Speed_kmh,Battery_State_of_Charge_pct,Battery_Core_Temp_C,Electric_MGU_K_Boost_kW,Sector_Time_Gain_s,Hybrid_Strategy
FERRARI-SF90-1000,120.0,42.1,39.0,110.9,0.35,Regenerative Harvesting Active
FERRARI-SF90-1001,118.3,58.7,48.0,105.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1002,150.9,94.0,56.6,160.0,0.61,Full 160kW Qualify Boost
FERRARI-SF90-1003,121.2,33.9,38.9,63.6,0.24,Regenerative Harvesting Active
FERRARI-SF90-1004,90.9,64.3,53.8,115.6,0.39,Regenerative Harvesting Active
FERRARI-SF90-1005,137.7,52.6,44.5,109.1,0.39,Regenerative Harvesting Active
FERRARI-SF90-1006,102.4,87.4,56.0,128.3,0.47,Regenerative Harvesting Active
FERRARI-SF90-1007,117.1,88.3,55.4,139.2,0.44,Full 160kW Qualify Boost
FERRARI-SF90-1008,159.6,30.8,42.9,75.0,0.2,Regenerative Harvesting Active
FERRARI-SF90-1009,92.1,63.2,50.2,89.1,0.24,Regenerative Harvesting Active
FERRARI-SF90-1010,129.7,65.0,48.3,96.8,0.34,Regenerative Harvesting Active
FERRARI-SF90-1011,140.8,69.1,47.3,120.4,0.44,Regenerative Harvesting Active
FERRARI-SF90-1012,87.0,75.2,56.5,125.6,0.42,Regenerative Harvesting Active
FERRARI-SF90-1013,88.8,68.8,50.7,110.1,0.32,Regenerative Harvesting Active
FERRARI-SF90-1014,161.6,30.0,34.5,78.4,0.25,Regenerative Harvesting Active
FERRARI-SF90-1015,83.6,72.8,46.5,139.9,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1016,99.3,57.0,48.0,105.1,0.37,Regenerative Harvesting Active
FERRARI-SF90-1017,88.5,41.0,40.7,77.5,0.29,Regenerative Harvesting Active
FERRARI-SF90-1018,120.8,75.3,53.5,133.4,0.41,Regenerative Harvesting Active
FERRARI-SF90-1019,94.1,90.3,55.8,140.2,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1020,130.7,28.9,41.2,56.6,0.12,Regenerative Harvesting Active
FERRARI-SF90-1021,101.7,66.5,49.8,113.6,0.47,Regenerative Harvesting Active
FERRARI-SF90-1022,169.8,30.9,43.5,81.4,0.27,Regenerative Harvesting Active
FERRARI-SF90-1023,72.9,77.3,50.6,135.0,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1024,99.4,48.6,44.8,97.4,0.3,Regenerative Harvesting Active
FERRARI-SF90-1025,89.6,66.2,50.4,107.9,0.35,Regenerative Harvesting Active
FERRARI-SF90-1026,144.6,40.9,41.7,89.0,0.32,Regenerative Harvesting Active
FERRARI-SF90-1027,88.3,80.2,57.4,140.3,0.44,Full 160kW Qualify Boost
FERRARI-SF90-1028,141.6,28.1,40.9,54.3,0.19,Regenerative Harvesting Active
FERRARI-SF90-1029,124.5,95.0,53.9,162.0,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1030,100.3,26.5,40.5,65.1,0.18,Regenerative Harvesting Active
FERRARI-SF90-1031,148.0,59.8,47.9,98.7,0.28,Regenerative Harvesting Active
FERRARI-SF90-1032,166.3,65.2,48.6,106.8,0.43,Regenerative Harvesting Active
FERRARI-SF90-1033,106.5,83.4,53.0,142.2,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1034,117.3,57.1,48.1,90.6,0.28,Regenerative Harvesting Active
FERRARI-SF90-1035,169.1,93.8,55.0,157.9,0.59,Full 160kW Qualify Boost
FERRARI-SF90-1036,169.0,52.7,44.7,86.0,0.22,Regenerative Harvesting Active
FERRARI-SF90-1037,76.7,55.4,44.7,95.3,0.27,Regenerative Harvesting Active
FERRARI-SF90-1038,86.7,28.6,37.8,62.3,0.22,Regenerative Harvesting Active
FERRARI-SF90-1039,136.5,41.9,43.7,79.2,0.26,Regenerative Harvesting Active
FERRARI-SF90-1040,79.8,75.9,55.3,120.7,0.43,Regenerative Harvesting Active
FERRARI-SF90-1041,79.8,47.7,47.0,76.7,0.21,Regenerative Harvesting Active
FERRARI-SF90-1042,134.6,25.7,40.5,54.9,0.19,Regenerative Harvesting Active
FERRARI-SF90-1043,174.2,63.9,47.2,116.2,0.47,Regenerative Harvesting Active
FERRARI-SF90-1044,79.5,59.3,51.1,106.6,0.37,Regenerative Harvesting Active
FERRARI-SF90-1045,73.7,68.6,54.2,106.0,0.39,Regenerative Harvesting Active
FERRARI-SF90-1046,127.8,71.3,53.3,107.4,0.41,Regenerative Harvesting Active
FERRARI-SF90-1047,115.7,80.9,54.6,113.9,0.36,Regenerative Harvesting Active
FERRARI-SF90-1048,134.3,56.5,52.6,92.6,0.32,Regenerative Harvesting Active
FERRARI-SF90-1049,109.7,35.2,41.1,54.6,0.16,Regenerative Harvesting Active
FERRARI-SF90-1050,157.5,51.5,44.6,100.2,0.36,Regenerative Harvesting Active
FERRARI-SF90-1051,95.1,41.3,43.7,76.8,0.27,Regenerative Harvesting Active
FERRARI-SF90-1052,111.2,58.8,50.1,87.6,0.26,Regenerative Harvesting Active
FERRARI-SF90-1053,85.7,53.5,45.6,95.5,0.25,Regenerative Harvesting Active
FERRARI-SF90-1054,87.9,63.0,47.6,98.6,0.42,Regenerative Harvesting Active
FERRARI-SF90-1055,175.8,62.0,49.3,103.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1056,160.5,44.0,44.2,80.7,0.29,Regenerative Harvesting Active
FERRARI-SF90-1057,157.4,60.6,44.6,99.9,0.35,Regenerative Harvesting Active
FERRARI-SF90-1058,157.1,77.4,53.4,125.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1059,150.6,88.9,51.3,145.5,0.57,Full 160kW Qualify Boost
FERRARI-SF90-1060,97.8,65.8,50.6,107.9,0.34,Regenerative Harvesting Active
FERRARI-SF90-1061,171.9,78.0,53.6,131.2,0.49,Regenerative Harvesting Active
FERRARI-SF90-1062,70.5,34.6,43.4,57.5,0.22,Regenerative Harvesting Active
FERRARI-SF90-1063,170.9,68.6,52.2,128.3,0.49,Regenerative Harvesting Active
FERRARI-SF90-1064,154.9,81.1,58.2,125.1,0.42,Regenerative Harvesting Active
FERRARI-SF90-1065,119.7,31.7,38.8,65.2,0.21,Regenerative Harvesting Active
FERRARI-SF90-1066,72.2,68.1,55.1,110.3,0.34,Regenerative Harvesting Active
FERRARI-SF90-1067,125.9,47.9,46.2,101.6,0.36,Regenerative Harvesting Active
FERRARI-SF90-1068,177.3,34.9,38.9,74.4,0.24,Regenerative Harvesting Active
FERRARI-SF90-1069,106.1,41.4,41.6,86.7,0.3,Regenerative Harvesting Active
FERRARI-SF90-1070,119.5,53.1,44.3,84.6,0.22,Regenerative Harvesting Active
FERRARI-SF90-1071,141.1,47.8,44.8,100.3,0.39,Regenerative Harvesting Active
FERRARI-SF90-1072,162.3,43.9,45.8,91.5,0.34,Regenerative Harvesting Active
FERRARI-SF90-1073,70.1,32.6,41.7,61.5,0.27,Regenerative Harvesting Active
FERRARI-SF90-1074,105.8,31.1,44.9,46.7,0.13,Regenerative Harvesting Active
FERRARI-SF90-1075,80.8,85.0,55.6,128.5,0.45,Regenerative Harvesting Active
FERRARI-SF90-1076,121.4,94.3,54.9,148.2,0.41,Full 160kW Qualify Boost
FERRARI-SF90-1077,116.9,45.2,46.7,70.8,0.25,Regenerative Harvesting Active
FERRARI-SF90-1078,110.2,33.8,39.5,76.9,0.37,Regenerative Harvesting Active
FERRARI-SF90-1079,125.6,63.7,49.1,108.7,0.3,Regenerative Harvesting Active
FERRARI-SF90-1080,105.6,70.7,56.5,115.2,0.44,Regenerative Harvesting Active
FERRARI-SF90-1081,106.6,52.8,46.5,96.7,0.34,Regenerative Harvesting Active
FERRARI-SF90-1082,177.1,45.6,46.7,67.2,0.29,Regenerative Harvesting Active
FERRARI-SF90-1083,152.6,82.8,55.3,139.5,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1084,131.3,54.3,44.8,101.3,0.4,Regenerative Harvesting Active
FERRARI-SF90-1085,90.1,86.1,53.9,137.9,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1086,91.4,80.3,58.9,118.8,0.32,Regenerative Harvesting Active
FERRARI-SF90-1087,159.6,49.8,43.4,106.6,0.39,Regenerative Harvesting Active
FERRARI-SF90-1088,172.5,52.8,51.3,79.9,0.3,Regenerative Harvesting Active
FERRARI-SF90-1089,165.6,54.9,51.8,84.8,0.28,Regenerative Harvesting Active
FERRARI-SF90-1090,147.8,43.6,40.0,96.2,0.33,Regenerative Harvesting Active
FERRARI-SF90-1091,179.6,92.4,60.2,141.1,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1092,88.6,60.0,47.0,118.8,0.36,Regenerative Harvesting Active
FERRARI-SF90-1093,128.4,68.7,53.0,118.2,0.36,Regenerative Harvesting Active
FERRARI-SF90-1094,100.7,81.7,59.6,114.7,0.42,Regenerative Harvesting Active
FERRARI-SF90-1095,126.9,44.9,41.1,87.8,0.23,Regenerative Harvesting Active
FERRARI-SF90-1096,145.0,67.4,46.7,106.0,0.35,Regenerative Harvesting Active
FERRARI-SF90-1097,157.4,76.3,48.7,128.6,0.42,Regenerative Harvesting Active
FERRARI-SF90-1098,83.3,61.2,48.8,109.3,0.39,Regenerative Harvesting Active
FERRARI-SF90-1099,124.6,27.2,36.7,58.9,0.09,Regenerative Harvesting Active
FERRARI-SF90-1100,144.1,58.0,45.4,97.6,0.27,Regenerative Harvesting Active
FERRARI-SF90-1101,78.4,44.2,44.3,100.3,0.36,Regenerative Harvesting Active
FERRARI-SF90-1102,173.9,30.0,41.6,59.4,0.19,Regenerative Harvesting Active
FERRARI-SF90-1103,164.0,63.8,44.0,119.2,0.44,Regenerative Harvesting Active
FERRARI-SF90-1104,141.5,68.8,54.1,118.0,0.38,Regenerative Harvesting Active
FERRARI-SF90-1105,140.3,79.2,54.4,129.0,0.48,Regenerative Harvesting Active
FERRARI-SF90-1106,81.7,89.7,55.2,147.6,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1107,99.9,62.0,45.7,98.3,0.38,Regenerative Harvesting Active
FERRARI-SF90-1108,163.7,43.4,43.4,75.8,0.27,Regenerative Harvesting Active
FERRARI-SF90-1109,124.6,62.8,49.0,99.4,0.39,Regenerative Harvesting Active
FERRARI-SF90-1110,73.7,25.6,36.2,65.6,0.2,Regenerative Harvesting Active
FERRARI-SF90-1111,84.5,86.2,52.6,142.3,0.56,Full 160kW Qualify Boost
FERRARI-SF90-1112,150.2,28.1,39.3,62.3,0.23,Regenerative Harvesting Active
FERRARI-SF90-1113,168.2,58.9,49.0,97.8,0.26,Regenerative Harvesting Active
FERRARI-SF90-1114,179.6,67.5,50.5,111.2,0.35,Regenerative Harvesting Active
FERRARI-SF90-1115,77.6,77.4,50.6,116.1,0.45,Regenerative Harvesting Active
FERRARI-SF90-1116,122.6,44.7,41.9,81.9,0.33,Regenerative Harvesting Active
FERRARI-SF90-1117,124.8,44.9,40.4,70.8,0.21,Regenerative Harvesting Active
FERRARI-SF90-1118,155.9,87.9,57.2,136.9,0.46,Full 160kW Qualify Boost
FERRARI-SF90-1119,106.1,32.6,39.3,60.9,0.2,Regenerative Harvesting Active
FERRARI-SF90-1120,93.9,90.7,56.2,143.4,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1121,90.0,26.3,42.7,66.8,0.2,Regenerative Harvesting Active
FERRARI-SF90-1122,103.7,66.6,51.5,123.1,0.44,Regenerative Harvesting Active
FERRARI-SF90-1123,154.1,30.8,36.3,71.0,0.18,Regenerative Harvesting Active
FERRARI-SF90-1124,167.6,63.9,47.3,99.8,0.43,Regenerative Harvesting Active
FERRARI-SF90-1125,121.3,37.5,41.0,69.3,0.25,Regenerative Harvesting Active
FERRARI-SF90-1126,178.1,52.8,49.5,105.4,0.34,Regenerative Harvesting Active
FERRARI-SF90-1127,138.4,64.9,50.8,110.7,0.41,Regenerative Harvesting Active
FERRARI-SF90-1128,105.0,63.1,51.2,95.4,0.35,Regenerative Harvesting Active
FERRARI-SF90-1129,148.6,77.7,54.0,137.0,0.47,Full 160kW Qualify Boost
FERRARI-SF90-1130,122.4,28.2,36.4,54.8,0.22,Regenerative Harvesting Active
FERRARI-SF90-1131,171.8,67.1,50.7,104.4,0.46,Regenerative Harvesting Active
FERRARI-SF90-1132,117.8,59.0,43.2,110.2,0.38,Regenerative Harvesting Active
FERRARI-SF90-1133,114.3,83.2,53.8,133.2,0.46,Regenerative Harvesting Active
FERRARI-SF90-1134,77.9,32.5,43.6,54.8,0.25,Regenerative Harvesting Active
FERRARI-SF90-1135,148.3,78.5,52.6,132.0,0.39,Regenerative Harvesting Active
FERRARI-SF90-1136,112.6,48.7,47.3,96.5,0.34,Regenerative Harvesting Active
FERRARI-SF90-1137,157.0,94.2,59.0,143.7,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1138,76.1,42.1,44.6,96.3,0.35,Regenerative Harvesting Active
FERRARI-SF90-1139,173.5,94.6,61.1,140.6,0.45,Full 160kW Qualify Boost
FERRARI-SF90-1140,99.3,39.8,44.2,68.2,0.19,Regenerative Harvesting Active
FERRARI-SF90-1141,99.5,88.1,55.9,139.7,0.53,Full 160kW Qualify Boost
FERRARI-SF90-1142,136.9,87.3,57.3,115.6,0.38,Regenerative Harvesting Active
FERRARI-SF90-1143,106.6,52.8,49.9,86.8,0.3,Regenerative Harvesting Active
FERRARI-SF90-1144,156.6,54.7,47.8,104.4,0.32,Regenerative Harvesting Active
FERRARI-SF90-1145,96.0,38.1,46.2,61.8,0.16,Regenerative Harvesting Active
FERRARI-SF90-1146,126.4,59.0,48.9,102.9,0.45,Regenerative Harvesting Active
FERRARI-SF90-1147,163.4,28.9,36.4,63.8,0.23,Regenerative Harvesting Active
FERRARI-SF90-1148,77.8,31.1,40.9,78.3,0.23,Regenerative Harvesting Active
FERRARI-SF90-1149,124.2,86.0,52.2,131.3,0.49,Regenerative Harvesting Active
FERRARI-SF90-1150,127.3,82.6,54.7,121.6,0.37,Regenerative Harvesting Active
FERRARI-SF90-1151,117.1,36.1,39.8,79.5,0.24,Regenerative Harvesting Active
FERRARI-SF90-1152,94.0,39.8,40.7,81.0,0.3,Regenerative Harvesting Active
FERRARI-SF90-1153,132.6,66.7,48.3,109.1,0.42,Regenerative Harvesting Active
FERRARI-SF90-1154,105.7,49.7,44.3,78.4,0.28,Regenerative Harvesting Active
FERRARI-SF90-1155,169.0,78.4,58.9,112.4,0.37,Regenerative Harvesting Active
FERRARI-SF90-1156,128.5,72.6,53.5,110.0,0.4,Regenerative Harvesting Active
FERRARI-SF90-1157,88.2,72.5,52.4,130.1,0.44,Regenerative Harvesting Active
FERRARI-SF90-1158,172.0,61.1,49.9,103.7,0.37,Regenerative Harvesting Active
FERRARI-SF90-1159,124.9,77.1,55.3,120.5,0.38,Regenerative Harvesting Active
FERRARI-SF90-1160,142.3,39.4,43.6,75.4,0.29,Regenerative Harvesting Active
FERRARI-SF90-1161,102.4,56.3,52.9,76.7,0.22,Regenerative Harvesting Active
FERRARI-SF90-1162,100.9,88.2,54.7,139.7,0.48,Full 160kW Qualify Boost
FERRARI-SF90-1163,136.5,57.1,43.5,98.6,0.34,Regenerative Harvesting Active
FERRARI-SF90-1164,139.8,83.8,54.8,133.6,0.48,Regenerative Harvesting Active
FERRARI-SF90-1165,89.1,62.4,46.5,119.1,0.38,Regenerative Harvesting Active
FERRARI-SF90-1166,105.1,78.6,54.7,120.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1167,115.9,81.9,55.2,131.2,0.47,Regenerative Harvesting Active
FERRARI-SF90-1168,165.5,58.2,46.7,89.0,0.27,Regenerative Harvesting Active
FERRARI-SF90-1169,112.0,30.7,41.3,73.6,0.26,Regenerative Harvesting Active
FERRARI-SF90-1170,153.0,75.4,55.8,113.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1171,157.8,50.6,48.3,91.7,0.26,Regenerative Harvesting Active
FERRARI-SF90-1172,161.6,31.8,44.1,71.9,0.3,Regenerative Harvesting Active
FERRARI-SF90-1173,157.7,75.6,53.5,100.2,0.31,Regenerative Harvesting Active
FERRARI-SF90-1174,115.5,70.8,53.2,108.8,0.39,Regenerative Harvesting Active
FERRARI-SF90-1175,126.2,26.0,38.1,58.6,0.23,Regenerative Harvesting Active
