Aero_Run_ID,Speed_kmh,Lateral_Acceleration_G,ALA_Flap_State,Total_Downforce_kg,Inner_Wheel_Yaw_Load_pct
LAMBO-ALA-1000,210.8,1.38,High Downforce (Flaps Closed),195.4,68.7
LAMBO-ALA-1001,151.2,-0.53,Aero-Vectoring Left,91.4,43.3
LAMBO-ALA-1002,180.7,-1.25,Low Drag (Flaps Open),40.8,33.9
LAMBO-ALA-1003,156.7,1.18,Aero-Vectoring Left,81.6,67.6
LAMBO-ALA-1004,123.8,-0.73,High Downforce (Flaps Closed),59.0,39.1
LAMBO-ALA-1005,247.1,-1.12,Aero-Vectoring Left,190.4,34.8
LAMBO-ALA-1006,163.8,0.8,High Downforce (Flaps Closed),118.8,62.4
LAMBO-ALA-1007,143.6,1.37,Low Drag (Flaps Open),32.3,69.3
LAMBO-ALA-1008,159.0,-0.78,Aero-Vectoring Left,80.5,36.7
LAMBO-ALA-1009,170.2,-0.96,High Downforce (Flaps Closed),119.1,35.1
LAMBO-ALA-1010,337.2,-0.44,Aero-Vectoring Left,367.2,45.3
LAMBO-ALA-1011,130.1,1.41,High Downforce (Flaps Closed),62.1,72.0
LAMBO-ALA-1012,329.0,-1.16,Low Drag (Flaps Open),143.7,34.8
LAMBO-ALA-1013,158.9,-1.16,High Downforce (Flaps Closed),120.8,34.9
LAMBO-ALA-1014,146.8,-1.42,High Downforce (Flaps Closed),107.3,30.0
LAMBO-ALA-1015,331.5,-0.49,Low Drag (Flaps Open),159.5,43.5
LAMBO-ALA-1016,301.1,0.11,High Downforce (Flaps Closed),402.0,53.3
LAMBO-ALA-1017,279.1,1.27,High Downforce (Flaps Closed),351.8,71.1
LAMBO-ALA-1018,267.2,-0.81,Low Drag (Flaps Open),105.4,39.2
LAMBO-ALA-1019,286.8,0.51,Low Drag (Flaps Open),114.9,58.8
LAMBO-ALA-1020,174.3,-1.13,High Downforce (Flaps Closed),126.8,35.0
LAMBO-ALA-1021,136.1,1.27,Low Drag (Flaps Open),26.8,66.8
LAMBO-ALA-1022,292.7,0.44,High Downforce (Flaps Closed),404.7,55.1
LAMBO-ALA-1023,198.8,0.46,Aero-Vectoring Left,129.8,54.6
LAMBO-ALA-1024,242.4,-1.23,High Downforce (Flaps Closed),256.0,32.3
