Combustion_Cycle_ID,Engine_Speed_RPM,Twin_Turbo_Boost_Bar,Pre_Chamber_Temp_C,Turbulent_Jet_Velocity_m_s,Knock_Sensor_Volts,Combustion_State
MASERATI-MC20-1000,5151,2.2,811.9,77.7,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1001,6228,2.56,849.0,90.3,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1002,2098,1.45,745.6,74.4,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1003,3916,1.89,761.4,77.9,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1004,4139,2.16,802.1,90.1,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1005,2280,1.75,782.6,79.7,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1006,2606,1.93,770.9,91.2,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1007,2565,1.67,766.8,73.1,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1008,3423,1.83,790.9,70.8,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1009,7066,2.67,837.1,94.0,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1010,2299,1.87,788.3,83.2,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1011,2351,1.51,790.0,76.3,0.57,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1012,3385,1.92,791.2,79.7,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1013,3181,2.22,785.7,83.5,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1014,3012,1.65,752.1,67.3,0.59,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1015,4409,2.15,800.2,85.6,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1016,7462,3.13,889.1,101.6,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1017,4708,2.59,870.1,88.2,0.79,Stable Pre-Chamber Turbulent Jet Ignition
