Brake_Stop_ID,Rotor_Surface_Temp_C,Caliper_Clamping_Force_kN,Carbon_Oxidation_Loss_mg,Brake_Pad_Wear_Microns,Rotor_Health
BREMBO-CCM-1000,479.1,53.9,0.6,7.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1001,811.6,57.9,9.81,8.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1002,471.3,49.5,0.2,5.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1003,263.5,41.5,0.2,5.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1004,414.1,47.1,0.2,6.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1005,493.8,23.3,1.3,4.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1006,670.4,46.2,4.21,7.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1007,609.6,20.2,2.49,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1008,336.8,46.1,0.23,5.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1009,419.0,42.6,0.22,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1010,979.7,60.4,28.0,10.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1011,772.5,62.2,7.24,8.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1012,317.7,29.9,0.29,4.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1013,444.9,20.3,0.74,4.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1014,829.1,33.6,12.37,6.9,High Thermal Oxidation / Service Flag
BREMBO-CCM-1015,464.5,56.0,0.24,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1016,857.4,45.7,15.06,9.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1017,764.7,59.1,7.56,9.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1018,565.9,20.9,1.36,4.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1019,758.1,58.0,6.8,10.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1020,282.6,21.8,0.2,3.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1021,483.7,39.7,0.9,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1022,644.2,59.3,2.8,8.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1023,836.2,24.8,13.31,6.9,High Thermal Oxidation / Service Flag
BREMBO-CCM-1024,770.1,16.4,7.65,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1025,913.4,19.5,24.47,7.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1026,380.4,46.0,0.2,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1027,693.8,36.8,4.22,6.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1028,830.9,57.9,13.18,9.2,High Thermal Oxidation / Service Flag
BREMBO-CCM-1029,369.5,27.9,1.23,4.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1030,925.7,22.7,27.34,8.2,High Thermal Oxidation / Service Flag
BREMBO-CCM-1031,444.4,50.0,0.7,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1032,838.9,29.6,12.49,6.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1033,405.8,47.3,0.91,6.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1034,947.6,39.9,28.0,8.9,High Thermal Oxidation / Service Flag
BREMBO-CCM-1035,949.2,51.3,28.0,9.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1036,819.9,45.5,10.76,8.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1037,468.2,32.6,1.54,5.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1038,968.5,24.3,28.0,8.0,High Thermal Oxidation / Service Flag
BREMBO-CCM-1039,409.9,29.4,0.67,3.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1040,484.4,61.3,0.2,7.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1041,388.1,31.4,0.31,4.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1042,319.3,47.8,0.2,5.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1043,809.7,34.0,10.12,8.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1044,763.8,32.9,7.23,6.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1045,514.9,31.9,1.23,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1046,928.0,34.1,27.89,7.6,High Thermal Oxidation / Service Flag
BREMBO-CCM-1047,808.3,43.0,10.09,7.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1048,350.0,59.5,0.2,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1049,917.3,40.1,24.96,8.9,High Thermal Oxidation / Service Flag
BREMBO-CCM-1050,405.2,48.2,1.13,6.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1051,949.5,44.0,28.0,8.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1052,482.1,23.7,0.2,4.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1053,338.1,62.2,0.31,7.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1054,900.5,27.3,22.91,7.4,High Thermal Oxidation / Service Flag
BREMBO-CCM-1055,803.6,62.6,9.48,9.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1056,898.8,54.2,21.83,9.0,High Thermal Oxidation / Service Flag
BREMBO-CCM-1057,961.1,50.4,28.0,9.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1058,912.9,59.2,24.55,9.6,High Thermal Oxidation / Service Flag
BREMBO-CCM-1059,274.5,18.9,0.32,3.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1060,848.9,44.0,14.81,7.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1061,791.1,52.2,9.0,8.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1062,409.8,47.2,0.85,5.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1063,362.3,51.0,0.59,5.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1064,429.0,39.4,0.26,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1065,704.3,27.7,5.36,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1066,801.0,20.7,8.86,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1067,705.1,31.7,4.24,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1068,639.1,41.1,1.85,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1069,859.2,32.4,15.55,6.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1070,624.1,28.5,1.75,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1071,628.9,30.0,2.58,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1072,263.5,15.1,0.24,3.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1073,271.6,47.8,0.49,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1074,829.4,42.4,11.95,8.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1075,380.9,36.3,0.31,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1076,714.8,16.0,4.67,4.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1077,678.6,54.5,3.63,8.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1078,812.8,27.2,10.81,6.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1079,534.6,59.8,0.62,6.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1080,770.0,42.8,7.78,8.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1081,376.5,56.6,0.76,6.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1082,642.1,26.1,2.9,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1083,637.0,62.3,2.15,8.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1084,605.5,38.9,1.78,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1085,972.2,39.0,28.0,8.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1086,800.5,37.8,8.83,7.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1087,294.3,23.9,0.2,3.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1088,979.8,15.8,28.0,7.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1089,358.4,42.5,0.2,5.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1090,417.8,21.3,0.61,4.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1091,744.4,51.3,5.56,8.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1092,328.8,38.0,0.2,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1093,316.9,16.3,0.36,2.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1094,604.4,36.7,1.68,6.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1095,901.6,35.9,22.58,8.1,High Thermal Oxidation / Service Flag
BREMBO-CCM-1096,851.5,43.3,14.97,8.2,High Thermal Oxidation / Service Flag
BREMBO-CCM-1097,468.6,51.8,0.58,7.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1098,354.2,23.0,0.71,4.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1099,382.5,63.7,0.2,7.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1100,408.6,31.5,0.58,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1101,441.5,56.5,0.2,7.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1102,924.2,34.0,26.36,8.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1103,383.4,35.2,0.69,5.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1104,949.5,52.9,28.0,8.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1105,258.7,48.5,0.27,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1106,923.6,57.7,26.28,9.0,High Thermal Oxidation / Service Flag
BREMBO-CCM-1107,747.2,50.0,5.62,8.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1108,648.6,28.7,2.26,6.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1109,359.7,19.3,0.2,4.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1110,978.5,17.5,28.0,7.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1111,500.9,23.8,0.79,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1112,423.5,57.2,0.2,6.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1113,581.5,31.0,2.0,5.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1114,291.1,15.6,1.0,2.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1115,368.7,36.5,1.42,5.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1116,701.0,61.8,3.32,8.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1117,367.5,57.8,0.2,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1118,721.6,36.9,5.4,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1119,259.5,17.8,0.2,2.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1120,693.2,31.1,3.69,7.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1121,943.6,18.1,28.0,6.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1122,501.6,49.8,1.1,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1123,727.7,26.1,6.1,6.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1124,613.3,64.9,1.72,8.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1125,941.2,20.5,28.0,7.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1126,575.6,24.4,1.75,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1127,915.2,41.9,24.49,8.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1128,562.2,59.7,1.17,7.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1129,825.5,51.3,11.24,8.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1130,297.4,56.9,0.2,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1131,652.9,42.5,3.24,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1132,622.2,34.6,2.47,7.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1133,331.4,44.5,0.49,5.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1134,361.8,45.2,0.25,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1135,731.9,27.6,5.52,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1136,560.2,38.8,1.57,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1137,727.5,16.5,5.7,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1138,502.2,45.8,1.48,6.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1139,649.0,37.1,2.46,6.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1140,943.9,55.8,28.0,10.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1141,958.0,40.0,28.0,8.6,High Thermal Oxidation / Service Flag
BREMBO-CCM-1142,775.0,48.9,7.32,8.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1143,703.4,34.0,4.57,7.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1144,576.2,50.3,1.74,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1145,293.8,36.8,0.51,3.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1146,933.3,21.6,28.0,7.1,High Thermal Oxidation / Service Flag
BREMBO-CCM-1147,731.7,17.1,5.47,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1148,447.4,33.8,0.37,5.0,Optimal Carbon-Ceramic Matrix (CCM) Life
