Sensor_Pulse_ID,Tire_Slip_Angle_deg,In_Tread_Piezo_Accel_G,Estimated_Road_Friction_Mu,Contact_Patch_Length_mm,Tire_Grip_Status
PIRELLI-CYBER-1000,2.47,242.7,1.04,172.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1001,4.34,315.1,1.0,158.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1002,8.5,513.4,0.71,138.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1003,1.69,186.8,1.07,179.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1004,6.63,421.1,0.78,152.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1005,7.88,503.0,0.76,140.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1006,5.84,368.7,0.9,152.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1007,2.19,230.9,0.99,174.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1008,2.14,254.0,1.05,176.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1009,3.96,296.2,0.95,165.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1010,8.96,519.8,0.74,138.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1011,3.12,284.2,1.0,166.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1012,2.39,263.2,1.03,174.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1013,4.93,371.7,0.87,157.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1014,4.84,348.0,0.87,158.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1015,1.69,180.2,1.1,177.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1016,6.87,434.6,0.86,146.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1017,6.53,425.9,0.88,154.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1018,3.09,254.4,0.97,168.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1019,4.85,351.7,0.94,156.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1020,2.66,247.9,1.0,174.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1021,6.05,352.4,0.85,154.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1022,6.17,416.5,0.76,157.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1023,7.05,440.0,0.78,147.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1024,4.21,310.5,0.91,161.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1025,7.03,449.7,0.78,147.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1026,7.52,482.5,0.77,140.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1027,4.55,318.9,0.91,161.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1028,5.98,370.2,0.84,154.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1029,3.18,253.4,1.03,167.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1030,3.72,253.4,0.97,161.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1031,5.84,428.0,0.85,151.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1032,6.56,429.5,0.89,150.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1033,6.39,408.5,0.9,153.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1034,4.88,331.2,0.88,164.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1035,4.84,356.0,0.91,163.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1036,5.54,357.9,0.87,160.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1037,6.69,404.7,0.83,148.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1038,5.87,395.5,0.82,154.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1039,3.32,257.1,0.94,164.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1040,5.13,366.7,0.85,163.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1041,3.03,234.4,1.03,170.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1042,2.94,241.4,0.96,169.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1043,2.39,244.9,1.03,173.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1044,5.92,405.7,0.89,158.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1045,5.92,386.1,0.91,154.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1046,4.42,333.3,0.99,163.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1047,2.13,219.6,1.08,171.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1048,8.03,488.8,0.74,141.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1049,7.73,494.0,0.7,143.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1050,5.84,378.7,0.88,156.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1051,0.66,166.4,1.0,180.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1052,4.96,337.4,0.96,158.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1053,8.04,494.5,0.69,145.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1054,5.06,336.0,0.97,155.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1055,7.28,460.1,0.78,144.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1056,8.49,506.6,0.75,143.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1057,5.99,371.5,0.89,148.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1058,2.86,244.7,0.91,169.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1059,6.03,392.2,0.87,154.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1060,7.44,441.9,0.84,148.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1061,1.06,144.9,1.08,180.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1062,7.11,427.1,0.85,148.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1063,5.95,386.7,0.86,150.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1064,2.93,274.7,1.03,173.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1065,4.42,290.3,0.89,163.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1066,1.58,210.4,0.96,182.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1067,7.92,478.9,0.7,143.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1068,2.72,234.9,1.04,167.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1069,7.55,440.6,0.73,149.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1070,6.14,388.8,0.84,152.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1071,5.57,382.0,0.91,156.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1072,1.15,163.1,1.1,179.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1073,5.21,346.4,0.87,154.7,Optimal Elastic Grip Domain
