IMU_Sample_ID,Motorcycle_Lean_Angle_deg,Throttle_Opening_pct,IMU_Pitch_Wheelie_deg,Rear_Wheel_Slip_Ratio_pct,Slide_Control_State
DUCATI-GP-1000,20.1,69.9,2.5,2.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1001,36.1,59.0,0.2,7.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1002,47.0,74.9,1.9,9.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1003,57.9,93.0,3.7,13.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1004,59.4,57.7,4.1,9.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1005,62.3,66.8,1.2,11.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1006,42.7,46.6,6.9,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1007,22.5,88.5,1.0,4.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1008,25.6,86.3,0.9,7.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1009,44.5,49.5,2.3,5.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1010,35.0,78.9,0.5,7.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1011,25.2,41.3,1.2,2.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1012,29.2,41.5,2.0,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1013,64.0,52.9,3.8,8.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1014,20.1,71.1,2.6,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1015,52.2,71.5,5.3,10.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1016,50.8,70.8,4.0,11.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1017,45.5,88.6,4.2,12.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1018,38.5,21.7,2.1,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1019,57.6,49.9,4.8,7.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1020,29.4,42.7,4.7,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1021,63.4,56.1,2.0,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1022,19.5,63.6,0.1,4.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1023,18.9,27.1,2.3,3.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1024,58.8,89.8,3.1,13.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1025,40.1,20.5,2.8,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1026,22.3,89.5,0.2,6.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1027,55.0,24.8,-2.5,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1028,37.5,68.1,2.0,6.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1029,17.7,96.0,3.7,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1030,53.1,89.6,1.8,14.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1031,15.1,20.7,2.5,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1032,40.8,54.8,4.0,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1033,21.4,47.4,0.5,3.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1034,44.2,48.1,3.8,3.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1035,43.7,62.2,2.7,6.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1036,35.7,91.4,1.7,8.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1037,53.6,60.4,2.4,10.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1038,48.9,62.9,-1.6,9.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1039,33.8,33.9,4.6,3.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1040,24.7,32.4,1.0,2.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1041,23.7,93.9,0.4,5.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1042,51.9,61.1,4.0,7.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1043,23.9,46.7,6.6,3.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1044,22.4,99.7,3.8,7.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1045,22.2,80.7,1.3,5.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1046,52.0,42.3,1.6,6.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1047,44.3,61.2,1.1,7.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1048,19.2,34.1,5.2,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1049,49.0,66.6,0.6,8.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1050,55.6,50.6,0.6,8.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1051,59.3,50.0,5.7,7.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1052,46.9,86.7,3.2,12.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1053,33.6,20.4,3.1,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1054,59.3,39.6,2.3,7.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1055,21.7,48.0,0.9,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1056,44.5,28.0,2.6,3.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1057,42.0,88.1,0.2,12.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1058,63.0,44.1,3.2,8.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1059,38.3,65.8,0.2,6.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1060,34.2,96.0,5.5,8.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1061,21.8,80.6,0.5,5.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1062,51.8,69.3,6.5,12.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1063,31.0,76.4,5.0,5.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1064,51.7,65.5,4.4,10.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1065,41.6,32.1,2.0,3.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1066,54.8,77.7,1.4,11.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1067,38.8,39.8,3.0,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1068,19.3,99.7,1.3,2.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1069,42.2,25.7,-0.6,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1070,56.1,32.0,3.4,3.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1071,18.9,82.6,2.7,3.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1072,32.5,71.1,5.0,6.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1073,51.6,99.6,2.9,14.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1074,41.0,24.0,3.3,3.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1075,15.8,75.6,3.2,3.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1076,44.0,89.3,3.0,9.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1077,36.6,61.6,4.0,6.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1078,33.8,84.0,4.5,9.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1079,34.2,38.4,3.3,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1080,45.2,35.2,2.7,4.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1081,58.6,79.5,5.4,12.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1082,28.3,27.5,4.5,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1083,42.6,78.7,3.9,7.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1084,56.0,87.7,2.4,12.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1085,37.3,42.4,0.6,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1086,37.1,56.2,5.6,4.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1087,22.3,34.7,3.5,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1088,21.4,95.5,4.0,5.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1089,21.9,65.9,3.0,3.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1090,39.3,84.4,2.3,9.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1091,44.7,87.0,4.0,9.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1092,29.0,62.0,2.0,6.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1093,25.1,77.3,1.7,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1094,41.3,25.3,0.4,2.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1095,24.2,80.4,2.4,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1096,38.4,61.8,3.3,6.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1097,43.4,24.2,0.8,2.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1098,17.4,52.7,0.3,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1099,41.5,63.5,3.4,5.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1100,58.2,27.6,2.0,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1101,51.7,34.2,1.2,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1102,53.3,25.5,2.6,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1103,15.3,32.7,2.2,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1104,30.3,61.9,2.0,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1105,51.3,72.6,1.5,12.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1106,25.7,68.7,3.5,2.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1107,50.4,94.4,3.2,14.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1108,39.9,51.1,3.6,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1109,31.2,56.8,3.7,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1110,25.1,52.5,3.7,5.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1111,36.8,21.1,2.5,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1112,23.3,71.1,0.3,5.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1113,31.6,55.4,0.6,4.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1114,46.0,86.9,3.4,10.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1115,21.0,77.9,-0.3,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1116,25.1,70.5,0.8,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1117,51.6,88.6,5.2,12.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1118,16.0,83.3,0.0,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1119,53.8,74.7,3.8,12.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1120,18.9,38.2,1.9,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1121,53.6,55.1,3.6,9.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1122,49.9,86.5,5.1,12.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1123,20.3,83.8,1.6,5.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1124,24.9,57.2,4.4,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1125,36.6,99.8,2.1,11.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1126,33.1,42.9,2.2,5.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1127,28.8,61.8,3.7,3.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1128,34.2,82.6,1.8,5.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1129,19.2,63.5,2.8,3.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1130,37.7,80.1,3.8,8.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1131,16.5,97.6,2.6,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1132,39.1,57.6,1.5,7.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1133,49.7,98.7,2.3,14.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1134,62.3,23.3,1.5,3.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1135,39.3,92.0,4.9,8.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1136,15.2,73.7,1.6,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1137,47.8,60.2,6.8,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1138,35.3,32.0,2.6,4.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1139,43.6,92.9,4.3,10.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1140,45.4,67.5,5.2,10.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1141,49.4,71.8,-0.3,10.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1142,61.8,76.4,4.8,13.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1143,30.7,97.6,2.0,9.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1144,17.3,95.9,-0.4,3.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1145,62.3,94.7,0.3,15.7,Highside Risk / Instant Torque Cut
DUCATI-GP-1146,17.8,79.3,1.7,2.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1147,32.1,51.8,3.2,3.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1148,15.1,84.9,4.0,3.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1149,53.5,91.9,5.1,15.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1150,43.9,67.2,0.9,8.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1151,35.8,56.0,-1.6,5.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1152,36.9,74.2,0.5,6.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1153,43.5,89.4,-0.5,12.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1154,47.8,39.1,2.8,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1155,20.5,35.9,1.4,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1156,24.0,77.7,2.5,5.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1157,29.0,45.9,2.7,3.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1158,43.9,22.5,-0.4,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1159,59.4,58.6,2.4,9.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1160,20.7,63.2,2.4,3.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1161,17.5,85.5,4.2,4.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1162,44.8,63.8,2.9,8.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1163,37.1,64.9,2.2,6.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1164,34.6,34.6,2.5,2.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1165,38.5,87.0,1.3,8.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1166,46.3,62.5,2.2,6.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1167,20.6,75.5,1.8,3.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1168,36.5,25.7,0.5,3.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1169,40.5,98.7,1.7,10.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1170,19.7,70.2,1.4,4.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1171,54.7,84.3,6.4,12.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1172,43.3,34.3,0.0,3.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1173,42.1,39.7,1.9,4.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1174,29.5,53.0,1.1,2.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1175,57.7,63.4,1.2,6.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1176,23.6,24.0,3.9,2.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1177,24.1,50.7,2.6,6.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1178,16.4,22.1,4.5,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1179,31.1,78.6,4.7,7.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1180,25.2,84.3,3.5,5.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1181,30.9,88.0,1.0,6.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1182,38.6,79.5,1.1,10.4,Ducati Slide Control (DSC) Optimal Drift
