Driveline_Run_ID,Driveshaft_Speed_RPM,Driveline_Torque_Nm,Torsional_Vibration_G,Dynamic_Damping_Stiffness,Driveline_Smoothness
ALFA-GIORGIO-1000,2211,192.5,0.202,1563.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1001,4626,589.1,0.388,1437.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1002,4631,324.3,0.272,1446.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1003,6427,499.8,0.448,1260.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1004,2043,313.2,0.214,1585.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1005,5870,550.5,0.456,1269.8,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1006,4449,486.1,0.38,1406.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1007,2546,160.3,0.216,1575.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1008,4318,452.7,0.355,1362.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1009,2408,218.9,0.215,1516.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1010,1526,554.0,0.313,1468.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1011,4276,493.6,0.369,1343.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1012,3174,564.0,0.323,1391.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1013,2323,439.0,0.317,1403.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1014,4065,417.8,0.315,1461.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1015,6459,427.4,0.413,1207.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1016,5967,220.6,0.355,1420.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1017,2779,245.3,0.225,1472.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1018,6170,549.4,0.394,1291.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1019,4502,514.6,0.39,1393.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1020,5517,478.3,0.374,1276.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1021,3282,206.1,0.24,1549.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1022,2661,337.3,0.214,1488.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1023,3107,531.7,0.297,1477.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1024,4944,291.4,0.332,1430.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1025,2279,428.0,0.231,1507.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1026,3423,440.4,0.362,1312.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1027,1687,478.8,0.234,1556.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1028,6087,379.4,0.405,1302.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1029,3764,241.5,0.312,1459.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1030,5177,485.4,0.395,1316.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1031,4149,434.6,0.344,1435.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1032,7247,209.5,0.368,1363.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1033,1589,530.1,0.239,1505.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1034,6121,312.0,0.357,1353.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1035,2743,196.3,0.25,1429.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1036,6818,461.6,0.482,1259.0,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1037,4332,237.6,0.327,1468.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1038,5221,395.5,0.365,1335.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1039,5947,196.7,0.27,1430.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1040,1735,436.6,0.226,1558.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1041,4603,427.4,0.385,1356.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1042,3602,163.4,0.27,1438.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1043,6032,508.0,0.368,1288.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1044,5431,471.6,0.4,1266.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1045,6400,542.4,0.407,1330.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1046,7467,188.3,0.381,1288.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1047,6619,161.3,0.386,1333.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1048,1607,404.4,0.272,1506.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1049,3100,496.4,0.306,1412.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1050,5731,280.3,0.367,1341.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1051,3900,237.5,0.254,1505.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1052,3554,216.4,0.283,1466.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1053,6674,226.8,0.387,1310.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1054,1649,351.0,0.258,1523.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1055,5061,507.2,0.336,1377.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1056,6902,567.5,0.499,1260.9,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1057,2718,251.2,0.21,1579.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1058,1555,258.3,0.231,1487.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1059,3621,288.3,0.286,1516.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1060,4605,491.1,0.372,1324.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1061,6078,596.2,0.511,1241.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1062,5822,549.2,0.411,1272.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1063,6846,459.9,0.428,1316.3,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1064,3023,369.8,0.302,1398.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1065,2473,175.4,0.25,1540.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1066,5388,230.0,0.303,1434.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1067,5588,315.7,0.299,1461.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1068,6596,499.6,0.45,1308.0,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1069,4012,464.0,0.335,1369.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1070,4078,421.1,0.362,1369.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1071,6799,546.5,0.476,1172.6,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1072,5403,407.6,0.41,1263.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1073,5837,368.0,0.435,1266.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1074,2005,448.1,0.307,1469.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1075,1573,305.6,0.203,1522.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1076,2042,426.0,0.259,1484.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1077,3929,323.0,0.311,1476.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1078,5995,238.8,0.339,1416.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1079,6667,158.2,0.383,1375.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1080,6741,584.2,0.475,1199.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1081,2433,252.9,0.266,1461.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1082,6474,304.5,0.399,1309.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1083,4935,422.2,0.396,1314.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1084,4484,321.1,0.334,1400.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1085,6518,467.0,0.458,1275.4,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1086,4783,248.9,0.289,1461.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1087,3356,166.4,0.182,1581.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1088,1958,484.9,0.271,1460.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1089,1675,514.2,0.288,1417.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1090,2237,410.5,0.2,1534.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1091,5515,412.9,0.352,1366.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1092,3008,202.6,0.248,1575.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1093,5703,463.4,0.423,1294.9,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1094,1652,432.8,0.24,1556.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1095,4942,409.0,0.342,1458.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1096,1506,170.3,0.186,1664.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1097,4711,295.5,0.247,1506.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1098,3050,483.7,0.297,1423.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1099,1864,277.7,0.199,1551.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1100,2622,247.5,0.257,1506.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1101,5429,180.0,0.297,1451.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1102,5944,292.8,0.401,1303.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1103,3913,346.2,0.351,1411.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1104,2010,221.0,0.178,1645.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1105,2617,518.7,0.351,1330.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1106,3927,225.9,0.269,1512.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1107,4687,352.9,0.33,1418.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1108,4121,280.6,0.333,1445.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1109,1956,221.7,0.24,1504.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1110,2945,261.7,0.21,1568.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1111,5108,504.4,0.393,1237.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1112,3223,456.6,0.309,1447.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1113,5469,502.1,0.342,1387.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1114,3516,280.9,0.266,1475.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1115,2819,352.6,0.283,1394.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1116,4912,452.8,0.367,1371.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1117,2813,367.1,0.282,1420.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1118,3026,180.4,0.229,1467.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1119,6038,320.6,0.377,1426.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1120,7457,517.8,0.539,1167.8,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1121,7230,303.8,0.414,1251.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1122,5960,578.8,0.441,1224.3,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1123,2327,485.0,0.295,1433.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1124,5790,232.8,0.408,1334.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1125,7304,410.1,0.44,1228.6,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1126,5976,453.8,0.438,1318.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1127,1777,168.9,0.187,1638.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1128,1753,593.6,0.321,1407.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1129,6340,592.2,0.462,1234.2,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1130,3387,173.0,0.222,1572.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1131,5835,456.2,0.402,1306.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1132,5372,227.9,0.292,1520.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1133,4658,383.1,0.386,1267.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1134,5889,436.4,0.397,1302.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1135,4836,249.0,0.329,1396.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1136,5271,183.3,0.251,1439.1,Nominal Carbon-Fiber Driveline Balance
