Lighting_Frame_ID,Active_Micro_Pixels,LED_Junction_Temp_C,High_Beam_Range_Lux,Oncoming_Driver_Glare_Lux,Matrix_Quality_State
MARELLI-LED-1000,1105221,98.0,128.0,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1001,1037858,99.1,121.4,0.4,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1002,1133774,98.6,132.4,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1003,813456,84.3,154.8,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1004,527613,82.8,153.8,0.48,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1005,1117635,99.4,130.1,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1006,1235937,103.5,117.5,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1007,768860,78.9,161.7,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1008,720784,87.9,146.6,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1009,1044678,94.3,136.3,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1010,769607,95.7,135.4,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1011,617032,75.6,164.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1012,427092,81.6,154.9,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1013,624378,79.7,160.3,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1014,733291,91.8,141.8,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1015,1126174,107.0,117.2,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1016,657555,90.8,135.4,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1017,430332,78.1,171.0,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1018,1021573,89.9,146.4,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1019,1054337,104.9,118.3,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1020,530170,70.3,172.5,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1021,982358,92.5,139.9,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1022,604557,82.3,163.0,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1023,1038742,100.2,125.7,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1024,1087948,97.8,125.3,0.22,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1025,1124274,103.0,117.3,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1026,637768,73.8,171.4,0.19,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1027,1218769,110.7,108.6,0.16,Thermal Derate / Pixel Mask Active
MARELLI-LED-1028,1047872,106.8,110.2,0.96,Thermal Derate / Pixel Mask Active
MARELLI-LED-1029,533464,65.3,190.6,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1030,1034628,94.8,128.7,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1031,778415,78.4,163.2,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1032,950238,90.6,146.1,0.27,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1033,1248549,111.6,107.9,0.27,Thermal Derate / Pixel Mask Active
MARELLI-LED-1034,454637,73.8,168.6,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1035,852981,86.7,150.8,0.03,Crystal-Clear Matrix Laser-LED (600m)
