Monocoque_Scan_ID,Ultrasonic_Probe_Freq_MHz,Acoustic_Attenuation_dB_mm,Resin_Void_Content_pct,Chassis_Torsional_Rigidity_kNm_deg,Composite_Quality
PAGANI-UTOPIA-1000,6.7,0.54,0.33,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1001,9.2,0.56,0.39,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1002,4.1,0.45,0.35,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1003,4.4,0.92,0.53,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1004,4.8,0.5,0.33,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1005,10.8,0.84,0.64,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1006,12.0,0.59,0.51,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1007,10.2,0.51,0.29,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1008,4.9,0.81,0.51,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1009,4.2,0.48,0.29,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1010,11.7,0.58,0.22,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1011,4.9,0.54,0.34,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1012,10.9,0.55,0.46,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1013,6.9,0.7,0.44,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1014,10.3,0.54,0.41,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1015,10.8,1.64,1.01,50.0,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1016,5.8,0.63,0.53,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1017,9.6,0.76,0.5,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1018,10.2,0.61,0.48,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1019,9.2,1.04,0.84,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1020,7.0,0.52,0.3,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1021,11.6,0.51,0.42,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1022,5.1,0.5,0.42,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1023,10.4,0.47,0.4,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1024,8.8,0.62,0.39,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1025,8.0,0.48,0.21,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1026,5.7,0.53,0.45,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1027,9.2,0.56,0.29,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1028,9.0,0.5,0.4,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1029,8.9,0.57,0.36,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1030,10.4,0.97,0.51,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1031,6.8,0.7,0.45,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1032,9.2,0.74,0.46,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
