Hydrogen_Trip_ID,Tank_Storage_Pressure_Bar,Ambient_Temp_C,PEM_Membrane_Humidity_pct,Fuel_Cell_Stack_Voltage_V,Anode_Purge_Interval_s,Fuel_Cell_Status
IVECO-H2-1000,504.5,-8.6,84.7,1.133,119,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1001,249.9,0.2,84.8,1.169,156,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1002,614.1,1.3,85.6,1.15,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1003,287.0,20.0,79.4,1.086,144,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1004,205.2,1.9,78.7,1.131,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1005,126.9,-2.3,84.9,1.122,170,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1006,566.3,29.3,87.1,1.134,113,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1007,352.7,1.5,80.1,1.114,140,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1008,612.2,5.0,95.8,0.991,100,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1009,429.8,24.4,83.1,1.147,143,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1010,413.1,12.7,88.7,1.149,136,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1011,336.1,-0.8,86.2,1.157,142,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1012,219.0,1.2,80.4,1.097,140,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1013,207.8,14.6,81.6,1.104,146,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1014,651.4,28.0,89.2,1.165,107,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1015,140.4,10.3,79.5,1.124,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1016,606.8,-3.4,95.5,1.029,102,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1017,486.8,8.9,89.1,1.132,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1018,407.1,12.9,84.9,1.138,146,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1019,677.5,3.4,89.0,1.137,94,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1020,497.1,8.8,89.4,1.145,108,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1021,516.3,-1.8,84.4,1.159,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1022,536.2,10.7,88.3,1.124,112,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1023,367.6,-3.7,82.6,1.124,132,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1024,230.1,33.5,80.5,1.094,166,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1025,576.4,-2.3,91.3,1.066,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1026,675.9,-4.0,94.0,1.094,91,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1027,178.9,6.9,76.6,1.078,174,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1028,307.2,-9.0,83.7,1.106,143,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1029,200.3,8.3,81.7,1.134,154,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1030,596.1,23.7,93.4,1.097,121,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1031,662.2,-9.1,92.6,1.111,110,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1032,379.0,8.8,84.6,1.13,142,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1033,447.1,28.1,89.7,1.086,137,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1034,419.1,18.8,92.8,1.099,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1035,693.5,0.7,94.8,1.053,99,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1036,247.3,12.9,81.6,1.143,151,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1037,582.5,-7.4,94.6,1.03,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1038,561.3,33.0,92.7,1.079,113,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1039,469.1,12.2,90.7,1.107,134,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1040,346.5,5.8,87.6,1.154,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1041,669.3,30.8,92.4,1.088,100,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1042,540.5,22.5,90.4,1.134,108,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1043,322.2,-3.4,82.7,1.101,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1044,436.2,-2.5,85.0,1.158,124,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1045,504.9,25.9,85.0,1.155,132,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1046,659.2,1.9,90.3,1.114,100,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1047,475.7,7.3,88.8,1.188,111,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1048,134.4,27.8,74.4,1.0,173,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1049,149.8,6.5,77.9,1.105,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1050,239.3,3.7,80.8,1.108,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1051,235.0,-0.3,80.1,1.102,153,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1052,603.3,-6.4,89.0,1.112,109,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1053,553.5,-6.9,92.4,1.078,111,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1054,529.0,12.4,89.9,1.11,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1055,200.6,33.8,77.4,1.058,150,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1056,438.7,16.1,80.4,1.114,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1057,665.4,32.2,92.6,1.044,91,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1058,176.5,21.7,74.8,1.016,158,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1059,482.1,19.9,92.3,1.083,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1060,467.8,31.8,87.2,1.156,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1061,441.1,33.1,82.2,1.155,128,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1062,435.8,16.0,88.7,1.114,129,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1063,596.9,30.1,89.3,1.107,110,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1064,350.1,3.5,81.8,1.15,135,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1065,133.3,7.9,81.0,1.159,167,Optimal Fuel Cell Proton Conductivity
