Regera_Telemetry_ID,Vehicle_Speed_kmh,Engine_Speed_RPM,HydraCoup_Slip_pct,Freevalve_Intake_Lift_mm,Powertrain_Mode
KOENIG-KDD-1000,351.2,7021,0.0,10.27,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1001,265.2,5618,0.0,9.27,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1002,130.6,2946,0.0,5.3,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1003,126.8,2595,0.0,4.87,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1004,366.1,7422,0.0,10.8,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1005,243.9,5143,0.0,7.69,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1006,303.5,6239,0.0,9.48,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1007,183.5,3660,0.0,6.14,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1008,363.6,7553,0.0,10.92,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1009,335.5,6673,0.0,9.55,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1010,382.6,7771,0.0,11.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1011,98.9,2100,32.9,3.99,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1012,265.7,5419,0.0,8.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1013,64.8,1234,64.1,3.94,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1014,363.8,7190,0.0,9.88,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1015,388.4,7847,0.0,11.28,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1016,167.6,3455,0.0,6.76,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1017,134.2,2737,0.0,4.59,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1018,227.0,4776,0.0,7.34,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1019,75.0,1523,56.3,4.15,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1020,183.8,3703,0.0,5.89,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1021,400.3,7954,0.0,11.21,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1022,40.1,800,84.9,2.96,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1023,100.9,2076,33.6,4.28,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1024,138.3,2632,0.0,4.4,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1025,160.9,3440,0.0,5.8,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1026,282.9,5586,0.0,8.07,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1027,363.3,7284,0.0,10.49,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1028,318.3,6694,0.0,10.09,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1029,256.2,5184,0.0,8.39,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1030,389.8,8029,0.0,10.98,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1031,156.4,3363,0.0,5.76,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1032,84.8,1844,48.9,4.49,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1033,227.0,4605,0.0,7.97,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1034,305.7,6453,0.0,9.22,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1035,217.8,4778,0.0,6.74,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1036,375.9,7592,0.0,11.14,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1037,339.4,7188,0.0,10.0,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1038,360.6,7333,0.0,10.92,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1039,289.6,5744,0.0,8.51,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1040,191.9,4067,0.0,6.66,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1041,397.8,8177,0.0,11.32,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1042,358.6,7367,0.0,10.68,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1043,125.7,2331,5.3,5.14,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1044,290.5,5872,0.0,9.33,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1045,160.5,3410,0.0,6.3,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1046,36.5,800,85.3,2.88,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1047,132.2,2787,0.0,5.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1048,362.2,7186,0.0,10.32,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1049,391.5,8310,0.0,11.99,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1050,74.4,1578,53.7,4.92,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1051,194.2,3703,0.0,6.11,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1052,148.8,3031,0.0,5.23,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1053,167.6,3436,0.0,5.84,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1054,76.2,1419,53.0,4.15,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1055,365.7,7572,0.0,11.0,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1056,85.8,2209,43.7,3.65,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1057,71.3,1210,53.4,3.67,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1058,327.6,6378,0.0,9.8,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1059,100.6,2118,26.6,4.35,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1060,183.6,3974,0.0,7.65,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1061,70.3,1607,53.6,3.57,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1062,389.6,7856,0.0,11.71,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1063,305.6,6325,0.0,9.62,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1064,308.4,6633,0.0,9.72,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1065,198.6,3909,0.0,7.39,100% Direct Drive Hydraulic Lockup
