Nevera_Run_ID,Vehicle_Speed_kmh,Lateral_Acceleration_G,Vehicle_Yaw_Rate_deg_s,Left_Right_Torque_Delta_Nm,Inverter_Response_Latency_us,Vectoring_Status
RIMAC-RAWTV-1000,157.8,-0.81,-10.4,-694.9,147,Balanced All-Wheel Traction
RIMAC-RAWTV-1001,199.0,-0.42,-7.7,-336.6,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1002,205.9,-1.04,-16.8,-891.9,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1003,249.5,0.74,10.2,713.7,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1004,261.4,1.49,20.2,1315.9,159,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1005,119.4,0.19,1.5,183.3,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1006,260.1,1.21,17.3,965.3,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1007,126.0,0.74,9.7,662.3,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1008,87.6,0.88,12.8,666.6,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1009,235.6,0.52,6.2,477.3,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1010,288.0,0.32,5.4,301.1,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1011,276.3,-1.45,-20.2,-1315.2,168,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1012,318.6,0.59,9.9,551.2,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1013,132.6,-0.22,-3.0,-221.8,115,Balanced All-Wheel Traction
RIMAC-RAWTV-1014,161.8,-0.12,-2.5,-50.0,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1015,289.7,-0.06,-0.5,-103.1,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1016,269.1,1.31,17.8,1151.1,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1017,302.1,-1.49,-22.8,-1266.4,172,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1018,171.9,-0.68,-9.2,-586.2,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1019,63.1,-1.04,-14.7,-802.5,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1020,141.7,-1.09,-16.3,-924.0,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1021,79.6,1.38,17.8,1216.7,176,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1022,233.5,-0.63,-9.8,-547.2,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1023,312.2,0.61,7.9,539.9,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1024,222.8,-1.36,-19.3,-1240.2,157,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1025,106.8,1.5,22.3,1213.3,190,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1026,104.3,-0.58,-7.1,-455.8,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1027,311.7,0.09,1.5,63.1,121,Balanced All-Wheel Traction
