Chassis_Telemetry_ID,Lateral_Acceleration_G,Hydraulic_Circuit_Pressure_Bar,Vehicle_Body_Roll_deg,Straightaway_Compliance_pct,PCC_Active_State
MCLAREN-750S-1000,0.77,64.4,1.29,85.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1001,0.21,34.4,2.05,93.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1002,0.79,62.9,1.25,82.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1003,0.29,38.8,1.84,91.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1004,0.92,69.1,1.29,77.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1005,0.26,39.5,1.88,92.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1006,1.01,75.7,1.34,79.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1007,0.43,41.3,1.9,85.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1008,0.18,33.9,2.1,94.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1009,0.69,56.5,1.45,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1010,1.19,83.5,0.9,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1011,1.25,87.6,0.93,72.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1012,0.27,37.5,2.11,92.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1013,0.53,53.5,1.54,84.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1014,1.19,82.6,1.01,77.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1015,0.62,60.4,1.5,84.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1016,0.76,62.6,1.39,87.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1017,0.57,56.3,1.73,85.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1018,0.77,61.9,1.32,84.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1019,1.34,90.4,1.01,70.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1020,0.96,74.0,1.05,79.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1021,0.4,48.6,1.94,90.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1022,1.29,88.4,0.94,71.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1023,1.0,70.8,1.32,77.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1024,0.49,48.7,1.76,88.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1025,0.85,70.3,1.45,82.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1026,0.44,47.9,1.63,89.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1027,1.18,82.4,0.91,72.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1028,0.81,68.0,1.1,77.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1029,1.25,81.6,1.05,73.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1030,0.58,60.1,1.31,87.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1031,1.15,82.3,0.91,75.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1032,0.88,64.2,1.52,80.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1033,0.16,32.5,2.0,92.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1034,0.14,27.8,2.08,91.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1035,1.45,96.2,0.63,69.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1036,1.01,66.9,1.36,77.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1037,0.61,58.6,1.59,84.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1038,0.62,55.0,1.55,84.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1039,0.91,67.0,1.24,82.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1040,0.76,63.8,1.36,82.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1041,1.29,83.0,0.87,73.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1042,1.03,81.8,1.05,76.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1043,0.11,31.6,2.13,92.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1044,1.07,76.1,1.05,77.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1045,0.92,67.2,1.26,82.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1046,1.02,72.3,1.32,79.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1047,0.72,57.1,1.57,82.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1048,0.11,26.3,2.24,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1049,0.78,65.2,1.25,78.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1050,0.15,31.3,2.18,93.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1051,0.32,39.7,1.9,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1052,0.45,50.3,1.63,86.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1053,1.0,76.5,1.08,80.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1054,1.07,76.4,1.17,77.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1055,1.14,78.7,1.08,74.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1056,1.33,92.3,0.82,72.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1057,0.76,62.6,1.57,81.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1058,0.98,61.4,1.38,77.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1059,1.25,89.5,0.86,74.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1060,0.78,61.6,1.44,82.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1061,0.67,54.4,1.88,82.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1062,0.17,32.0,2.06,91.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1063,1.46,97.7,0.91,69.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1064,0.36,40.0,1.82,88.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1065,1.21,76.7,0.95,71.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1066,1.2,86.0,0.89,71.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1067,1.32,89.7,0.9,71.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1068,0.54,49.8,1.72,84.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1069,1.41,96.4,0.79,69.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1070,0.69,52.5,1.77,83.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1071,0.11,36.5,1.99,94.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1072,0.4,42.6,1.88,87.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1073,0.32,38.2,1.87,93.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1074,0.75,61.9,1.45,82.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1075,0.93,72.3,1.18,79.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1076,1.3,87.8,0.9,72.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1077,0.74,60.6,1.5,84.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1078,0.77,60.4,1.52,82.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1079,0.74,59.6,1.57,82.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1080,0.37,42.8,1.77,86.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1081,0.61,54.7,1.61,84.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1082,1.18,82.2,0.97,73.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1083,0.57,49.9,1.65,87.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1084,0.25,31.9,2.15,90.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1085,1.49,98.6,0.78,67.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1086,0.42,40.8,1.88,88.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1087,0.13,27.5,2.09,92.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1088,1.09,77.0,0.99,75.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1089,1.41,94.8,0.73,72.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1090,0.46,48.5,1.69,87.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1091,1.36,93.6,0.75,71.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1092,0.23,36.0,1.96,92.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1093,1.23,83.0,1.11,73.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1094,1.08,77.0,0.93,80.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1095,0.88,66.1,1.2,82.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1096,0.12,26.0,2.42,93.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1097,0.9,63.6,1.42,80.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1098,0.91,68.8,1.13,81.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1099,0.51,45.7,1.71,90.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1100,0.22,35.7,1.98,91.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1101,0.67,57.9,1.72,85.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1102,1.01,79.1,1.01,78.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1103,1.23,80.3,1.0,73.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1104,0.26,38.9,1.94,91.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1105,1.46,93.3,0.62,69.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1106,0.78,60.9,1.47,83.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1107,0.68,58.3,1.62,82.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1108,0.52,45.3,1.92,83.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1109,0.13,35.4,2.15,93.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1110,0.24,33.5,1.93,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1111,1.26,90.7,0.95,71.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1112,1.18,84.5,0.96,74.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1113,0.59,54.1,1.67,86.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1114,0.81,69.1,1.37,82.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1115,0.39,48.8,1.57,90.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1116,1.31,85.7,0.97,74.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1117,0.89,72.7,1.31,77.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1118,1.48,91.7,0.74,68.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1119,0.83,63.3,1.37,82.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1120,1.19,78.5,0.95,70.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1121,1.28,87.6,0.88,73.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1122,1.12,79.8,1.06,74.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1123,0.45,48.0,1.83,88.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1124,1.5,96.4,0.66,70.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1125,0.67,66.3,1.51,82.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1126,0.48,53.4,1.63,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1127,0.21,37.1,1.99,92.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1128,0.17,34.9,1.98,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1129,0.54,50.7,1.86,91.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1130,0.41,42.6,1.87,89.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1131,0.83,66.8,1.3,82.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1132,0.47,51.1,1.82,86.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1133,1.09,77.4,1.22,77.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1134,0.22,39.8,1.95,92.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1135,1.23,86.3,0.84,70.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1136,0.6,50.8,1.54,85.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1137,0.15,28.6,2.17,90.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1138,0.65,52.9,1.79,83.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1139,1.18,80.8,0.89,77.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1140,0.75,62.9,1.25,77.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1141,0.64,54.3,1.45,81.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1142,0.5,48.8,1.91,91.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1143,0.27,35.8,1.97,91.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1144,1.17,78.0,1.15,79.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1145,0.13,28.6,2.19,97.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1146,0.62,52.9,1.69,85.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1147,0.51,54.0,1.56,85.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1148,0.74,60.1,1.46,84.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1149,0.74,58.7,1.42,83.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1150,0.39,43.1,1.81,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1151,1.09,79.1,1.01,78.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1152,0.6,56.6,1.6,84.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1153,0.7,58.9,1.49,84.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1154,1.48,96.5,0.55,69.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1155,1.08,75.0,1.01,75.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1156,0.42,45.9,1.87,90.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1157,0.87,65.0,1.48,78.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1158,0.66,58.8,1.42,83.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1159,1.33,86.0,0.88,72.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1160,1.44,92.0,0.67,70.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1161,1.16,76.7,1.12,76.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1162,1.35,87.8,0.62,72.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1163,0.53,52.1,1.63,85.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1164,1.22,79.3,1.11,75.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1165,1.17,83.1,1.06,74.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1166,0.39,45.3,2.06,87.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1167,1.33,95.0,0.75,71.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1168,0.58,62.5,1.46,84.5,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1169,0.35,45.4,2.03,92.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1170,1.39,86.5,0.87,69.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1171,1.09,81.7,0.88,79.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1172,1.05,75.5,1.31,77.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1173,0.32,41.8,1.82,90.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1174,0.53,54.6,1.64,86.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1175,0.95,74.9,1.08,76.3,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1176,1.23,83.9,0.9,71.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1177,1.41,95.6,0.69,74.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1178,0.64,56.5,1.28,83.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1179,0.53,54.2,1.7,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1180,0.54,50.3,1.53,85.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1181,1.07,72.6,1.25,72.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1182,1.23,83.1,0.86,72.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1183,0.87,63.4,1.22,82.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1184,0.18,30.6,2.3,93.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1185,0.8,59.4,1.69,81.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1186,1.1,80.4,0.99,76.8,Track Mode High Hydraulic Roll Resistance
