Motor_Unit_ID,Motor_Speed_RPM,Architecture_Voltage_V,Stator_Copper_Loss_Watts,Stator_Core_Temp_C,Powertrain_Efficiency_pct,Cooling_State
LUCID-AIR-1000,17108,910.1,2597.6,86.2,91.43,Stator Micro-Channel Coolant Active
LUCID-AIR-1001,16783,870.6,2584.7,84.8,91.07,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1002,13560,860.9,2028.9,78.8,92.22,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1003,14010,864.3,1986.4,76.5,92.49,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1004,2705,872.2,-12.6,43.7,94.45,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1005,3182,863.4,110.5,48.1,94.75,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1006,6977,870.5,604.2,53.7,93.82,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1007,7694,820.9,941.9,57.2,93.22,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1008,5485,890.9,304.1,53.3,94.01,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1009,5548,824.3,330.9,54.1,94.33,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1010,17286,867.6,2331.5,84.5,91.97,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1011,17162,913.3,2707.9,89.3,91.49,Stator Micro-Channel Coolant Active
LUCID-AIR-1012,8253,886.1,773.7,59.6,93.67,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1013,15315,831.4,2093.4,75.3,92.82,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1014,10881,879.4,1129.5,60.5,92.67,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1015,10514,836.2,1090.3,60.7,92.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1016,4357,923.3,386.2,55.2,93.64,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1017,8281,889.1,549.6,54.5,93.48,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1018,18520,839.5,2781.5,86.4,91.22,Stator Micro-Channel Coolant Active
LUCID-AIR-1019,15587,919.5,2312.5,84.3,91.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1020,3702,870.6,55.2,47.0,94.5,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1021,11634,874.6,1452.7,70.4,92.5,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1022,14779,822.1,1870.4,68.3,92.45,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1023,12063,823.2,1209.1,59.5,93.06,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1024,10548,868.7,948.6,59.3,93.61,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1025,19272,855.4,3130.6,96.7,90.82,Stator Micro-Channel Coolant Active
LUCID-AIR-1026,16127,911.7,2219.8,82.5,91.81,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1027,15413,871.0,2163.8,78.4,92.49,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1028,19382,874.3,3217.1,93.9,90.82,Stator Micro-Channel Coolant Active
LUCID-AIR-1029,13782,837.8,1869.8,75.8,92.66,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1030,15635,831.3,2199.4,83.8,91.61,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1031,5860,880.8,345.7,49.5,93.86,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1032,3789,864.8,262.9,47.1,94.14,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1033,3051,886.8,275.6,44.6,94.52,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1034,6985,916.8,848.7,57.7,94.19,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1035,19176,847.9,3062.1,93.7,91.42,Stator Micro-Channel Coolant Active
LUCID-AIR-1036,3705,864.6,267.0,53.2,94.52,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1037,15053,859.5,1885.4,72.5,91.8,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1038,6535,863.8,540.4,51.1,93.87,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1039,18500,838.5,2934.4,95.5,90.42,Stator Micro-Channel Coolant Active
LUCID-AIR-1040,10411,920.5,1147.2,68.3,93.6,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1041,17294,846.7,2855.6,90.7,91.54,Stator Micro-Channel Coolant Active
LUCID-AIR-1042,16827,884.3,2404.8,82.7,92.53,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1043,19007,918.5,2719.0,91.7,91.4,Stator Micro-Channel Coolant Active
LUCID-AIR-1044,14894,823.8,1876.7,71.3,91.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1045,11672,912.1,1331.2,64.9,93.39,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1046,11494,867.7,1668.3,71.9,92.27,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1047,9114,912.8,1005.7,63.3,92.61,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1048,2177,839.7,-79.5,42.2,94.68,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1049,12395,882.5,1565.7,70.2,92.66,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1050,8600,829.8,610.8,56.2,93.96,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1051,14721,895.7,1885.0,70.7,92.14,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1052,2291,871.1,161.0,45.2,93.88,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1053,8261,864.6,860.2,59.7,93.44,Peak 92.4% Powertrain Efficiency Domain
