Swap_Session_ID,Chassis_Alignment_Error_mm,Bayonet_Lock_Torque_Nm,Total_Swap_Duration_s,Dielectric_Safety_Score,Swap_Quality_Status
NIO-SWAP4-1000,0.32,68.9,161,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1001,0.27,75.3,164,99.62,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1002,0.24,72.1,173,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1003,0.05,73.8,166,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1004,2.28,74.6,207,99.68,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1005,1.77,84.1,185,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1006,0.23,83.0,164,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1007,0.52,76.1,185,99.66,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1008,0.05,72.7,169,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1009,0.32,70.2,162,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1010,0.46,80.8,165,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1011,0.6,67.4,173,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1012,0.05,73.2,167,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1013,0.06,81.7,161,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1014,1.58,79.4,194,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1015,0.17,76.9,170,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1016,0.38,75.7,169,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1017,1.28,76.2,183,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1018,0.44,69.6,167,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1019,0.49,74.0,171,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1020,0.39,69.5,171,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1021,2.16,74.9,202,99.23,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1022,0.83,74.2,169,99.45,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1023,0.05,79.0,165,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1024,1.02,80.3,181,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1025,0.05,75.8,171,99.94,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1026,0.16,76.5,160,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1027,1.11,80.2,172,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1028,0.05,77.4,159,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1029,0.11,75.5,165,99.65,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1030,0.1,70.0,155,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1031,1.88,74.4,198,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1032,0.64,75.1,169,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1033,0.06,74.2,152,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1034,1.02,75.3,180,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1035,0.47,78.1,178,99.92,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1036,1.69,65.8,198,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1037,0.34,78.1,159,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1038,0.61,72.5,176,99.37,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1039,0.24,76.0,161,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1040,0.19,71.2,167,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1041,0.24,75.8,168,99.64,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1042,0.06,68.8,159,99.8,Sub-3-Minute Automated Swap Completed
