Terrain_Run_ID,Wheel_Slip_Ratio_pct,Soil_Shear_Strength_kPa,ATPC_Crawl_Speed_kmh,Wheel_Articulation_Travel_mm,Terrain_Classification
DEFENDER-ATPC-1000,18.8,75.3,5.8,147.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1001,19.4,26.5,2.8,187.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1002,26.6,83.0,5.6,452.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1003,41.2,79.9,4.9,237.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1004,4.9,64.4,6.0,376.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1005,37.2,85.3,5.3,173.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1006,34.1,33.2,2.3,450.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1007,4.3,20.9,3.3,414.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1008,30.6,36.9,2.2,387.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1009,32.3,94.5,6.1,370.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1010,40.5,54.0,3.1,143.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1011,5.7,84.1,7.4,195.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1012,14.9,49.5,4.3,129.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1013,5.2,76.6,6.5,421.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1014,19.3,57.9,5.0,252.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1015,27.2,66.9,4.7,268.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1016,4.2,82.4,7.5,440.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1017,23.7,25.8,1.9,247.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1018,19.7,60.4,4.0,177.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1019,28.7,81.3,5.3,279.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1020,14.4,30.7,3.2,249.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1021,29.8,46.9,3.5,378.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1022,19.0,73.3,5.2,479.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1023,17.0,69.9,5.9,305.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1024,11.3,64.9,5.3,474.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1025,24.2,76.3,6.1,230.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1026,28.0,86.4,5.9,136.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1027,25.9,23.0,1.9,405.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1028,18.0,44.0,4.0,397.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1029,26.6,90.0,6.1,231.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1030,5.0,22.9,2.9,217.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1031,19.6,35.0,3.5,272.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1032,10.1,76.7,6.6,129.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1033,19.4,91.0,6.9,261.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1034,7.8,54.2,5.0,274.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1035,36.5,17.2,1.0,214.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1036,36.9,64.9,3.4,420.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1037,5.4,34.0,3.4,368.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1038,8.1,59.5,5.0,328.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1039,7.8,47.4,4.2,478.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1040,6.8,24.2,3.0,157.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1041,10.5,59.6,5.3,321.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1042,29.5,27.6,1.4,396.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1043,6.7,80.1,7.0,437.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1044,12.0,89.1,7.2,473.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1045,5.3,46.7,4.7,223.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1046,20.5,59.9,5.0,419.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1047,12.0,87.8,7.3,205.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1048,30.8,40.3,2.6,266.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1049,10.0,72.8,6.3,406.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1050,2.8,23.4,3.2,414.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1051,37.8,15.7,1.0,452.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1052,6.9,43.9,4.7,386.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1053,15.6,38.1,3.4,381.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1054,26.8,17.8,1.6,201.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1055,6.5,20.0,2.7,180.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1056,12.4,32.1,3.3,456.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1057,32.3,20.8,1.6,403.1,Deep Sand / Mud Bog Ruts Active
