Winter_Test_ID,Road_Incline_deg,Front_Wheel_Slip_pct,Clutch_Hydraulic_Clamp_Bar,Rear_Axle_Torque_Split_pct,AWD_Operational_Mode
SUBARU-XMODE-1000,9.9,19.4,57.5,53.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1001,17.2,18.3,63.0,54.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1002,14.7,22.4,66.3,57.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1003,15.6,29.2,74.7,55.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1004,20.1,28.9,81.6,57.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1005,8.7,30.3,74.0,57.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1006,23.0,13.7,61.6,55.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1007,17.4,30.5,84.4,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1008,18.7,33.0,85.0,57.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1009,15.2,7.1,37.2,45.6,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1010,10.6,34.6,78.6,58.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1011,18.3,24.3,72.8,55.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1012,21.9,43.1,85.0,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1013,12.7,13.9,47.5,49.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1014,11.0,13.7,48.9,50.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1015,17.1,23.4,69.7,56.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1016,23.3,19.4,73.1,59.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1017,15.9,42.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1018,20.7,29.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1019,13.8,30.3,77.1,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1020,17.7,33.0,82.0,59.1,X-Mode Deep Snow Traction Lock
