Road_Event_ID,Pothole_Obstacle_Depth_mm,Vehicle_Speed_kmh,Camera_Lookahead_Time_ms,Damper_Pre_Softening_Force_N,Cabin_Vertical_Impact_G,Ride_Isolation_Score_pct,Suspension_Action
GENESIS-G90-1000,15.7,100.6,537,3271,0.154,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1001,19.2,48.7,1109,3353,0.184,94.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1002,5.0,45.3,1191,3631,0.105,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1003,5.0,86.4,625,3788,0.14,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1004,25.7,50.0,1080,3035,0.174,94.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1005,5.6,69.6,776,3571,0.111,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1006,39.9,72.5,745,2795,0.304,95.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1007,5.0,105.4,512,3742,0.151,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1008,5.5,35.6,1517,3678,0.174,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1009,49.7,76.5,706,2574,0.219,95.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1010,9.2,84.3,640,3563,0.124,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1011,24.4,82.0,658,3154,0.221,93.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1012,26.2,63.5,851,3036,0.178,98.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1013,12.8,49.6,1089,3429,0.161,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1014,19.4,44.0,1228,3378,0.169,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1015,7.2,60.3,896,3757,0.098,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1016,5.0,49.2,1097,3835,0.136,94.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1017,35.4,85.7,630,2743,0.222,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1018,5.0,103.5,522,3716,0.131,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1019,5.0,49.0,1102,3619,0.1,98.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1020,25.8,45.0,1200,3153,0.235,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1021,5.0,59.1,913,3552,0.08,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1022,35.3,105.0,514,2623,0.211,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1023,23.7,83.4,647,3223,0.144,97.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1024,5.0,44.6,1210,3630,0.18,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1025,95.0,64.4,838,1200,0.379,93.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1026,5.0,93.7,576,3710,0.118,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1027,18.5,40.6,1331,3303,0.211,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1028,8.1,77.8,694,3428,0.119,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1029,42.7,94.9,569,2654,0.182,94.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1030,34.3,69.1,782,2927,0.201,98.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1031,15.5,31.5,1713,3445,0.134,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1032,20.0,101.0,534,3190,0.203,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1033,5.0,59.7,905,3713,0.142,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1034,7.4,40.6,1330,3746,0.159,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1035,5.0,45.3,1192,3711,0.112,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1036,47.0,38.2,1415,2543,0.18,94.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1037,18.4,92.8,582,3328,0.16,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1038,5.0,65.5,825,3568,0.132,97.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1039,5.0,32.9,1643,3653,0.114,99.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1040,36.1,70.2,770,2949,0.194,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1041,39.3,54.8,985,2661,0.263,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1042,15.5,83.3,649,3134,0.175,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1043,5.9,72.5,745,3330,0.16,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1044,5.0,54.4,993,3522,0.088,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1045,10.9,69.9,772,3528,0.141,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1046,5.0,47.0,1149,3511,0.105,98.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1047,66.0,87.7,616,1864,0.327,94.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1048,25.0,57.0,948,3141,0.226,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1049,16.9,69.0,782,3138,0.163,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1050,34.5,107.3,503,2621,0.188,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1051,9.7,53.7,1006,3925,0.14,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1052,95.0,45.9,1176,1200,0.409,90.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1053,14.8,74.8,722,3625,0.189,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1054,5.1,84.8,637,3516,0.141,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1055,10.5,37.5,1440,3392,0.136,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1056,69.0,86.7,623,2032,0.299,94.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1057,13.8,41.5,1302,3399,0.163,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1058,12.7,40.9,1321,3508,0.132,98.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1059,5.7,37.8,1428,3378,0.154,98.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1060,33.8,78.3,690,2775,0.215,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1061,24.8,52.9,1021,3159,0.205,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1062,65.2,66.6,811,1805,0.314,93.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1063,42.7,79.1,682,2706,0.224,94.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1064,25.9,92.3,585,2972,0.169,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1065,29.3,89.4,604,3117,0.204,93.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1066,5.0,98.6,548,3613,0.151,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1067,16.9,32.9,1643,3431,0.167,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1068,47.8,51.9,1040,2455,0.249,93.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1069,35.7,42.9,1259,2815,0.216,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1070,21.0,39.2,1376,3164,0.205,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1071,5.0,45.0,1200,3751,0.151,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1072,9.0,74.5,725,3726,0.177,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1073,12.8,64.8,833,3676,0.186,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1074,93.7,38.4,1406,1200,0.381,93.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1075,5.0,89.8,602,3640,0.126,97.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1076,65.7,37.6,1435,2028,0.272,92.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1077,17.6,70.4,767,3366,0.178,97.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1078,5.0,36.7,1473,3500,0.156,93.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1079,37.6,48.2,1119,2803,0.204,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1080,5.0,65.1,829,3709,0.098,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1081,6.2,85.5,632,3800,0.155,97.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1082,10.6,86.3,626,3624,0.17,99.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1083,6.5,31.4,1721,3736,0.196,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1084,26.2,40.2,1344,3212,0.178,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1085,10.6,58.2,928,3618,0.147,97.2,Nominal Magic Carpet Luxury Ride
