Cold_Start_ID,Ambient_Temp_C,Heated_Fuel_Rail_Temp_C,Direct_Injection_Pressure_Bar,Ethanol_Vaporization_pct,Engine_Crank_Time_s,Ignition_Status
BIOFLEX-E100-1000,30.3,75.7,253.4,87.7,1.33,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1001,18.9,73.3,245.9,83.6,1.41,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1002,9.2,54.4,231.4,62.6,1.77,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1003,24.0,83.9,261.6,99.8,1.04,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1004,17.7,68.1,238.3,78.5,1.42,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1005,0.3,46.5,208.4,55.0,1.75,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1006,-3.6,47.1,216.7,57.3,1.69,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1007,22.2,72.7,239.6,83.4,1.45,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1008,19.1,78.9,246.7,88.9,1.24,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1009,22.2,85.4,256.0,96.9,1.1,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1010,0.8,55.4,216.6,63.3,1.67,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1011,13.8,69.3,249.5,80.4,1.49,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1012,-4.1,59.6,248.4,68.5,1.53,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1013,21.1,85.9,260.8,99.7,0.94,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1014,31.4,88.0,274.0,99.8,1.06,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1015,20.5,73.4,267.6,84.1,1.18,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1016,13.6,77.7,251.2,87.6,1.1,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1017,6.8,55.7,229.1,63.2,1.76,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1018,9.2,66.3,248.3,79.6,1.3,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1019,9.4,57.3,237.8,66.6,1.34,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1020,13.5,64.1,239.3,74.1,1.42,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1021,23.5,74.1,252.0,87.5,1.22,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1022,27.8,87.1,269.0,98.1,1.05,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1023,19.2,79.1,253.7,92.4,1.13,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1024,29.0,88.0,276.2,99.8,0.91,Instant E100 Cold-Start Ignition (<1.0s)
