Qilin_Cell_Cycle_ID,Charging_C_Rate,Heat_Dissipation_Rate_W,Max_Cell_Core_Temp_C,Anode_Overpotential_mV,Fast_Charging_State
CATL-CTP3-1000,3.22,13140,42.6,105.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1001,1.2,3000,32.0,133.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1002,3.13,12935,40.7,114.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1003,2.79,11482,38.7,121.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1004,1.27,3633,31.3,136.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1005,2.26,7106,39.6,125.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1006,2.59,9560,36.3,107.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1007,2.06,7388,36.3,135.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1008,2.1,6314,36.1,117.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1009,2.17,7865,37.4,130.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1010,3.72,17166,43.1,98.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1011,2.44,9250,36.3,116.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1012,2.01,6810,35.8,123.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1013,2.16,7315,36.3,116.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1014,2.44,8850,38.3,116.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1015,3.93,17780,45.3,93.4,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1016,2.47,8257,35.7,109.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
